univ,v,q,g,m,slots,exit,cagr,mdd,calmar,total,alpha,sharpe
KP200+KQ150,0.0,0.25,0.25,0.5,10,14,44.31,24.34,1.82,1586.71,22.28,1.3
KP200+KQ150,0.0,0.25,0.3,0.45,3,4,55.95,35.61,1.571,2965.63,34.03,1.48
KP200+KQ150,0.0,0.25,0.3,0.45,5,7,57.61,24.97,2.307,3225.64,35.58,1.603
KP200+KQ150,0.0,0.25,0.3,0.45,7,10,52.98,27.6,1.92,2543.14,30.95,1.259
KP200+KQ150,0.0,0.25,0.3,0.45,10,14,44.4,25.33,1.753,1594.81,22.37,1.315
KP200+KQ150,0.0,0.25,0.35,0.4,3,4,58.41,38.3,1.525,3357.3,36.37,1.504
KP200+KQ150,0.0,0.25,0.35,0.4,5,7,58.7,27.43,2.14,3407.46,36.67,1.634
KP200+KQ150,0.0,0.25,0.35,0.4,7,10,64.6,25.66,2.518,4546.37,42.57,1.488
KP200+KQ150,0.0,0.25,0.35,0.4,10,14,51.68,25.83,2.001,2374.7,29.64,1.171
KP200+KQ150,0.0,0.25,0.4,0.35,3,4,61.15,30.81,1.985,3846.54,39.12,1.544
KP200+KQ150,0.0,0.25,0.4,0.35,5,7,55.38,27.27,2.031,2879.36,33.34,1.603
KP200+KQ150,0.0,0.25,0.4,0.35,7,10,55.28,27.22,2.031,2864.45,33.24,1.337
KP200+KQ150,0.0,0.25,0.4,0.35,10,14,53.88,26.18,2.058,2665.19,31.85,1.207
KP200+KQ150,0.0,0.25,0.45,0.3,3,4,53.75,32.02,1.678,2647.1,31.71,1.427
KP200+KQ150,0.0,0.25,0.45,0.3,5,7,57.37,28.75,1.995,3186.67,35.34,1.65
KP200+KQ150,0.0,0.25,0.45,0.3,7,10,56.41,25.56,2.207,3035.93,34.38,1.353
KP200+KQ150,0.0,0.25,0.45,0.3,10,14,51.53,26.23,1.965,2356.62,29.5,1.445
KP200+KQ150,0.0,0.25,0.5,0.25,3,4,56.44,31.52,1.79,3039.45,34.4,1.487
KP200+KQ150,0.0,0.25,0.5,0.25,5,7,60.13,24.92,2.413,3657.86,38.1,1.724
KP200+KQ150,0.0,0.25,0.5,0.25,7,10,59.5,24.43,2.436,3545.7,37.47,1.408
KP200+KQ150,0.0,0.25,0.5,0.25,10,14,53.3,26.72,1.994,2585.64,31.26,1.192
KP200+KQ150,0.0,0.25,0.55,0.2,3,4,61.45,32.95,1.865,3902.93,39.42,1.558
KP200+KQ150,0.0,0.25,0.55,0.2,5,7,62.27,24.92,2.499,4062.84,40.24,1.756
KP200+KQ150,0.0,0.25,0.55,0.2,7,10,61.44,23.11,2.659,3900.17,39.4,1.44
KP200+KQ150,0.0,0.25,0.55,0.2,10,14,50.18,23.58,2.128,2192.84,28.15,1.142
KP200+KQ150,0.0,0.25,0.6,0.15,3,4,65.03,29.26,2.222,4638.95,42.99,1.626
KP200+KQ150,0.0,0.25,0.6,0.15,5,7,58.73,24.92,2.357,3411.76,36.7,1.67
KP200+KQ150,0.0,0.25,0.6,0.15,7,10,62.44,23.08,2.705,4095.57,40.4,1.441
KP200+KQ150,0.0,0.25,0.6,0.15,10,14,53.66,23.9,2.246,2635.59,31.63,1.194
KP200+KQ150,0.0,0.25,0.65,0.1,3,4,62.39,27.84,2.241,4086.83,40.36,1.602
KP200+KQ150,0.0,0.25,0.65,0.1,5,7,56.89,23.6,2.411,3110.74,34.86,1.671
KP200+KQ150,0.0,0.25,0.65,0.1,7,10,64.57,23.08,2.798,4539.53,42.54,1.47
KP200+KQ150,0.0,0.25,0.65,0.1,10,14,55.32,21.5,2.573,2870.92,33.29,1.154
KP200+KQ150,0.0,0.25,0.7,0.05,3,4,48.98,27.15,1.804,2055.05,26.95,1.367
KP200+KQ150,0.0,0.25,0.7,0.05,5,7,62.38,24.4,2.556,4084.95,40.35,1.786
KP200+KQ150,0.0,0.25,0.7,0.05,7,10,61.66,23.08,2.672,3943.59,39.63,1.426
KP200+KQ150,0.0,0.25,0.7,0.05,10,14,52.09,21.5,2.423,2427.62,30.06,1.106
KP200+KQ150,0.0,0.25,0.75,0.0,3,4,50.22,31.42,1.598,2196.9,28.18,1.377
KP200+KQ150,0.0,0.25,0.75,0.0,5,7,60.16,25.29,2.379,3662.68,38.12,1.711
KP200+KQ150,0.0,0.25,0.75,0.0,7,10,64.25,23.08,2.784,4469.13,42.21,1.471
KP200+KQ150,0.0,0.25,0.75,0.0,10,14,50.92,22.31,2.283,2281.51,28.89,1.09
KP200+KQ150,0.0,0.3,0.0,0.7,3,4,38.66,28.03,1.379,1139.75,16.68,1.113
KP200+KQ150,0.0,0.3,0.0,0.7,5,7,49.59,30.84,1.608,2124.55,27.56,1.368
