univ,weights,slots,exit,cagr,mdd,calmar,total,sharpe,alpha
5조+,V35Q35G15M15 (V+Q),10,14,2.43,36.14,0.067,6.05,0.22,-11.17
5조+,V35Q35G15M15 (V+Q),15,20,6.21,32.54,0.191,15.9,0.395,-7.39
5조+,V50Q20G05M25 (가치),3,4,-6.47,50.88,-0.127,-15.11,-0.096,-22.36
5조+,V50Q20G05M25 (가치),3,6,-3.65,45.87,-0.08,-8.7,0.003,-19.54
5조+,V50Q20G05M25 (가치),5,7,8.3,37.85,0.219,21.55,0.453,-5.3
5조+,V50Q20G05M25 (가치),5,10,1.77,40.29,0.044,4.39,0.193,-11.83
5조+,V50Q20G05M25 (가치),7,10,-1.13,40.54,-0.028,-2.75,0.06,-14.73
5조+,V50Q20G05M25 (가치),10,14,4.38,36.04,0.121,11.06,0.308,-9.22
5조+,V50Q20G05M25 (가치),15,20,5.14,34.27,0.15,13.05,0.346,-8.46
5조+,V30Q30G20M20 (균형),3,4,-8.7,55.94,-0.155,-19.97,-0.193,-22.92
5조+,V30Q30G20M20 (균형),3,6,-6.25,51.63,-0.121,-14.61,-0.108,-19.85
5조+,V30Q30G20M20 (균형),5,7,-4.19,47.26,-0.089,-9.95,-0.052,-17.79
5조+,V30Q30G20M20 (균형),5,10,-3.67,45.93,-0.08,-8.76,-0.03,-17.27
5조+,V30Q30G20M20 (균형),7,10,-3.3,36.74,-0.09,-7.89,-0.047,-16.9
5조+,V30Q30G20M20 (균형),10,14,3.03,36.1,0.084,7.58,0.248,-10.57
5조+,V30Q30G20M20 (균형),15,20,6.06,32.17,0.188,15.5,0.389,-7.54
5조+,V20Q10G20M50 (M↑),3,4,1.56,45.59,0.034,3.87,0.198,-12.04
5조+,V20Q10G20M50 (M↑),3,6,-5.09,48.13,-0.106,-12.01,-0.054,-18.69
5조+,V20Q10G20M50 (M↑),5,7,2.59,41.03,0.063,6.45,0.227,-11.01
5조+,V20Q10G20M50 (M↑),5,10,1.66,40.17,0.041,4.11,0.188,-11.94
5조+,V20Q10G20M50 (M↑),7,10,0.08,37.65,0.002,0.2,0.116,-13.52
5조+,V20Q10G20M50 (M↑),10,14,6.04,34.68,0.174,15.44,0.381,-7.56
5조+,V20Q10G20M50 (M↑),15,20,3.97,34.29,0.116,10.0,0.292,-9.63
5조+,M100,3,4,2.98,47.61,0.062,7.44,0.25,-10.63
5조+,M100,3,6,2.18,51.31,0.043,5.43,0.223,-11.42
5조+,M100,5,7,4.59,39.93,0.115,11.62,0.308,-9.01
5조+,M100,5,10,3.83,35.18,0.109,9.63,0.278,-9.78
5조+,M100,7,10,4.85,36.75,0.132,12.29,0.324,-8.75
5조+,M100,10,14,6.0,34.23,0.175,15.35,0.38,-7.6
5조+,M100,15,20,4.02,34.43,0.117,10.14,0.294,-9.58
