univ,weights,slots,exit,cagr,mdd,calmar,total,sharpe,alpha
1조+,V15Q00G55M30 (현재),3,6,52.12,48.99,1.064,2431.49,1.228,33.18
1조+,V15Q00G55M30 (현재),5,7,42.17,61.97,0.68,1402.8,0.954,23.26
1조+,V15Q00G55M30 (현재),5,10,39.34,62.69,0.627,1187.09,0.918,20.43
1조+,V15Q00G55M30 (현재),7,10,33.14,58.84,0.563,806.9,0.909,14.24
1조+,V15Q00G55M30 (현재),10,14,26.59,58.41,0.455,514.94,0.709,7.69
1조+,V15Q00G55M30 (현재),15,20,20.33,51.36,0.396,316.09,0.685,1.43
1조+,V40Q25G15M20 (V↑),3,4,16.92,52.51,0.322,233.35,0.624,-2.21
1조+,V40Q25G15M20 (V↑),3,6,6.95,69.01,0.101,67.77,0.368,-12.1
1조+,V40Q25G15M20 (V↑),5,7,4.45,60.26,0.074,39.8,0.295,-14.46
1조+,V40Q25G15M20 (V↑),5,10,7.96,60.34,0.132,80.43,0.409,-10.94
1조+,V40Q25G15M20 (V↑),7,10,2.25,57.19,0.039,18.7,0.221,-16.66
1조+,V40Q25G15M20 (V↑),10,14,1.16,54.92,0.021,9.25,0.176,-17.75
1조+,V40Q25G15M20 (V↑),15,20,6.22,57.25,0.109,59.11,0.371,-12.69
1조+,V35Q35G15M15 (V+Q),3,4,7.14,70.25,0.102,70.15,0.372,-10.89
1조+,V35Q35G15M15 (V+Q),3,6,6.54,75.27,0.087,62.93,0.357,-12.89
1조+,V35Q35G15M15 (V+Q),5,7,8.52,59.3,0.144,87.73,0.428,-10.39
1조+,V35Q35G15M15 (V+Q),5,10,10.77,58.5,0.184,119.9,0.499,-8.14
