univ,v,q,g,m,slots,exit,cagr,mdd,calmar,total,alpha,sharpe
KP200+KQ150,0.3,0.0,0.6,0.1,3,4,63.03,31.32,2.013,4214.66,41.0,1.657
KP200+KQ150,0.3,0.0,0.6,0.1,5,7,44.02,29.76,1.479,1560.29,21.98,1.405
KP200+KQ150,0.3,0.0,0.6,0.1,7,10,39.94,25.58,1.562,1230.83,17.91,1.42
KP200+KQ150,0.3,0.0,0.6,0.1,10,14,37.41,22.9,1.634,1056.43,15.38,1.181
KP200+KQ150,0.3,0.0,0.7,0.0,3,4,53.94,35.29,1.528,2673.01,31.7,1.455
KP200+KQ150,0.3,0.0,0.7,0.0,5,7,50.47,32.09,1.573,2226.92,28.44,1.517
KP200+KQ150,0.3,0.0,0.7,0.0,7,10,45.57,26.9,1.694,1703.21,23.54,1.166
KP200+KQ150,0.3,0.0,0.7,0.0,10,14,39.82,22.2,1.794,1222.09,17.79,1.244
KP200+KQ150,0.3,0.1,0.0,0.6,3,4,26.02,33.81,0.77,493.67,4.3,0.869
KP200+KQ150,0.3,0.1,0.0,0.6,5,7,19.34,27.73,0.698,290.37,-2.68,0.785
KP200+KQ150,0.3,0.1,0.0,0.6,7,10,28.56,24.32,1.174,592.25,6.41,1.128
KP200+KQ150,0.3,0.1,0.0,0.6,10,14,25.92,23.89,1.085,490.1,3.89,1.08
KP200+KQ150,0.3,0.1,0.1,0.5,3,4,36.04,31.14,1.157,970.62,14.46,1.099
KP200+KQ150,0.3,0.1,0.1,0.5,5,7,30.8,27.44,1.123,691.03,8.72,1.12
KP200+KQ150,0.3,0.1,0.1,0.5,7,10,31.42,26.8,1.172,720.19,9.38,1.197
KP200+KQ150,0.3,0.1,0.1,0.5,10,14,28.62,26.45,1.082,595.12,6.59,1.167
KP200+KQ150,0.3,0.1,0.2,0.4,3,4,44.7,34.31,1.303,1621.93,23.02,1.269
KP200+KQ150,0.3,0.1,0.2,0.4,5,7,34.45,26.4,1.305,877.51,12.41,1.21
KP200+KQ150,0.3,0.1,0.2,0.4,7,10,32.91,26.85,1.226,794.75,10.88,1.253
KP200+KQ150,0.3,0.1,0.2,0.4,10,14,31.23,31.17,1.002,711.28,9.2,1.251
KP200+KQ150,0.3,0.1,0.3,0.3,3,4,46.61,48.46,0.962,1805.03,24.72,1.329
KP200+KQ150,0.3,0.1,0.3,0.3,5,7,35.77,30.32,1.18,954.06,13.74,1.262
KP200+KQ150,0.3,0.1,0.3,0.3,7,10,35.45,26.85,1.32,935.1,13.42,1.309
KP200+KQ150,0.3,0.1,0.3,0.3,10,14,31.72,24.5,1.295,734.61,9.68,1.28
KP200+KQ150,0.3,0.1,0.4,0.2,3,4,46.8,41.85,1.118,1824.31,25.01,1.383
