종목코드,기준일,당기순이익,법인세비용,자산,총부채,유동부채,유동자산,비유동자산,현금,감가상각비,자본,매출액,매출총이익,영업현금흐름,종목명,시가총액,섹터,매출액_1y,당기순이익_1y,영업이익_1y,EBIT,매출성장률,순이익성장률,영업이익성장률,ROE,부채비율,영업이익률,모멘텀_3M,모멘텀_6M,매출성장률_z,순이익성장률_z,영업이익성장률_z,ROE_z,부채비율_z,영업이익률_z,모멘텀_3M_z,모멘텀_6M_z,성장성_점수,퀄리티_점수,모멘텀_점수,코스닥성장_점수,코스닥성장_순위
099320,2024-12-31,62.0,-31.0,4470.0,2230.0,2098.0,2891.0,1579.0,1253.0,41.0,2240.0,1713.0,268.0,683.0,쎄트렉아이,1950422611800,KOSDAQ,1456.05,49.6,0,0,17.647058823529417,25.0,0,2.767857142857143,99.55357142857143,0.0,132.17247097844114,202.37580993520518,-0.8150972712773829,0.9949874371066199,0,0.18962422106423157,-0.17803807536449,0,1.3678303510924994,1.3531266287883403,0.05996338860974567,0.0038620485665805207,1.3604784899404199,0.4388976510003149,11.0
466100,2024-12-31,-67.0,,695.0,95.0,80.0,657.0,38.0,93.0,5.0,600.0,334.0,59.0,-75.0,클로봇,1836922216500,KOSDAQ,283.9,-53.6,0,0,17.647058823529417,25.0,0,-11.166666666666666,15.833333333333332,0.0,74.62686567164178,251.70340681362723,-0.8150972712773829,0.9949874371066199,0,-0.2843506247968515,0.5276328584410988,0,0.5344405070800586,1.8742851452517448,0.05996338860974567,0.08109407788141575,1.2043628261659016,0.40750935773092645,12.0
445680,2024-12-31,-81.0,1.0,706.0,219.0,199.0,323.0,383.0,242.0,10.0,486.0,46.0,26.0,-97.0,큐리옥스바이오시스템즈,2066363843100,KOSDAQ,39.1,-64.8,0,0,17.647058823529417,25.0,0,-16.666666666666664,45.06172839506173,0.0,74.64788732394365,195.23809523809524,-0.8150972712773829,0.9949874371066199,0,-0.47142997446607,0.2812691439305723,0,0.5347449479046765,1.2777148707079038,0.05996338860974567,-0.06338694351183256,0.9062299093062902,0.2891732783943934,13.0
108490,2024-12-31,-30.0,-20.0,1002.0,42.0,39.0,532.0,471.0,117.0,23.0,960.0,300.0,163.0,54.0,로보티즈,4786273908000,KOSDAQ,255.0,-24.0,0,0,17.647058823529417,25.0,0,-3.125,4.375,0.0,31.63538873994638,198.3424071553568,-0.8150972712773829,0.9949874371066199,0,-0.010817939295645508,0.6242141984749243,0,-0.08817281087798035,1.31051270996667,0.05996338860974567,0.20446541972642626,0.6111699495443448,0.2542257631134615,14.0
298380,2024-12-31,-555.0,,2320.0,647.0,634.0,1442.0,878.0,563.0,22.0,1673.0,334.0,334.0,-694.0,에이비엘바이오,13533228007500,KOSDAQ,283.9,-444.0,0,0,17.647058823529417,25.0,0,-33.173939031679616,38.673042438732814,0.0,108.11123986095019,146.02739726027397,-0.8150972712773829,0.9949874371066199,0,-1.0329153888041223,0.33511884726592034,0,1.019369586089759,0.7577914206468513,0.05996338860974567,-0.23259884717940063,0.8885805033683052,0.25003607587948423,15.0
397030,2024-12-31,200.0,,996.0,86.0,85.0,966.0,30.0,33.0,7.0,910.0,275.0,275.0,220.0,에이프릴바이오,1341441242800,KOSDAQ,233.75,160.0,0,0,17.647058823529417,25.0,0,21.978021978021978,9.45054945054945,0.0,61.01694915254237,113.96396396396398,-0.8150972712773829,0.9949874371066199,0,0.8430469745917096,0.5814328136887124,0,0.3373382932028429,0.4190331517083951,0.05996338860974567,0.47482659609347405,0.378185722455619,0.23840273026025335,16.0
140410,2024-12-31,-195.0,49.0,740.0,279.0,267.0,419.0,321.0,136.0,10.0,461.0,86.0,19.0,-185.0,메지온,5243847947800,KOSDAQ,73.1,-156.0,0,0,17.647058823529417,25.0,0,-42.299349240780906,60.520607375271155,0.0,89.33566433566433,164.79217603911982,-0.8150972712773829,0.9949874371066199,0,-1.34331099014658,0.15096753689091844,0,0.7474570069303396,0.9560460466374641,0.05996338860974567,-0.3974478177518872,0.8517515267839018,0.20601758878966592,17.0
032820,2024-12-31,-44.0,2.0,2655.0,1534.0,733.0,830.0,1825.0,109.0,35.0,1121.0,713.0,186.0,39.0,우리기술,1502478677900,KOSDAQ,606.05,-35.2,0,0,17.647058823529417,25.0,0,-3.9250669045495097,136.8421052631579,0.0,98.11097992916176,117.63942931258104,-0.8150972712773829,0.9949874371066199,0,-0.038031756785643155,-0.49234003018406897,0,0.8745433214218591,0.45786537118827497,0.05996338860974567,-0.1767905956565707,0.6662043463050671,0.19448487906507883,18.0
323280,2024-12-31,60.0,11.0,796.0,386.0,221.0,336.0,460.0,110.0,11.0,410.0,592.0,146.0,45.0,태성,2183852268000,KOSDAQ,503.2,48.0,0,0,17.647058823529417,25.0,0,14.634146341463413,94.14634146341463,0.0,97.14867617107943,75.36231884057972,-0.8150972712773829,0.9949874371066199,0,0.5932492512937105,-0.1324609830672478,0,0.8606069977953169,0.011197023888634553,0.05996338860974567,0.1535960894088209,0.4359020108419757,0.19147151543922974,19.0
098460,2024-12-31,210.0,71.0,3779.0,548.0,361.0,2840.0,939.0,535.0,105.0,3232.0,2025.0,1259.0,364.0,고영,2251875964000,KOSDAQ,1721.25,168.0,0,0,17.647058823529417,25.0,0,6.497524752475248,16.955445544554458,0.0,69.0919674039581,90.36697247706422,-0.8150972712773829,0.9949874371066199,0,0.3164867284987232,0.5181746678059229,0,0.45428272649303925,0.16972497830147568,0.05996338860974567,0.27822046543488205,0.3120038523972575,0.1792269431110265,20.0
