ticker,name,strategy,current_price,daily_return,per,rsi,from_52w_high,volume_signal,quality_score,price_score,category,reasoning
056080,유진로봇,C,32700,1.238390092879257,999.0,67.78711484593838,-9.668508287292818,0.14956607166338973,46,38,NO_ENTRY,60일선 +85% 괴리
140410,메지온,C,156200,-1.0766307789740341,999.0,81.97845249755142,-9.554140127388536,0.9213386603164858,46,30,NO_ENTRY,60일선 +69% 괴리
049630,재영솔루텍,B,4925,4.232804232804233,179.9126509375,51.311953352769684,-31.59722222222222,0.7114718636386826,44,53,NO_ENTRY,60일선 +37% 괴리
174900,앱클론,C,65600,7.01468189233279,999.0,67.21698113207547,-3.10192023633678,0.7034464424192179,44,33,NO_ENTRY,60일선 +48% 괴리
458870,씨어스테크놀로지,C,171900,5.460122699386503,999.0,78.92325315005728,0.0,0.5264478222572121,44,44,NO_ENTRY,60일선 +36% 괴리
058610,에스피지,C,156700,5.521885521885522,265.2818558778626,78.06451612903226,-0.8855154965211892,0.2713659682648472,44,44,NO_ENTRY,60일선 +100% 괴리
099320,쎄트렉아이,C,213000,13.35816923895689,376.22938935483876,84.85558157689306,0.0,1.0385422210678337,44,28,NO_ENTRY,60일선 +146% 괴리
466100,클로봇,C,72600,3.7142857142857144,999.0,65.87301587301587,-4.095112285336857,0.29575170079714863,44,37,NO_ENTRY,60일선 +31% 괴리
397030,에이프릴바이오,C,62700,2.7868852459016393,73.17913251,81.31313131313132,0.0,1.1740286004774114,44,28,NO_ENTRY,60일선 +35% 괴리
032820,우리기술,C,9180,4.67502850627138,999.0,79.95391705069125,0.0,0.41286964094055084,44,48,NO_ENTRY,60일선 +91% 괴리
323280,태성,C,74700,2.328767123287671,380.197851,96.2871287128713,0.0,0.7668331965721266,44,24,NO_ENTRY,60일선 +61% 괴리 + RSI 96 극과열
277810,레인보우로보틱스,C,756000,6.179775280898876,6983.94888,77.14808043875685,-0.5263157894736842,0.7821806861978816,44,44,NO_ENTRY,60일선 +58% 괴리
166090,하나머티리얼즈,C,64400,6.446280991735537,40.052899547169815,66.23376623376623,-3.7369207772795217,0.48071912226691615,44,33,NO_ENTRY,60일선 +37% 괴리
347700,스피어,C,28450,4.595588235294118,999.0,88.94297635605007,0.0,0.6397193813428355,44,24,NO_ENTRY,60일선 +103% 괴리 + RSI 89 극과열
281740,레이크머티리얼즈,C,25600,-3.3962264150943398,80.12866803809524,84.54106280193237,-4.299065420560748,0.9074819522692393,44,24,NO_ENTRY,60일선 +61% 괴리
095610,테스,C,70300,4.457652303120357,32.545814702576116,74.1514360313316,-2.631578947368421,0.5780904944341502,44,44,NO_ENTRY,60일선 +51% 괴리
