ma_w,cd,V_b,Q_b,G_b,M_b,V_d,Q_d,G_d,M_d,gs1_b,gs2_b,gs1_d,gs2_d,g_rev_b,g_rev_d,mom_b,mom_d,eb,xb,sb,ed,xd,sd,sl,ts,ts_cd,cal_78,cagr_78,mdd_78,wf_min,wf_mean,wf_cv,wf_2018,wf_2020,wf_2022,wf_2024,score,V,Q,G,M
250,8,0.1,0.0,0.6,0.3,0.35,0.2,0.15,0.3,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.734,66.36,38.27,-0.024,0.16375,0.9973229127268001,-0.024,0.031,0.359,0.289,-0.024,35,20,15,30
250,8,0.1,0.0,0.6,0.3,0.35,0.05,0.1,0.5,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.511,73.0,48.31,-0.03,0.077,0.8902026656707333,-0.03,0.071,0.112,0.155,-0.03,35,5,10,50
250,8,0.1,0.0,0.6,0.3,0.2,0.2,0.1,0.5,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.857,78.32,42.18,-0.031,0.435,0.7465904354947952,0.883,-0.031,0.4,0.488,-0.031,20,20,10,50
250,8,0.1,0.0,0.6,0.3,0.35,0.15,0.25,0.25,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.867,71.93,38.53,-0.032,0.20125,0.6948919981450852,0.321,-0.032,0.297,0.219,-0.032,35,15,25,25
250,8,0.1,0.0,0.6,0.3,0.25,0.2,0.1,0.45,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.887,69.22,36.69,-0.033,0.2655,0.6664990692330475,0.34,-0.033,0.43,0.325,-0.033,25,20,10,45
250,8,0.1,0.0,0.6,0.3,0.3,0.05,0.1,0.55,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.593,75.09,47.15,-0.033,0.4425,0.655956290890443,0.753,-0.033,0.504,0.546,-0.033,30,5,10,55
250,8,0.1,0.0,0.6,0.3,0.4,0.1,0.2,0.3,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.72,68.85,40.04,-0.036,0.15475,0.9569309754913674,-0.036,0.089,0.367,0.199,-0.036,40,10,20,30
250,8,0.1,0.0,0.6,0.3,0.2,0.2,0.15,0.45,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.823,71.33,39.13,-0.044,0.09625,1.134428779500866,-0.044,0.024,0.213,0.192,-0.044,20,20,15,45
250,8,0.1,0.0,0.6,0.3,0.15,0.2,0.2,0.45,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.416,61.92,43.72,-0.048,0.08800000000000001,1.342641407976539,-0.048,0.044,0.276,0.08,-0.048,15,20,20,45
250,8,0.1,0.0,0.6,0.3,0.25,0.05,0.15,0.55,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.39,69.29,49.86,-0.057,0.127,1.170357953566121,-0.057,0.055,0.164,0.346,-0.057,25,5,15,55
250,8,0.1,0.0,0.6,0.3,0.15,0.15,0.15,0.55,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.471,69.48,47.24,-0.058,0.181,0.794264950411789,-0.058,0.289,0.298,0.195,-0.058,15,15,15,55
250,8,0.1,0.0,0.6,0.3,0.4,0.1,0.15,0.35,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.406,62.21,44.25,-0.063,0.148,1.080975501601257,0.049,-0.063,0.305,0.301,-0.063,40,10,15,35
250,8,0.1,0.0,0.6,0.3,0.35,0.1,0.2,0.35,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.862,76.49,41.07,-0.066,0.27399999999999997,0.7724519589446353,0.358,-0.066,0.511,0.293,-0.066,35,10,20,35
250,8,0.1,0.0,0.6,0.3,0.3,0.2,0.2,0.3,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.502,66.54,44.29,-0.071,0.2065,0.8812594737414056,0.243,-0.071,0.439,0.215,-0.071,30,20,20,30
250,8,0.1,0.0,0.6,0.3,0.3,0.2,0.15,0.35,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.631,63.77,39.1,-0.077,0.14425,1.0791578371704111,0.083,-0.077,0.332,0.239,-0.077,30,20,15,35
250,8,0.1,0.0,0.6,0.3,0.25,0.15,0.15,0.45,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.744,76.22,43.69,-0.086,0.1335,1.073731234613773,0.116,-0.086,0.199,0.305,-0.086,25,15,15,45
250,8,0.1,0.0,0.6,0.3,0.4,0.05,0.1,0.45,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.452,66.59,45.86,-0.09,0.08149999999999999,1.9957895384199718,0.055,-0.09,0.013,0.348,-0.09,40,5,10,45
250,8,0.1,0.0,0.6,0.3,0.35,0.15,0.2,0.3,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.694,66.46,39.23,-0.121,0.09300000000000001,1.6753502540698768,-0.121,0.015,0.275,0.203,-0.121,35,15,20,30
250,8,0.1,0.0,0.6,0.3,0.2,0.15,0.2,0.45,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.342,69.18,51.55,-0.126,0.126,1.2097383470109448,-0.126,0.178,0.284,0.168,-0.126,20,15,20,45
250,8,0.1,0.0,0.6,0.3,0.35,0.15,0.1,0.4,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.574,70.23,44.63,-0.133,0.05125,2.4039774695291074,-0.133,0.057,0.067,0.214,-0.133,35,15,10,40
250,8,0.1,0.0,0.6,0.3,0.25,0.05,0.2,0.5,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.48,77.73,52.51,-0.136,0.112,1.3852959834398906,-0.136,0.111,0.28,0.193,-0.136,25,5,20,50
250,8,0.1,0.0,0.6,0.3,0.3,0.05,0.2,0.45,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.445,82.66,57.19,-0.152,0.13675,1.5659359874249004,-0.152,0.153,0.45,0.096,-0.152,30,5,20,45
250,8,0.1,0.0,0.6,0.3,0.2,0.2,0.25,0.35,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.347,58.75,43.62,-0.156,0.12775,1.5008993771529135,-0.156,0.106,0.379,0.182,-0.156,20,20,25,35
250,8,0.1,0.0,0.6,0.3,0.3,0.2,0.1,0.4,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.798,75.53,42.01,-0.187,0.0525,2.8496568596389067,-0.187,0.048,0.209,0.14,-0.187,30,20,10,40
250,8,0.1,0.0,0.6,0.3,0.35,0.05,0.15,0.45,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.471,73.52,49.98,-0.192,0.0595,2.6924479904095935,-0.192,0.033,0.193,0.204,-0.192,35,5,15,45
250,8,0.1,0.0,0.6,0.3,0.25,0.1,0.2,0.45,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.226,71.41,58.25,-0.199,0.07200000000000001,2.5676232284371237,-0.199,0.276,0.204,0.007,-0.199,25,10,20,45
250,8,0.1,0.0,0.6,0.3,0.4,0.05,0.15,0.4,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.407,67.35,47.88,-0.201,0.04625,3.6755286139102163,-0.201,-0.021,0.188,0.219,-0.201,40,5,15,40
250,8,0.1,0.0,0.6,0.3,0.3,0.15,0.2,0.35,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.576,66.32,42.08,-0.202,-0.009000000000000008,99.0,-0.202,-0.085,0.151,0.1,-0.202,30,15,20,35
250,8,0.1,0.0,0.6,0.3,0.35,0.15,0.15,0.35,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.79,68.99,38.55,-0.214,0.0395,4.28598323600443,-0.214,-0.011,0.22,0.163,-0.214,35,15,15,35
250,8,0.1,0.0,0.6,0.3,0.2,0.1,0.2,0.5,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.361,76.22,56.02,-0.219,0.06075,2.9062793602635053,-0.219,0.043,0.179,0.24,-0.219,20,10,20,50
250,8,0.1,0.0,0.6,0.3,0.15,0.2,0.1,0.55,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.271,65.64,51.66,-0.236,-0.010499999999999995,99.0,-0.236,0.079,0.02,0.095,-0.236,15,20,10,55
250,8,0.1,0.0,0.6,0.3,0.25,0.2,0.15,0.4,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.458,59.99,41.14,-0.248,0.032749999999999994,6.205440186532301,-0.248,-0.073,0.21,0.242,-0.248,25,20,15,40
250,8,0.1,0.0,0.6,0.3,0.25,0.2,0.2,0.35,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.346,59.96,44.55,-0.249,0.0004999999999999961,345.81064182584356,-0.249,-0.008,0.239,0.02,-0.249,25,20,20,35
250,8,0.1,0.0,0.6,0.3,0.2,0.1,0.25,0.45,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.292,73.35,56.78,-0.254,0.062,3.021450368764198,-0.254,0.205,0.199,0.098,-0.254,20,10,25,45
250,8,0.1,0.0,0.6,0.3,0.2,0.05,0.2,0.55,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.431,78.83,55.07,-0.262,0.05725,3.414755021707828,-0.262,0.081,0.263,0.147,-0.262,20,5,20,55
250,8,0.1,0.0,0.6,0.3,0.2,0.15,0.25,0.4,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.322,65.97,49.89,-0.264,0.13474999999999998,1.9785082748063594,-0.264,0.186,0.485,0.132,-0.264,20,15,25,40
