ma_w,cd,V_b,Q_b,G_b,M_b,V_d,Q_d,G_d,M_d,gs1_b,gs2_b,gs1_d,gs2_d,g_rev_b,g_rev_d,mom_b,mom_d,eb,xb,sb,ed,xd,sd,sl,ts,ts_cd,cal_78,cagr_78,mdd_78,wf_min,wf_mean,wf_cv,wf_2018,wf_2020,wf_2022,wf_2024,score
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,2,5,2,3,6,3,-0.15,-0.25,1,1.342,65.59,48.86,0.649,1.41475,0.3243389788010987,0.649,1.797,1.472,1.741,0.649
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,2,5,2,3,6,3,-0.15,-0.25,2,1.268,61.98,48.86,0.649,1.3737499999999998,0.31646125040936934,0.649,1.736,1.425,1.685,0.649
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,2,5,2,3,6,3,-0.15,-0.25,3,1.236,60.4,48.86,0.649,1.3445,0.3104815998601677,0.649,1.692,1.392,1.645,0.649
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,2,5,2,3,6,3,-0.15,-0.25,5,1.233,60.24,48.86,0.649,1.5965,0.35484755504197857,0.649,2.069,1.676,1.992,0.649
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,2,5,2,3,6,3,-0.2,-0.15,0,1.308,63.79,48.78,0.649,1.51075,0.34392081730428226,0.649,1.906,1.554,1.934,0.649
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,2,5,2,3,6,3,-0.2,-0.2,0,1.326,66.77,50.35,0.649,1.30325,0.30629293013080544,0.649,1.732,1.422,1.41,0.649
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,2,5,2,3,6,3,-0.2,-0.25,0,1.245,60.84,48.86,0.649,1.4809999999999999,0.33625758943518824,0.649,1.896,1.547,1.832,0.649
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,2,5,2,3,6,3,-0.2,-0.25,1,1.242,60.67,48.86,0.649,1.41475,0.3243389788010987,0.649,1.797,1.472,1.741,0.649
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,2,5,2,3,6,3,-0.2,-0.25,2,1.217,59.46,48.86,0.649,1.3737499999999998,0.31646125040936934,0.649,1.736,1.425,1.685,0.649
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,2,5,2,3,6,3,-0.2,-0.25,3,1.203,58.8,48.86,0.649,1.3445,0.3104815998601677,0.649,1.692,1.392,1.645,0.649
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,2,5,2,3,6,3,-0.2,-0.25,5,1.265,61.82,48.86,0.649,1.5965,0.35484755504197857,0.649,2.069,1.676,1.992,0.649
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,2,5,2,3,6,3,-0.1,-0.15,0,1.304,63.62,48.78,0.646,1.5262499999999999,0.3498846266305817,0.646,1.96,1.552,1.947,0.646
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,2,5,2,3,6,3,-0.1,-0.2,0,1.33,66.96,50.35,0.646,1.32925,0.3144762598538325,0.646,1.781,1.42,1.47,0.646
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,2,5,2,3,6,3,-0.1,-0.2,1,1.283,66.57,51.9,0.646,1.22725,0.2916575341542587,0.646,1.623,1.3,1.34,0.646
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,2,5,2,3,6,3,-0.1,-0.2,2,1.26,63.42,50.35,0.646,1.32925,0.3144762598538325,0.646,1.781,1.42,1.47,0.646
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,2,5,2,3,6,3,-0.1,-0.2,3,1.28,64.3,50.25,0.646,1.336,0.3159409769585298,0.646,1.792,1.428,1.478,0.646
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,2,5,2,3,6,3,-0.1,-0.2,5,1.272,63.91,50.25,0.646,1.342,0.3171255901156253,0.646,1.801,1.435,1.486,0.646
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,2,5,2,3,6,3,-0.1,-0.25,0,1.274,62.24,48.86,0.646,1.4960000000000002,0.34267622888222754,0.646,1.949,1.545,1.844,0.646
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,2,5,2,3,6,3,-0.1,-0.25,1,1.273,62.19,48.86,0.646,1.429,0.3310580243503555,0.646,1.848,1.469,1.753,0.646
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,2,5,2,3,6,3,-0.1,-0.25,2,1.251,61.14,48.86,0.646,1.38775,0.32327492243830863,0.646,1.786,1.423,1.696,0.646
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,2,5,2,3,6,3,-0.1,-0.25,3,1.259,61.53,48.86,0.646,1.35825,0.31740905593703406,0.646,1.741,1.39,1.656,0.646
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,2,5,2,3,6,3,-0.1,-0.25,5,1.314,64.23,48.86,0.646,1.61275,0.3609737171646658,0.646,2.126,1.674,2.005,0.646
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,2,5,2,3,6,3,-0.15,-0.1,1,1.438,63.06,43.85,0.643,1.3955000000000002,0.3206047296996906,0.643,1.472,1.74,1.727,0.643
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,2,5,2,3,6,3,-0.2,-0.1,1,1.402,63.68,45.43,0.643,1.39725,0.32219093428480505,0.643,1.463,1.756,1.727,0.643
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,2,5,2,3,6,3,-0.2,-0.2,1,1.254,65.98,52.61,0.638,1.197,0.2872764312318046,0.638,1.577,1.293,1.28,0.638
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,2,5,2,3,6,3,-0.07,-0.1,0,1.217,61.29,50.35,0.634,1.48875,0.34196927255890824,0.634,1.671,1.672,1.978,0.634
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,2,5,2,3,6,3,-0.15,-0.1,2,1.074,56.06,52.22,0.632,1.3165,0.32060382385515224,0.632,1.654,1.677,1.303,0.632
