V,Q,G,M,mom,gs,E,X,S,cal_78,cagr_78,mdd_78,cal_525,cagr_525,mdd_525,score
25,10,20,45,6m,2f_rev_oca_0.7,3,6,7,1.474,70.13,47.6,2.32,94.8,40.86,1.8969999999999998
35,15,15,35,6m,2f_rev_accel_opm_0.5,3,6,7,2.104,106.68,50.71,1.688,85.58,50.71,1.896
35,15,15,35,6m-1m,2f_rev_accel_opm_0.5,3,4,5,2.065,101.28,49.06,1.726,84.67,49.06,1.8955
25,5,30,40,6m-1m,2f_rev_oca_0.7,3,6,7,1.618,81.06,50.1,2.166,90.95,42.0,1.892
30,15,0,55,6m-1m,2f_rev_accel_opm_0.5,3,6,7,1.151,67.03,58.25,2.631,110.58,42.03,1.891
30,15,0,55,6m-1m,2f_rev_oca_0.7,3,6,7,1.151,67.03,58.25,2.631,110.58,42.03,1.891
35,0,15,50,6m,2f_rev_oca_0.7,5,8,5,1.78,84.17,47.29,2.001,90.24,45.09,1.8904999999999998
20,5,15,60,6m,2f_rev_accel_opm_0.5,3,4,5,0.899,65.81,73.2,2.88,124.05,43.07,1.8895
40,10,5,45,6m,2f_rev_oca_0.7,3,4,5,1.948,98.23,50.44,1.831,92.35,50.44,1.8895
40,10,5,45,6m,2f_rev_accel_opm_0.5,3,6,7,1.81,90.01,49.73,1.968,90.19,45.83,1.889
35,5,0,60,6m-1m,2f_rev_accel_opm_0.5,3,6,7,1.125,70.08,62.3,2.653,110.89,41.79,1.889
35,5,0,60,6m-1m,2f_rev_oca_0.7,3,6,7,1.125,70.08,62.3,2.653,110.89,41.79,1.889
25,0,15,60,6m-1m,2f_rev_oca_0.7,3,4,5,0.887,66.57,75.09,2.887,122.22,42.34,1.887
35,15,5,45,6m,2f_rev_oca_0.7,3,6,7,2.0,102.2,51.1,1.772,90.57,51.1,1.8860000000000001
40,15,0,45,6m,2f_rev_oca_0.7,3,4,5,2.027,103.62,51.12,1.745,89.22,51.12,1.8860000000000001
40,15,0,45,6m,2f_rev_accel_opm_0.5,3,4,5,2.027,103.62,51.12,1.745,89.22,51.12,1.8860000000000001
40,15,10,35,6m,2f_rev_oca_0.7,3,4,5,2.131,102.03,47.89,1.637,78.4,47.89,1.884
