ma_w,cd,V_b,Q_b,G_b,M_b,V_d,Q_d,G_d,M_d,gs1_b,gs2_b,gs1_d,gs2_d,g_rev_b,g_rev_d,mom_b,mom_d,eb,xb,sb,ed,xd,sd,sl,ts,ts_cd,cal_78,cagr_78,mdd_78,wf_min,wf_mean,wf_cv,wf_2018,wf_2020,wf_2022,wf_2024,score,g_rev,gs1,gs2,mom
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.146,66.65,58.13,0.182,0.47175,0.5706236989915638,0.182,0.81,0.66,0.235,0.182,0.7,oca_z,gp_growth_z,12m
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,rev_z,rev_accel_z,rev_z,oca_z,0.5,0.7,6m-1m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,0.749,44.27,59.09,0.178,0.24175000000000002,0.1810725086970011,0.296,0.264,0.229,0.178,0.178,0.5,rev_z,rev_accel_z,6m-1m
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,rev_accel_z,oca_z,rev_z,oca_z,0.8,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,0.952,50.32,52.87,0.175,0.32575000000000004,0.3889703555777684,0.483,0.414,0.231,0.175,0.175,0.8,rev_accel_z,oca_z,12m
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.5,0.7,6m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,0.866,49.5,57.17,0.17,0.33025,0.5818442764456185,0.17,0.181,0.646,0.324,0.17,0.5,oca_z,gp_growth_z,6m
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,rev_z,rev_accel_z,rev_z,oca_z,0.6,0.7,12m-1m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,0.875,47.75,54.57,0.166,0.42199999999999993,0.5100569846842269,0.414,0.166,0.76,0.348,0.166,0.6,rev_z,rev_accel_z,12m-1m
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,rev_z,rev_accel_z,rev_z,oca_z,0.6,0.7,6m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.074,57.53,53.57,0.162,0.43225,0.4228802991331167,0.384,0.162,0.53,0.653,0.162,0.6,rev_z,rev_accel_z,6m
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,rev_accel_z,oca_z,rev_z,oca_z,0.5,0.7,12m-1m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,0.761,41.72,54.79,0.144,0.27775,0.47441745555334236,0.38,0.144,0.436,0.151,0.144,0.5,rev_accel_z,oca_z,12m-1m
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.004,59.52,59.3,0.143,0.38075,0.5062896349110354,0.239,0.573,0.568,0.143,0.143,0.6,oca_z,gp_growth_z,12m
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,gp_growth_z,op_margin_z,rev_z,oca_z,0.8,0.7,6m-1m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,0.791,42.96,54.31,0.137,0.43024999999999997,0.42838522655787536,0.137,0.526,0.632,0.426,0.137,0.8,gp_growth_z,op_margin_z,6m-1m
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.6,0.7,6m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,0.927,49.27,53.15,0.115,0.5185,0.474824624507441,0.115,0.585,0.783,0.591,0.115,0.6,oca_z,gp_growth_z,6m
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,rev_z,oca_z,rev_z,oca_z,0.8,0.7,6m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,0.908,48.96,53.95,0.109,0.546,0.7042630628151687,0.222,0.109,0.872,0.981,0.109,0.8,rev_z,oca_z,6m
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,rev_z,rev_accel_z,rev_z,oca_z,0.5,0.7,6m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.057,57.65,54.52,0.102,0.36424999999999996,0.45158734722300053,0.384,0.102,0.416,0.555,0.102,0.5,rev_z,rev_accel_z,6m
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,rev_accel_z,oca_z,rev_z,oca_z,0.5,0.7,6m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,0.7,37.49,53.58,0.102,0.27525000000000005,0.47066983415303204,0.316,0.226,0.457,0.102,0.102,0.5,rev_accel_z,oca_z,6m
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,rev_z,oca_z,rev_z,oca_z,0.7,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.443,71.19,49.34,0.089,0.566,0.5540425894731091,0.482,0.089,0.873,0.82,0.089,0.7,rev_z,oca_z,12m
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,0.959,51.57,53.78,0.081,0.6832499999999999,0.5318569074388557,0.081,0.911,1.018,0.723,0.081,0.7,oca_z,gp_growth_z,6m
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,rev_z,oca_z,rev_z,oca_z,0.6,0.7,6m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,0.925,48.97,52.95,0.071,0.51075,0.7961868156151716,0.194,0.071,1.091,0.687,0.071,0.6,rev_z,oca_z,6m
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,rev_z,rev_accel_z,rev_z,oca_z,0.5,0.7,12m-1m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,0.813,44.56,54.84,0.069,0.34950000000000003,0.8218768947995941,0.446,0.106,0.777,0.069,0.069,0.5,rev_z,rev_accel_z,12m-1m
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,rev_z,gp_growth_z,rev_z,oca_z,0.8,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.47,68.99,46.94,0.064,0.6114999999999999,0.7127536947873406,0.315,0.064,1.123,0.944,0.064,0.8,rev_z,gp_growth_z,12m
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,rev_z,rev_accel_z,rev_z,oca_z,0.6,0.7,6m-1m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,0.835,47.43,56.78,0.061,0.19974999999999998,0.4345705020161337,0.296,0.202,0.24,0.061,0.061,0.6,rev_z,rev_accel_z,6m-1m
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,gp_growth_z,op_margin_z,rev_z,oca_z,0.6,0.7,6m-1m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,0.734,39.5,53.79,0.052,0.871,0.5897520334623498,0.052,1.402,1.19,0.84,0.052,0.6,gp_growth_z,op_margin_z,6m-1m
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,rev_z,rev_accel_z,rev_z,oca_z,0.8,0.7,6m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.12,58.04,51.81,0.048,0.39675,0.7213709550676782,0.309,0.048,0.388,0.842,0.048,0.8,rev_z,rev_accel_z,6m
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,rev_accel_z,oca_z,rev_z,oca_z,0.8,0.7,12m-1m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,0.878,44.0,50.1,0.038,0.3015,0.5445154372502865,0.487,0.362,0.319,0.038,0.038,0.8,rev_accel_z,oca_z,12m-1m
