eb,xb,sb,ed,xd,sd,cagr,sharpe,sortino,calmar,mdd,total,b_cagr,alpha,avg_holdings
2,6,5,5,5,5,77.18,1.485,2.325,1.95,39.58,7871.99,0.0,77.18,3.0
3,5,5,5,6,7,79.45,1.619,2.557,1.947,40.81,8688.27,0.0,79.45,3.6
5,6,2,2,5,5,89.29,1.517,2.45,1.947,45.86,13123.64,0.0,89.29,2.0
5,6,2,2,5,7,89.29,1.517,2.45,1.947,45.86,13123.64,0.0,89.29,2.0
2,5,2,3,5,3,86.12,1.5,2.442,1.946,44.25,11520.05,0.0,86.12,2.2
5,8,2,3,5,5,89.51,1.562,2.564,1.945,46.01,13239.78,0.0,89.51,2.3
5,8,2,3,5,7,89.51,1.562,2.564,1.945,46.01,13239.78,0.0,89.51,2.3
2,6,3,5,8,3,77.77,1.465,2.326,1.944,40.02,8078.47,0.0,77.77,2.6
2,8,3,5,5,3,77.78,1.488,2.335,1.944,40.02,8080.74,0.0,77.78,2.6
3,6,2,2,5,3,95.96,1.578,2.567,1.944,49.35,17139.61,0.0,95.96,2.0
2,6,5,5,5,7,76.89,1.481,2.32,1.943,39.58,7773.99,0.0,76.89,3.0
3,8,3,3,6,7,77.98,1.529,2.422,1.943,40.14,8153.12,0.0,77.98,2.9
3,8,3,3,6,5,77.86,1.527,2.42,1.94,40.14,8109.85,0.0,77.86,2.9
2,8,5,5,6,7,76.71,1.492,2.343,1.938,39.58,7711.31,0.0,76.71,3.2
5,8,3,5,8,7,76.37,1.578,2.419,1.934,39.49,7596.19,0.0,76.37,3.7
3,6,3,5,8,3,80.18,1.586,2.508,1.933,41.48,8964.39,0.0,80.18,2.8
2,8,3,5,6,7,76.42,1.486,2.329,1.931,39.58,7614.73,0.0,76.42,3.2
5,6,2,3,8,3,85.38,1.516,2.478,1.93,44.23,11171.11,0.0,85.38,2.3
5,8,2,5,8,7,86.58,1.569,2.536,1.926,44.94,11739.39,0.0,86.58,3.2
3,6,2,2,6,3,97.12,1.589,2.598,1.923,50.52,17933.44,0.0,97.12,2.0
3,6,3,3,5,3,84.77,1.608,2.564,1.922,44.1,10891.29,0.0,84.77,2.7
5,6,2,2,6,5,90.48,1.53,2.481,1.921,47.1,13775.75,0.0,90.48,2.1
5,6,2,2,6,7,90.48,1.53,2.481,1.921,47.1,13775.75,0.0,90.48,2.1
5,8,3,5,6,3,76.59,1.549,2.423,1.918,39.93,7670.13,0.0,76.59,2.9
3,5,5,5,8,7,78.17,1.613,2.525,1.916,40.81,8220.44,0.0,78.17,3.8
5,8,3,5,6,5,75.62,1.557,2.41,1.915,39.49,7349.66,0.0,75.62,3.5
2,8,5,5,8,7,75.45,1.484,2.312,1.907,39.58,7295.49,0.0,75.45,3.5
3,8,5,3,6,3,69.8,1.457,2.273,1.906,36.61,5656.34,0.0,69.8,3.0
2,6,3,2,8,3,81.72,1.454,2.305,1.902,42.97,9575.78,0.0,81.72,2.2
3,5,5,5,6,3,78.4,1.583,2.527,1.901,41.24,8300.38,0.0,78.4,3.0
5,8,3,5,8,5,75.03,1.559,2.386,1.9,39.49,7159.96,0.0,75.03,3.6
2,8,3,5,8,7,75.17,1.478,2.298,1.899,39.58,7204.05,0.0,75.17,3.4
3,5,5,5,6,5,77.42,1.592,2.515,1.897,40.81,7953.92,0.0,77.42,3.5
5,6,5,3,6,3,74.02,1.56,2.398,1.896,39.04,6844.48,0.0,74.02,3.6
5,6,3,2,8,3,83.52,1.565,2.446,1.895,44.08,10331.46,0.0,83.52,2.6
5,6,3,3,5,3,84.11,1.614,2.558,1.894,44.41,10591.55,0.0,84.11,2.7
2,6,3,2,8,5,81.13,1.45,2.291,1.893,42.85,9337.1,0.0,81.13,2.3
2,6,3,2,8,7,81.13,1.45,2.291,1.893,42.85,9337.1,0.0,81.13,2.3
2,8,2,2,8,3,91.18,1.518,2.48,1.893,48.17,14168.96,0.0,91.18,2.0
3,8,2,3,6,3,78.94,1.43,2.37,1.892,41.72,8499.53,0.0,78.94,2.2
5,8,3,5,5,5,74.71,1.549,2.392,1.892,39.49,7059.98,0.0,74.71,3.4
2,8,5,5,6,3,75.67,1.462,2.324,1.891,40.02,7366.54,0.0,75.67,2.7
2,8,5,5,6,5,74.71,1.466,2.305,1.888,39.58,7058.6,0.0,74.71,3.2
5,8,2,5,8,5,85.16,1.552,2.505,1.888,45.11,11068.32,0.0,85.16,3.1
2,5,3,5,8,3,75.46,1.448,2.285,1.886,40.02,7299.08,0.0,75.46,2.5
2,6,3,2,5,5,80.89,1.445,2.27,1.885,42.91,9240.98,0.0,80.89,2.1
2,6,3,2,5,7,80.89,1.445,2.27,1.885,42.91,9240.98,0.0,80.89,2.1
2,8,2,2,8,5,90.56,1.514,2.467,1.885,48.05,13816.97,0.0,90.56,2.1
2,8,2,2,8,7,90.56,1.514,2.467,1.885,48.05,13816.97,0.0,90.56,2.1
5,8,3,5,5,7,74.43,1.545,2.386,1.885,39.49,6971.96,0.0,74.43,3.4
2,8,3,5,6,3,75.39,1.456,2.31,1.884,40.02,7274.22,0.0,75.39,2.6
3,5,5,5,8,5,76.82,1.594,2.49,1.883,40.81,7748.83,0.0,76.82,3.7
2,8,3,5,6,5,74.42,1.46,2.291,1.881,39.58,6970.09,0.0,74.42,3.1
5,6,3,2,8,5,82.92,1.561,2.432,1.881,44.08,10074.13,0.0,82.92,2.6
5,6,3,2,8,7,82.92,1.561,2.432,1.881,44.08,10074.13,0.0,82.92,2.6
5,6,2,2,5,3,87.51,1.498,2.424,1.878,46.6,12202.29,0.0,87.51,2.0
2,8,2,2,5,5,90.3,1.509,2.445,1.877,48.11,13675.23,0.0,90.3,1.9
2,8,2,2,5,7,90.3,1.509,2.445,1.877,48.11,13675.23,0.0,90.3,1.9
5,6,3,2,5,5,82.67,1.554,2.406,1.876,44.08,9970.51,0.0,82.67,2.5
5,6,3,2,5,7,82.67,1.554,2.406,1.876,44.08,9970.51,0.0,82.67,2.5
2,6,2,2,8,3,89.5,1.494,2.44,1.875,47.74,13236.87,0.0,89.5,2.0
3,5,5,5,5,5,76.5,1.583,2.497,1.875,40.81,7640.74,0.0,76.5,3.4
5,6,5,5,5,3,77.91,1.65,2.502,1.875,41.55,8127.12,0.0,77.91,3.7
5,8,3,3,5,5,79.14,1.561,2.437,1.875,42.21,8571.52,0.0,79.14,2.8
5,8,3,3,5,7,79.14,1.561,2.437,1.875,42.21,8571.52,0.0,79.14,2.8
2,8,5,5,8,5,74.12,1.466,2.281,1.873,39.58,6876.31,0.0,74.12,3.3
3,6,5,5,8,3,74.97,1.554,2.422,1.873,40.04,7142.2,0.0,74.97,3.1
5,6,3,5,8,3,79.53,1.594,2.502,1.871,42.51,8717.2,0.0,79.53,2.9
3,8,5,5,5,3,73.6,1.539,2.37,1.87,39.37,6719.52,0.0,73.6,3.2
3,5,5,5,5,7,76.22,1.58,2.491,1.868,40.81,7545.58,0.0,76.22,3.4
3,5,3,3,5,3,80.08,1.553,2.504,1.867,42.88,8925.18,0.0,80.08,2.7
2,6,2,2,8,5,88.88,1.49,2.427,1.866,47.63,12907.87,0.0,88.88,2.0
2,6,2,2,8,7,88.88,1.49,2.427,1.866,47.63,12907.87,0.0,88.88,2.0
2,8,3,5,8,5,73.84,1.46,2.267,1.866,39.58,6790.05,0.0,73.84,3.3
2,8,5,5,5,5,73.8,1.458,2.288,1.865,39.58,6780.23,0.0,73.8,3.1
2,6,3,3,8,3,77.15,1.442,2.289,1.864,41.38,7861.75,0.0,77.15,2.4
5,6,3,2,6,5,83.83,1.568,2.441,1.862,45.03,10467.13,0.0,83.83,2.6
5,6,3,2,6,7,83.83,1.568,2.441,1.862,45.03,10467.13,0.0,83.83,2.6
5,6,5,5,6,7,76.55,1.654,2.513,1.862,41.12,7658.46,0.0,76.55,4.3
2,6,2,2,5,5,88.63,1.485,2.406,1.859,47.69,12775.39,0.0,88.63,1.9
2,6,2,2,5,7,88.63,1.485,2.406,1.859,47.69,12775.39,0.0,88.63,1.9
2,8,5,3,5,3,73.7,1.42,2.246,1.859,39.64,6748.59,0.0,73.7,2.5
3,6,5,3,5,3,79.43,1.575,2.478,1.859,42.72,8681.75,0.0,79.43,2.9
2,8,3,5,5,5,73.52,1.452,2.274,1.858,39.58,6695.16,0.0,73.52,3.0
2,8,5,5,5,7,73.52,1.454,2.283,1.858,39.58,6695.65,0.0,73.52,3.1
2,8,2,2,6,5,91.5,1.521,2.476,1.856,49.3,14354.55,0.0,91.5,2.0
2,8,2,2,6,7,91.5,1.521,2.476,1.856,49.3,14354.55,0.0,91.5,2.0
2,8,2,3,8,3,86.37,1.506,2.47,1.856,46.55,11641.25,0.0,86.37,2.2
2,6,3,2,6,5,82.03,1.458,2.301,1.855,44.22,9701.63,0.0,82.03,2.2
2,6,3,2,6,7,82.03,1.458,2.301,1.855,44.22,9701.63,0.0,82.03,2.2
5,8,2,5,5,5,84.82,1.544,2.513,1.854,45.74,10914.51,0.0,84.82,2.8
2,5,5,5,8,3,74.16,1.433,2.253,1.853,40.02,6890.02,0.0,74.16,2.6
5,6,2,2,6,3,88.62,1.509,2.454,1.853,47.83,12768.77,0.0,88.62,2.0
2,8,3,3,5,3,73.42,1.414,2.233,1.852,39.64,6663.91,0.0,73.42,2.4
2,8,3,5,5,7,73.24,1.448,2.269,1.851,39.58,6611.63,0.0,73.24,3.0
5,8,5,3,6,7,72.03,1.549,2.345,1.85,38.93,6260.21,0.0,72.03,3.8
5,5,2,2,8,3,84.88,1.476,2.424,1.849,45.91,10939.95,0.0,84.88,2.0
5,5,3,3,6,3,73.55,1.482,2.354,1.848,39.8,6704.86,0.0,73.55,2.8
2,5,3,2,8,3,79.36,1.437,2.266,1.847,42.97,8653.71,0.0,79.36,2.2
3,8,5,3,8,7,77.35,1.577,2.434,1.847,41.88,7929.92,0.0,77.35,3.3
