ma_w,cd,V_b,Q_b,G_b,M_b,V_d,Q_d,G_d,M_d,gs1_b,gs2_b,gs1_d,gs2_d,g_rev_b,g_rev_d,mom_b,mom_d,eb,xb,sb,ed,xd,sd,sl,ts,ts_cd,cal_78,cagr_78,mdd_78,wf_min,wf_mean,wf_cv,wf_2018,wf_2020,wf_2022,wf_2024,score,V,Q,G,M
250,8,0.25,0.0,0.55,0.2,0.3,0.15,0.15,0.4,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.321,54.02,40.89,-0.165,-0.0017500000000000016,99.0,-0.091,-0.165,0.066,0.183,-0.165,25,0,55,20
250,8,0.25,0.05,0.5,0.2,0.3,0.15,0.15,0.4,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.313,59.25,45.11,-0.169,0.11725,2.4390115381534514,-0.169,-0.075,0.14,0.573,-0.169,25,5,50,20
250,8,0.2,0.0,0.4,0.4,0.3,0.15,0.15,0.4,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.207,51.22,42.44,-0.171,0.16725,2.104236165558973,-0.171,-0.158,0.333,0.665,-0.171,20,0,40,40
250,8,0.05,0.05,0.6,0.3,0.3,0.15,0.15,0.4,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.298,60.41,46.55,-0.175,0.026249999999999996,7.144171307679386,-0.175,-0.13,0.128,0.282,-0.175,5,5,60,30
250,8,0.1,0.1,0.5,0.3,0.3,0.15,0.15,0.4,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.247,60.88,48.81,-0.175,-0.07599999999999998,99.0,-0.175,-0.127,0.084,-0.086,-0.175,10,10,50,30
250,8,0.1,0.1,0.55,0.25,0.3,0.15,0.15,0.4,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.288,62.73,48.7,-0.175,-0.016749999999999998,99.0,-0.175,0.042,0.177,-0.111,-0.175,10,10,55,25
250,8,0.1,0.1,0.6,0.2,0.3,0.15,0.15,0.4,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.078,52.26,48.48,-0.175,0.09625,2.2254556974301893,-0.175,-0.015,0.177,0.398,-0.175,10,10,60,20
250,8,0.15,0.05,0.5,0.3,0.3,0.15,0.15,0.4,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.725,75.94,44.03,-0.176,0.11175000000000002,2.551523527239383,-0.093,-0.176,0.159,0.557,-0.176,15,5,50,30
250,8,0.15,0.1,0.55,0.2,0.3,0.15,0.15,0.4,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.191,51.27,43.06,-0.18,-0.08125,99.0,-0.093,-0.18,-0.061,0.009,-0.18,15,10,55,20
250,8,0.25,0.1,0.4,0.25,0.3,0.15,0.15,0.4,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.515,65.66,43.34,-0.181,0.21,2.0974176974871805,-0.181,-0.045,0.115,0.951,-0.181,25,10,40,25
250,8,0.25,0.05,0.6,0.1,0.3,0.15,0.15,0.4,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,0.983,47.51,48.34,-0.183,0.30974999999999997,1.2118377315199342,-0.183,0.172,0.398,0.852,-0.183,25,5,60,10
250,8,0.2,0.0,0.5,0.3,0.3,0.15,0.15,0.4,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,2.043,84.09,41.16,-0.201,0.12975,2.046089460817232,-0.013,-0.201,0.225,0.508,-0.201,20,0,50,30
250,8,0.05,0.1,0.6,0.25,0.3,0.15,0.15,0.4,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.278,60.17,47.09,-0.203,0.0755,3.0082922690808434,-0.203,-0.091,0.266,0.33,-0.203,5,10,60,25
250,8,0.15,0.1,0.5,0.25,0.3,0.15,0.15,0.4,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.315,65.84,50.07,-0.217,-0.036,99.0,-0.132,-0.217,-0.029,0.234,-0.217,15,10,50,25
250,8,0.1,0.05,0.55,0.3,0.3,0.15,0.15,0.4,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.727,77.72,44.99,-0.226,-0.02675000000000001,99.0,-0.112,-0.226,-0.004,0.235,-0.226,10,5,55,30
250,8,0.25,0.1,0.55,0.1,0.3,0.15,0.15,0.4,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.148,52.12,45.41,-0.239,0.44999999999999996,0.9775391122862466,-0.239,0.466,0.596,0.977,-0.239,25,10,55,10
250,8,0.15,0.1,0.4,0.35,0.3,0.15,0.15,0.4,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.357,65.29,48.11,-0.243,-0.048999999999999995,99.0,-0.233,-0.243,0.057,0.223,-0.243,15,10,40,35
250,8,0.15,0.0,0.5,0.35,0.3,0.15,0.15,0.4,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.878,78.12,41.59,-0.244,0.10275000000000001,2.8116868750300794,0.033,-0.244,0.064,0.558,-0.244,15,0,50,35
250,8,0.0,0.1,0.6,0.3,0.3,0.15,0.15,0.4,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.259,58.88,46.76,-0.245,-0.062499999999999986,99.0,-0.213,-0.245,0.16,0.048,-0.245,0,10,60,30
250,8,0.25,0.1,0.5,0.15,0.3,0.15,0.15,0.4,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.173,56.26,47.94,-0.262,0.26075,1.4767002529702606,-0.262,0.293,0.191,0.821,-0.262,25,10,50,15
250,8,0.15,0.05,0.4,0.4,0.3,0.15,0.15,0.4,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.559,63.92,40.99,-0.266,0.10974999999999999,2.93867933955178,-0.104,-0.266,0.238,0.571,-0.266,15,5,40,40
250,8,0.0,0.1,0.55,0.35,0.3,0.15,0.15,0.4,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.475,66.59,45.15,-0.298,-0.0975,99.0,-0.213,-0.298,0.112,0.009,-0.298,0,10,55,35
250,8,0.1,0.1,0.4,0.4,0.3,0.15,0.15,0.4,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.381,61.86,44.8,-0.311,-0.008500000000000008,99.0,-0.211,-0.311,0.231,0.257,-0.311,10,10,40,40
250,8,0.05,0.0,0.6,0.35,0.3,0.15,0.15,0.4,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.49,67.89,45.57,-0.315,-0.047999999999999994,99.0,-0.153,-0.315,0.248,0.028,-0.315,5,0,60,35
250,8,0.05,0.1,0.55,0.3,0.3,0.15,0.15,0.4,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,0.836,49.88,59.66,-0.32,-0.1275,99.0,-0.213,-0.136,0.159,-0.32,-0.32,5,10,55,30
250,8,0.1,0.0,0.5,0.4,0.3,0.15,0.15,0.4,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.924,77.75,40.4,-0.325,-0.013749999999999998,99.0,-0.066,-0.325,0.061,0.275,-0.325,10,0,50,40
250,8,0.0,0.0,0.6,0.4,0.3,0.15,0.15,0.4,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.591,72.32,45.46,-0.35,0.010750000000000016,27.30857461863321,-0.175,-0.35,0.408,0.16,-0.35,0,0,60,40
250,8,0.0,0.05,0.6,0.35,0.3,0.15,0.15,0.4,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.493,67.82,45.42,-0.362,-0.10299999999999998,99.0,-0.175,-0.362,0.121,0.004,-0.362,0,5,60,35
250,8,0.1,0.05,0.5,0.35,0.3,0.15,0.15,0.4,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.54,71.65,46.52,-0.388,-0.032,99.0,-0.174,-0.388,0.05,0.384,-0.388,10,5,50,35
250,8,0.1,0.0,0.55,0.35,0.3,0.15,0.15,0.4,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.659,75.45,45.49,-0.392,-0.05075000000000002,99.0,-0.136,-0.392,-0.021,0.346,-0.392,10,0,55,35
250,8,0.05,0.05,0.55,0.35,0.3,0.15,0.15,0.4,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.582,72.67,45.94,-0.401,-0.136,99.0,-0.175,-0.401,0.011,0.021,-0.401,5,5,55,35
250,8,0.05,0.1,0.5,0.35,0.3,0.15,0.15,0.4,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.195,57.81,48.39,-0.403,-0.25225,99.0,-0.213,-0.403,-0.001,-0.392,-0.403,5,10,50,35
250,8,0.05,0.05,0.5,0.4,0.3,0.15,0.15,0.4,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.712,76.44,44.66,-0.408,-0.21275,99.0,-0.195,-0.408,-0.034,-0.214,-0.408,5,5,50,40
250,8,0.05,0.0,0.55,0.4,0.3,0.15,0.15,0.4,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.603,70.0,43.67,-0.41,-0.1175,99.0,-0.162,-0.41,-0.035,0.137,-0.41,5,0,55,40
250,8,0.0,0.1,0.5,0.4,0.3,0.15,0.15,0.4,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.659,72.57,43.74,-0.495,-0.21549999999999997,99.0,-0.213,-0.495,0.037,-0.191,-0.495,0,10,50,40
250,8,0.0,0.05,0.55,0.4,0.3,0.15,0.15,0.4,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.383,63.06,45.6,-0.517,-0.23399999999999999,99.0,-0.175,-0.517,0.039,-0.283,-0.517,0,5,55,40
