V,Q,G,M,mom,gs,cagr,mdd,calmar,total
0,10,55,35,6m,2f_rev_oca_0.7,33.56,42.92,0.782,797.49
5,15,40,40,6m-1m,3f_rev_oca_gp,38.42,49.22,0.781,1077.02
25,0,40,35,6m-1m,2f_rev_oca_0.7,36.41,46.66,0.78,953.44
10,5,40,45,12m,2f_rev_oca_0.7,42.5,54.47,0.78,1367.17
30,5,45,20,12m-1m,2f_rev_oca_0.7,39.17,50.5,0.776,1126.2
25,15,30,30,6m-1m,3f_rev_oca_gp,43.3,55.8,0.776,1430.56
10,5,40,45,12m,3f_rev_oca_gp,42.19,54.38,0.776,1343.1
5,0,55,40,12m,2f_rev_oca_0.7,36.94,47.63,0.776,985.07
20,5,30,45,12m-1m,2f_rev_oca_0.7,41.15,53.07,0.775,1264.6
25,10,30,35,6m-1m,3f_rev_oca_gp,39.12,50.53,0.774,1123.05
20,10,45,25,12m,2f_rev_oca_0.7,41.81,54.07,0.773,1313.86
5,10,50,35,6m-1m,3f_rev_oca_gp,39.22,50.83,0.772,1129.2
5,0,50,45,6m,3f_rev_oca_gp,40.48,52.49,0.771,1216.22
25,0,50,25,12m-1m,3f_rev_oca_gp,39.48,51.62,0.765,1147.21
10,0,50,40,6m,2f_rev_oca_0.7,34.68,45.4,0.764,856.15
25,10,30,35,6m,2f_rev_oca_0.7,41.32,54.08,0.764,1277.01
15,5,40,40,12m,2f_rev_oca_0.7,38.85,50.93,0.763,1104.78
30,10,20,40,6m,3f_rev_oca_gp,41.22,54.04,0.763,1270.06
30,0,45,25,12m-1m,2f_rev_oca_0.7,40.02,52.48,0.763,1184.27
20,5,50,25,12m,2f_rev_oca_0.7,44.01,57.81,0.761,1488.84
10,10,50,30,12m,3f_rev_oca_gp,40.48,53.22,0.761,1216.27
30,5,30,35,6m-1m,2f_rev_oca_0.7,38.58,50.78,0.76,1087.16
20,0,55,25,12m,3f_rev_oca_gp,45.66,60.1,0.76,1632.8
15,15,30,40,12m,3f_rev_oca_gp,34.06,44.85,0.759,823.57
15,5,50,30,12m-1m,3f_rev_oca_gp,39.06,51.46,0.759,1119.12
30,10,30,30,6m,2f_rev_oca_0.7,40.98,54.02,0.759,1252.45
5,15,50,30,12m-1m,3f_rev_oca_gp,40.81,53.73,0.759,1239.75
25,5,40,30,12m-1m,2f_rev_oca_0.7,41.68,54.9,0.759,1304.52
15,0,50,35,6m-1m,3f_rev_oca_gp,35.46,46.72,0.759,899.03
15,5,50,30,12m-1m,2f_rev_oca_0.7,40.73,53.78,0.757,1234.41
25,15,20,40,6m,3f_rev_oca_gp,42.31,55.93,0.756,1352.04
10,5,40,45,6m,3f_rev_oca_gp,37.83,50.01,0.756,1039.32
25,5,40,30,12m-1m,3f_rev_oca_gp,41.26,54.75,0.753,1272.58
10,10,45,35,6m,2f_rev_oca_0.7,35.1,46.67,0.752,878.8
15,15,40,30,12m-1m,3f_rev_oca_gp,39.17,52.37,0.748,1126.16
15,10,45,30,6m-1m,2f_rev_oca_0.7,34.63,46.39,0.746,853.52
5,15,50,30,12m,3f_rev_oca_gp,42.59,57.15,0.745,1374.41
20,5,45,30,6m-1m,3f_rev_oca_gp,36.69,49.24,0.745,970.13
25,5,45,25,12m,3f_rev_oca_gp,42.78,57.42,0.745,1388.6
25,10,40,25,12m-1m,2f_rev_oca_0.7,41.53,55.82,0.744,1293.06
30,10,20,40,6m-1m,2f_rev_oca_0.7,39.9,53.8,0.742,1175.97
30,0,45,25,12m-1m,3f_rev_oca_gp,39.8,53.73,0.741,1168.94
30,5,30,35,6m-1m,3f_rev_oca_gp,41.29,55.84,0.739,1275.07
30,15,20,35,6m,3f_rev_oca_gp,38.84,52.62,0.738,1104.14
15,5,40,40,6m,2f_rev_oca_0.7,34.36,46.56,0.738,838.89
5,15,40,40,6m,3f_rev_oca_gp,36.47,49.66,0.734,956.88
5,0,50,45,6m,2f_rev_oca_0.7,40.24,54.89,0.733,1199.72
5,10,55,30,6m-1m,3f_rev_oca_gp,35.39,48.57,0.729,895.01
0,15,40,45,6m,2f_rev_oca_0.7,36.04,49.57,0.727,931.77
10,5,55,30,6m-1m,3f_rev_oca_gp,34.28,47.24,0.726,834.73
30,10,30,30,6m,3f_rev_oca_gp,36.86,50.95,0.724,980.22
15,10,40,35,12m,2f_rev_oca_0.7,34.82,48.08,0.724,863.69
20,0,55,25,6m-1m,2f_rev_oca_0.7,34.07,47.21,0.722,823.66
25,0,45,30,6m-1m,2f_rev_oca_0.7,37.83,52.43,0.721,1039.21
20,10,30,40,12m,2f_rev_oca_0.7,38.03,52.75,0.721,1051.8
20,15,30,35,6m,2f_rev_oca_0.7,40.18,55.77,0.72,1195.17
10,15,50,25,12m-1m,2f_rev_oca_0.7,42.61,59.23,0.719,1375.44
30,5,40,25,12m-1m,2f_rev_oca_0.7,36.72,51.35,0.715,971.81
10,15,45,30,12m-1m,2f_rev_oca_0.7,39.5,55.27,0.715,1148.46
30,0,45,25,6m-1m,2f_rev_oca_0.7,35.54,49.77,0.714,903.74
30,15,20,35,12m,2f_rev_oca_0.7,32.23,45.13,0.714,731.94
10,15,50,25,6m-1m,3f_rev_oca_gp,36.88,51.72,0.713,980.98
20,0,40,40,12m,3f_rev_oca_gp,38.98,54.68,0.713,1113.53
15,10,40,35,6m,2f_rev_oca_0.7,38.1,53.43,0.713,1056.25
30,5,40,25,12m,2f_rev_oca_0.7,37.58,52.8,0.712,1023.7
15,5,40,40,12m,3f_rev_oca_gp,38.54,54.39,0.709,1084.4
0,10,45,45,12m,3f_rev_oca_gp,36.99,52.16,0.709,987.53
10,0,65,25,12m,3f_rev_oca_gp,43.03,60.74,0.708,1408.82
10,15,30,45,12m,3f_rev_oca_gp,38.88,55.02,0.707,1106.76
20,15,40,25,6m,3f_rev_oca_gp,41.06,58.04,0.707,1257.94
25,15,20,40,12m,2f_rev_oca_0.7,36.01,50.94,0.707,930.0
0,10,55,35,6m-1m,3f_rev_oca_gp,37.41,52.98,0.706,1013.27
5,0,60,35,12m,2f_rev_oca_0.7,33.35,47.32,0.705,786.66
25,15,30,30,6m,3f_rev_oca_gp,40.9,58.26,0.702,1246.85
