V,Q,G,M,mom,gs,cal_78,cagr_78,mdd_78,cal_525,cagr_525,mdd_525,score
15,5,50,30,12m-1m,2f_rev_oca_70,2.704,99.68,36.86,2.177,72.48,33.29,2.4262332946359466
5,5,60,30,6m-1m,3f_rev_oca_opm,2.698,101.46,37.6,2.181,70.47,32.31,2.4257654462045584
15,0,40,45,12m-1m,2f_rev_oca_60,2.752,102.33,37.18,2.138,79.5,37.18,2.4256496037144357
15,0,55,30,6m-1m,3f_rev_oca_gp,2.562,101.1,39.46,2.296,74.24,32.33,2.425356056334822
20,15,45,20,6m-1m,3f_rev_oca_opm,2.673,105.01,39.29,2.2,77.03,35.01,2.4249948453553465
0,5,65,30,12m,2f_rev_oca_70,2.487,98.11,39.44,2.362,75.65,32.03,2.423694287652632
20,15,40,25,6m,3f_rev_oca_gp,2.76,101.82,36.89,2.128,73.92,34.73,2.423485093826657
0,15,50,35,6m-1m,2f_rev_oca_60,2.61,96.73,37.06,2.25,75.7,33.65,2.423324163210527
20,5,45,30,12m-1m,2f_rev_oca_70,2.739,102.76,37.52,2.144,74.59,34.78,2.4233068315836523
0,0,60,40,6m,2f_rev_oca_60,2.757,101.19,36.71,2.13,78.17,36.71,2.423305593605561
15,10,55,20,6m,3f_rev_oca_opm,2.658,99.13,37.29,2.206,72.9,33.05,2.4214764091355505
15,10,50,25,12m,3f_rev_oca_opm,2.653,104.22,39.29,2.21,76.18,34.48,2.4213900966180564
5,5,50,40,12m-1m,2f_rev_oca_70,2.547,95.95,37.68,2.301,73.07,31.76,2.4208773203117917
20,15,50,15,6m-1m,3f_rev_oca_gp,2.626,98.34,37.44,2.229,71.15,31.93,2.4193705793036338
20,0,35,45,12m,3f_rev_oca_gp,2.803,106.53,38.0,2.086,79.28,38.0,2.41806906435693
25,0,35,40,12m-1m,2f_rev_oca_60,2.763,100.93,36.53,2.116,76.08,35.96,2.417955334575062
0,10,60,30,6m,2f_rev_oca_70,2.591,102.26,39.46,2.255,77.5,34.37,2.4171687984085843
10,10,60,20,6m,3f_rev_oca_opm,2.672,99.63,37.29,2.185,70.59,32.31,2.4162615752438725
