ma_w,cd,V_b,Q_b,G_b,M_b,V_d,Q_d,G_d,M_d,gs1_b,gs2_b,gs1_d,gs2_d,g_rev_b,g_rev_d,mom_b,mom_d,eb,xb,sb,ed,xd,sd,sl,ts,ts_cd,cal_78,cagr_78,mdd_78,wf_min,wf_mean,wf_cv,wf_2018,wf_2020,wf_2022,wf_2024,score
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,3,5,2,3,6,3,-0.1,-0.15,2,1.202,57.61,47.94,0.45,0.8420000000000001,0.37207720184846893,0.45,1.076,1.214,0.628,0.45
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,3,6,2,3,6,3,-0.1,-0.15,2,1.237,59.3,47.94,0.45,1.0725,0.36762530337264904,0.45,1.372,1.449,1.019,0.45
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,3,8,2,3,6,3,-0.1,-0.15,2,1.089,52.22,47.94,0.45,1.2235,0.3964014425338516,0.45,1.714,1.541,1.189,0.45
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,5,5,3,3,6,3,-0.1,-0.15,2,1.268,59.48,46.92,0.415,0.751,0.44413495238422007,0.415,0.438,1.184,0.967,0.415
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,5,6,3,3,6,3,-0.1,-0.15,2,1.102,53.79,48.81,0.415,0.6837500000000001,0.36905652842732767,0.415,0.463,1.012,0.845,0.415
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,3,5,2,3,6,5,-0.1,-0.15,2,1.284,61.12,47.59,0.405,0.7557500000000001,0.3676922346087916,0.405,1.022,1.034,0.562,0.405
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,3,5,2,3,6,7,-0.1,-0.15,2,1.292,61.47,47.59,0.405,0.7557500000000001,0.3676922346087916,0.405,1.022,1.034,0.562,0.405
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,3,6,2,3,6,5,-0.1,-0.15,2,1.321,62.85,47.59,0.405,0.9805,0.3679693179457683,0.405,1.314,1.258,0.945,0.405
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,3,6,2,3,6,7,-0.1,-0.15,2,1.328,63.2,47.59,0.405,0.9805,0.3679693179457683,0.405,1.314,1.258,0.945,0.405
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,3,8,2,3,6,5,-0.1,-0.15,2,1.169,55.61,47.59,0.405,1.12825,0.4070367814308254,0.405,1.651,1.345,1.112,0.405
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,3,8,2,3,6,7,-0.1,-0.15,2,1.176,55.95,47.59,0.405,1.12825,0.4070367814308254,0.405,1.651,1.345,1.112,0.405
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,3,5,3,3,5,3,-0.1,-0.15,2,1.189,61.25,51.53,0.394,0.8827499999999999,0.35115097987215715,0.394,1.031,1.234,0.872,0.394
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,3,5,5,3,5,3,-0.1,-0.15,2,1.169,60.45,51.69,0.394,0.9660000000000001,0.38602496964364896,0.394,1.249,1.342,0.879,0.394
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,3,6,3,3,5,3,-0.1,-0.15,2,1.1,57.07,51.88,0.394,0.90925,0.35643553664314054,0.394,1.144,1.223,0.876,0.394
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,3,6,5,3,5,3,-0.1,-0.15,2,1.128,58.7,52.04,0.394,0.9949999999999999,0.3784456774485947,0.394,1.301,1.328,0.957,0.394
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,3,8,3,3,5,3,-0.1,-0.15,2,1.031,52.94,51.33,0.394,0.9949999999999999,0.4058827285978127,0.394,1.402,1.323,0.861,0.394
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,3,8,5,3,5,3,-0.1,-0.15,2,1.003,51.56,51.39,0.394,1.05325,0.4134280496529136,0.394,1.472,1.418,0.929,0.394
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,2,5,2,3,5,3,-0.1,-0.15,2,1.231,57.31,46.57,0.388,1.3375,0.4783003360436997,0.388,2.191,1.42,1.351,0.388
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,2,6,2,3,5,3,-0.1,-0.15,2,1.322,61.57,46.57,0.388,1.5875,0.4832125327314096,0.388,2.42,1.493,2.049,0.388
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,2,8,2,3,5,3,-0.1,-0.15,2,1.242,57.82,46.57,0.388,1.6295,0.4917517012423441,0.388,2.506,1.502,2.122,0.388
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,2,5,3,3,5,3,-0.1,-0.15,2,1.175,54.69,46.55,0.384,1.51025,0.514483797652671,0.384,2.579,1.575,1.503,0.384
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,2,5,5,3,5,3,-0.1,-0.15,2,1.173,54.99,46.87,0.384,1.549,0.5235160246464162,0.384,2.677,1.575,1.56,0.384
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,2,6,3,3,5,3,-0.1,-0.15,2,1.204,55.95,46.46,0.384,1.70925,0.509509586748181,0.384,2.8,1.653,2.0,0.384
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,2,6,5,3,5,3,-0.1,-0.15,2,1.22,56.68,46.46,0.384,1.7109999999999999,0.5239297530667196,0.384,2.899,1.653,1.908,0.384
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,2,8,3,3,5,3,-0.1,-0.15,2,1.093,50.8,46.46,0.384,1.6885,0.4987456127290757,0.384,2.707,1.663,2.0,0.384
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,2,8,5,3,5,3,-0.1,-0.15,2,1.144,53.18,46.46,0.384,1.718,0.5187391514476849,0.384,2.876,1.663,1.949,0.384
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,5,5,2,3,6,3,-0.1,-0.15,2,1.131,53.53,47.34,0.377,0.59175,0.3187771688204568,0.377,0.658,0.867,0.465,0.377
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,5,6,2,3,6,3,-0.1,-0.15,2,1.26,59.63,47.34,0.377,0.7814999999999999,0.3067529742913606,0.377,0.858,1.003,0.888,0.377
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,5,5,3,3,6,5,-0.1,-0.15,2,1.354,63.03,46.56,0.37,0.66675,0.42804393887632625,0.37,0.399,1.007,0.891,0.37
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,5,5,3,3,6,7,-0.1,-0.15,2,1.361,63.38,46.56,0.37,0.66675,0.42804393887632625,0.37,0.399,1.007,0.891,0.37
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,5,6,3,3,6,5,-0.1,-0.15,2,1.181,57.22,48.47,0.37,0.60525,0.3478585958955107,0.37,0.424,0.848,0.779,0.37
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,5,6,3,3,6,7,-0.1,-0.15,2,1.188,57.56,48.47,0.37,0.60525,0.3478585958955107,0.37,0.424,0.848,0.779,0.37
