dV,dQ,dG,dM,d_mom,d_gs,dE,dX,dS,cal_78,cal_525,score
40,10,5,45,6m-1m,2f_70,3,6,7,2.715,3.472,3.0702573182064072
35,0,15,50,6m-1m,2f_80,5,8,7,2.946,3.199,3.0698947864707025
25,10,20,45,6m-1m,2f_60,5,8,7,3.023,3.117,3.069640206929796
30,5,15,50,6m-1m,2f_70,5,10,7,2.434,3.87,3.069133428184575
40,5,10,45,6m-1m,2f_60,3,6,7,2.935,3.206,3.0675087611936824
20,10,25,45,6m-1m,2f_60,5,8,7,3.096,3.039,3.0673676010546895
30,10,10,50,6m-1m,2f_60,3,6,7,2.881,3.262,3.0655867301382944
30,10,10,50,6m-1m,2f_60,3,6,5,2.881,3.262,3.0655867301382944
30,15,10,45,6m-1m,2f_60,5,10,7,2.701,3.479,3.0654166111639705
30,5,15,50,6m-1m,2f_80,5,10,7,2.736,3.434,3.065195589191659
25,0,25,50,6m-1m,2f_70,5,10,7,2.582,3.635,3.063587766002469
35,0,20,45,6m-1m,2f_70,5,8,7,2.961,3.169,3.0632350546440277
25,5,25,45,6m-1m,2f_70,5,10,7,2.99,3.136,3.062129977646279
20,10,25,45,6m-1m,2f_70,5,8,7,3.046,3.078,3.061958196971343
30,0,15,55,6m-1m,2f_60,5,10,7,2.609,3.589,3.0600165032234714
40,5,5,50,6m-1m,2f_60,5,8,7,3.003,3.114,3.0579964028755824
40,10,15,35,6m,2f_60,3,6,5,3.261,2.864,3.056060208830971
40,10,15,35,6m,2f_60,3,6,7,3.261,2.864,3.056060208830971
20,10,20,50,6m-1m,2f_70,5,8,7,2.269,4.111,3.0541543837861242
35,0,20,45,6m-1m,2f_60,5,10,7,2.917,3.194,3.0523594152720612
40,10,5,45,6m-1m,2f_60,3,8,7,2.625,3.548,3.051802745919205
35,20,5,40,6m-1m,2f_60,5,8,7,2.971,3.134,3.0514118043948115
40,5,10,45,6m-1m,2f_60,3,6,5,2.92,3.181,3.047707335030711
25,0,20,55,6m-1m,2f_60,5,8,7,2.042,4.548,3.0474605821897023
25,0,25,50,6m-1m,2f_60,5,8,7,2.693,3.44,3.0436688387536512
35,10,10,45,6m-1m,2f_70,3,8,7,2.847,3.253,3.043236928009385
35,15,10,40,6m-1m,2f_80,3,8,7,3.066,3.018,3.041905323970488
30,0,20,50,6m-1m,2f_70,3,8,7,2.626,3.517,3.039019907799223
20,15,20,45,6m-1m,2f_80,3,8,7,2.479,3.719,3.0363466534636654
40,5,5,50,6m-1m,2f_70,3,6,7,2.587,3.559,3.034325790023214
40,5,5,50,6m-1m,2f_70,3,6,5,2.587,3.559,3.034325790023214
25,10,10,55,6m-1m,2f_70,5,10,7,2.458,3.742,3.032793431805074
35,5,15,45,6m-1m,2f_70,5,8,7,2.817,3.265,3.03273886116164
25,0,20,55,6m-1m,2f_80,5,10,7,1.871,4.911,3.0312507319586746
40,10,15,35,6m,2f_60,3,8,7,3.187,2.881,3.0301397657533884
35,0,15,50,6m-1m,2f_70,5,10,7,2.852,3.216,3.02853628011949
30,15,5,50,6m-1m,2f_80,5,8,7,2.687,3.408,3.0261024437384796
35,5,15,45,6m-1m,2f_60,5,8,7,2.801,3.264,3.023650773485589
35,0,10,55,6m-1m,2f_80,5,8,7,2.808,3.255,3.0232499069709733
35,5,15,45,6m-1m,2f_80,5,10,7,2.692,3.394,3.0226888692023866
20,5,25,50,6m-1m,2f_60,5,10,7,2.926,3.122,3.0224116198823747
30,15,15,40,6m-1m,2f_60,3,8,7,2.861,3.192,3.0219715418911544
30,10,15,45,6m-1m,2f_70,5,10,7,2.545,3.587,3.021409439318015
20,15,15,50,6m-1m,2f_70,5,10,7,2.759,3.306,3.0201413874188074
35,15,5,45,6m-1m,2f_70,3,6,7,3.085,2.948,3.0157221357412887
35,15,5,45,6m-1m,2f_70,3,6,5,3.085,2.948,3.0157221357412887
30,10,10,50,6m-1m,2f_60,5,8,7,2.319,3.918,3.014273046689699
30,0,15,55,6m-1m,2f_70,5,8,7,2.672,3.4,3.014100197405521
30,5,25,40,6m-1m,2f_70,5,8,7,3.029,2.998,3.013460137449971
40,5,15,40,6m,2f_70,3,6,7,2.704,3.358,3.0133091444456874
35,10,10,45,6m-1m,2f_80,3,6,5,3.12,2.91,3.0131710870775326
30,20,5,45,6m-1m,2f_60,5,10,7,2.72,3.335,3.0118432894159683
30,0,25,45,6m-1m,2f_70,5,8,7,2.981,3.042,3.0113455464293697
35,5,5,55,6m-1m,2f_60,5,8,7,2.872,3.156,3.010653085295614
35,5,10,50,6m-1m,2f_70,5,10,7,2.788,3.251,3.0106125622537347
25,10,20,45,6m-1m,2f_60,3,8,7,2.118,4.273,3.0083573590915025
35,5,15,45,6m,2f_70,3,8,7,2.276,3.972,3.006704508261495
35,0,10,55,6m-1m,2f_80,5,10,7,2.758,3.277,3.006321007477412
30,10,10,50,6m-1m,2f_60,5,10,7,2.338,3.864,3.0056666481830616
35,10,10,45,6m-1m,2f_80,3,6,7,3.103,2.91,3.004950914740539
40,10,5,45,6m-1m,2f_70,3,8,7,2.596,3.478,3.0048108093522297
30,5,20,45,6m-1m,2f_80,3,8,7,2.781,3.244,3.0035918497692062
35,15,10,40,6m-1m,2f_60,3,6,7,3.03,2.974,3.0018694175463394
35,15,10,40,6m-1m,2f_60,3,6,5,3.03,2.974,3.0018694175463394
40,0,20,40,6m,2f_60,3,6,7,2.238,4.018,2.9987137242491153
35,20,5,40,6m-1m,2f_70,5,8,7,2.916,3.082,2.997851230464914
40,10,5,45,6m-1m,2f_80,3,6,5,2.653,3.383,2.9958469587080043
25,0,20,55,6m-1m,2f_70,5,10,7,1.83,4.904,2.9957169425698416
25,10,25,40,6m-1m,2f_70,5,8,7,3.105,2.886,2.9934979538994178
30,5,25,40,6m-1m,2f_80,5,8,7,2.969,3.018,2.993399739426727
35,0,20,45,6m,2f_70,3,8,7,2.391,3.745,2.992372804314329
40,10,5,45,6m-1m,2f_80,3,6,7,2.646,3.383,2.9918920435069176
30,5,15,50,6m-1m,2f_60,5,10,7,2.409,3.708,2.9887408720061366
30,10,20,40,6m-1m,2f_60,5,8,7,2.99,2.987,2.9884996235569448
35,5,5,55,6m-1m,2f_60,5,10,7,2.77,3.223,2.9879273752887636
30,20,5,45,6m-1m,2f_80,5,10,7,2.701,3.303,2.9868717749511777
20,15,15,50,6m-1m,2f_60,5,8,7,2.348,3.791,2.983499287749203
25,20,5,50,6m-1m,2f_60,5,10,7,2.567,3.467,2.9832514141453115
35,5,20,40,6m-1m,2f_80,3,8,7,2.844,3.128,2.9826216655821436
35,10,20,35,6m-1m,2f_80,5,8,7,2.952,3.013,2.9823440445394627
35,5,10,50,6m-1m,2f_80,5,8,7,2.866,3.1,2.980704614684253
30,0,25,45,6m-1m,2f_60,5,8,7,2.884,3.079,2.9799053676249523
30,10,20,40,6m-1m,2f_70,3,6,7,2.404,3.689,2.977978508988942
35,0,10,55,6m-1m,2f_70,5,8,7,2.775,3.194,2.9771378873004855
40,5,15,40,6m,2f_70,3,6,5,2.678,3.309,2.9768275059196827
30,0,20,50,6m-1m,2f_60,3,8,7,2.439,3.632,2.9763144995110986
20,15,15,50,6m-1m,2f_80,5,10,7,2.629,3.366,2.9747628476905517
20,15,20,45,6m-1m,2f_80,5,8,7,2.936,3.014,2.9747443587642954
30,20,5,45,6m-1m,2f_60,3,8,7,3.12,2.835,2.974088095534495
25,20,10,45,6m-1m,2f_60,5,10,7,2.771,3.192,2.974059851448857
25,15,25,35,6m-1m,2f_80,3,8,7,2.697,3.279,2.973796058911909
30,5,20,45,6m-1m,2f_70,3,6,5,2.984,2.963,2.97348146118317
35,5,10,50,6m-1m,2f_80,5,10,7,2.811,3.144,2.9728410653783697
35,0,10,55,6m-1m,2f_60,5,10,7,2.723,3.245,2.9725637083164425
20,10,15,55,6m-1m,2f_70,5,8,7,2.033,4.346,2.9724431029037377
30,10,20,40,6m-1m,2f_70,5,8,7,2.984,2.96,2.9719757737908967
25,0,25,50,6m-1m,2f_70,5,8,7,2.635,3.349,2.9706253550389015
35,5,5,55,6m-1m,2f_70,5,8,7,2.821,3.127,2.9700617838691503
35,15,5,45,6m-1m,2f_70,3,8,7,2.858,3.085,2.969331574614058
35,20,5,40,6m-1m,2f_60,5,10,7,2.842,3.102,2.969155435473192
40,0,20,40,6m,2f_60,3,6,5,2.22,3.97,2.968737105235154
35,5,10,50,6m-1m,2f_70,5,8,7,2.851,3.091,2.968575584350178
25,5,25,45,6m-1m,2f_80,5,8,7,2.903,3.032,2.966798948361685
30,10,15,45,6m-1m,2f_70,5,8,7,2.687,3.27,2.964201410160922
30,20,5,45,6m-1m,2f_70,5,10,7,2.667,3.29,2.9621664369174123
30,0,20,50,6m-1m,2f_70,5,10,7,2.668,3.286,2.9609201272577415
20,10,20,50,6m-1m,2f_80,5,10,7,2.184,4.014,2.960840421231783
30,0,20,50,6m-1m,2f_80,5,10,7,2.79,3.142,2.9607735475716477
30,10,5,55,6m-1m,2f_60,5,10,7,2.523,3.469,2.9584264398494007
35,5,20,40,6m-1m,2f_80,3,6,5,2.875,3.044,2.9582934269608887
35,5,20,40,6m-1m,2f_80,3,6,7,2.875,3.044,2.9582934269608887
20,15,20,45,6m-1m,2f_70,3,8,7,2.346,3.729,2.9577413680036324
40,5,5,50,6m-1m,2f_70,5,8,7,2.83,3.091,2.957622355879804
35,0,10,55,6m-1m,2f_60,5,8,7,2.782,3.144,2.957466483326565
30,15,5,50,6m-1m,2f_60,5,8,7,2.586,3.38,2.9564641042975643
20,5,20,55,6m-1m,2f_70,5,10,7,2.202,3.964,2.954442079310407
25,0,20,55,6m-1m,2f_60,5,10,7,1.761,4.948,2.951851622287272
40,5,5,50,6m-1m,2f_80,5,8,7,2.779,3.132,2.9502250761594446
35,5,5,55,6m-1m,2f_80,5,8,7,2.81,3.097,2.950011864382921
35,15,5,45,6m-1m,2f_80,3,6,5,2.972,2.928,2.9499179649610596
30,10,5,55,6m-1m,2f_60,5,8,7,2.662,3.268,2.949477241817607
35,15,5,45,6m-1m,2f_80,3,6,7,2.939,2.959,2.9489830450512935
30,10,20,40,6m-1m,2f_70,3,6,5,2.383,3.647,2.9480164517858443
30,5,10,55,6m-1m,2f_60,5,8,7,2.731,3.175,2.944643441912789
25,15,25,35,6m-1m,2f_80,3,6,7,2.707,3.198,2.94227564990094
25,15,25,35,6m-1m,2f_80,3,6,5,2.707,3.198,2.94227564990094
25,0,25,50,6m-1m,2f_60,5,10,7,2.514,3.443,2.942057443354905
35,0,20,45,6m-1m,2f_60,5,8,7,2.795,3.095,2.9411774852939425
40,0,10,50,6m-1m,2f_60,5,8,7,2.696,3.208,2.940878780228794
30,20,15,35,6m-1m,2f_70,3,8,7,3.086,2.801,2.9400486390534426
35,15,5,45,6m-1m,2f_60,3,6,7,2.951,2.928,2.93947750459159
35,15,5,45,6m-1m,2f_60,3,6,5,2.951,2.928,2.93947750459159
25,10,20,45,6m-1m,2f_60,5,10,7,2.873,3.007,2.9392364654787477
30,0,25,45,6m-1m,2f_70,5,10,7,2.914,2.963,2.9383978627816894
30,10,5,55,6m-1m,2f_70,5,8,7,2.723,3.169,2.9375477868453475
35,5,15,45,6m-1m,2f_80,3,8,7,2.534,3.404,2.9369603334059518
25,20,15,40,6m-1m,2f_80,5,10,7,2.911,2.962,2.9363892793701587
30,5,25,40,6m-1m,2f_60,5,8,7,3.042,2.833,2.9356406455831747
40,5,15,40,6m,2f_60,3,8,7,2.593,3.314,2.9314163812055085
30,20,15,35,6m-1m,2f_80,3,8,7,2.865,2.999,2.931234381621504
