V,Q,G,M,mom,gs,E,X,S,cal_78,cal_525,score
10,0,60,30,12m,3f_rev_oca_gp,3,10,7,2.893,2.927,2.9099503432189353
15,0,55,30,12m,3f_opm_622,5,6,5,3.268,2.579,2.9031314128023897
10,5,55,30,12m,3f_gp_622,3,10,5,2.964,2.839,2.900826778696032
10,0,60,30,12m,3f_rev_oca_gp,5,6,5,3.015,2.782,2.896157799568249
15,0,55,30,12m,2f_55,5,6,7,3.014,2.781,2.895156990561997
20,0,50,30,12m,2f_50,3,8,5,2.974,2.81,2.89083724896439
15,0,55,30,12m,3f_opm_622,5,6,7,3.296,2.534,2.8899937716195856
10,5,55,30,12m,3f_gp_622,3,10,7,2.954,2.822,2.887245746381835
15,0,55,30,12m,3f_opm_622,5,10,3,3.199,2.6,2.883990291245794
15,0,55,30,12m,3f_opm_622,7,10,3,3.199,2.6,2.883990291245794
20,0,50,30,12m,2f_50,3,8,7,2.964,2.805,2.883404238049185
10,5,55,30,12m,3f_gp_622,3,8,5,3.016,2.755,2.882547484431089
15,5,50,30,12m,2f_65,5,6,5,2.96,2.79,2.8737432035587314
10,0,60,30,12m,3f_rev_oca_gp,3,6,7,2.936,2.809,2.871798043038542
10,0,60,30,12m,3f_rev_oca_gp,3,6,5,2.936,2.809,2.871798043038542
10,5,55,30,12m,3f_gp_622,3,8,7,3.005,2.738,2.868395021610517
10,0,60,30,12m,3f_rev_oca_gp,5,10,3,3.097,2.652,2.865875782374386
15,0,55,30,12m,2f_55,5,6,5,2.973,2.762,2.86555858429033
10,5,55,30,12m,3f_gp_433,3,6,7,2.943,2.765,2.852611960992942
10,5,55,30,12m,3f_gp_433,3,6,5,2.943,2.765,2.852611960992942
15,5,50,30,12m,2f_65,5,6,7,2.956,2.743,2.8475090869038504
10,0,60,30,12m,3f_rev_oca_gp,5,6,7,2.984,2.695,2.8358208688138253
15,0,55,30,12m,3f_opm_622,5,6,3,3.126,2.571,2.8349507932237556
20,0,50,30,12m,2f_50,3,10,7,2.899,2.772,2.8347888810280035
20,0,50,30,12m,2f_50,5,6,5,2.919,2.724,2.819814887541379
15,5,50,30,12m,2f_65,3,10,7,2.736,2.901,2.8172923171016526
15,5,50,30,12m,2f_65,3,10,5,2.728,2.886,2.8058880947037075
15,5,50,30,12m,2f_65,3,8,7,2.729,2.873,2.8000744632955747
15,5,50,30,12m,2f_65,3,8,5,2.724,2.864,2.793122983328876
20,0,50,30,12m,2f_55,5,6,7,2.886,2.688,2.78524110266957
20,0,50,30,12m,2f_50,5,6,7,2.915,2.661,2.7851059225817605
20,0,50,30,12m,2f_55,5,6,5,2.836,2.724,2.7794359139940608
10,5,55,30,12m,3f_gp_622,5,6,5,3.022,2.553,2.7776187643375394
10,5,55,30,12m,3f_gp_433,3,8,7,2.844,2.709,2.7756793762969094
10,5,55,30,12m,3f_gp_433,3,8,5,2.838,2.699,2.767627503837899
20,0,50,30,12m,2f_55,7,8,7,2.846,2.684,2.7638133077326335
20,0,50,30,12m,2f_50,5,10,5,2.785,2.737,2.7608956879969226
10,5,55,30,12m,3f_gp_622,5,10,3,3.023,2.488,2.742485004516889
10,5,55,30,12m,3f_gp_622,5,6,7,2.976,2.526,2.741783361245013
20,0,50,30,12m,2f_55,3,8,5,2.849,2.608,2.7258378528445157
20,0,50,30,12m,2f_55,3,10,5,2.842,2.6,2.718308297452664
15,0,55,30,12m,2f_rev_oca_60,5,6,7,2.905,2.526,2.7088798422964424
15,0,55,30,12m,2f_60,5,6,7,2.905,2.526,2.7088798422964424
20,0,50,30,12m,2f_55,3,8,7,2.831,2.592,2.708865445163344
15,0,55,30,12m,2f_60,5,6,5,2.83,2.588,2.7062963621894776
15,0,55,30,12m,2f_rev_oca_60,5,6,5,2.83,2.588,2.7062963621894776
10,5,55,30,12m,3f_gp_433,3,10,7,2.779,2.635,2.7060423130468596
20,0,50,30,12m,2f_50,5,8,7,2.802,2.606,2.702223528873953
20,0,50,30,12m,2f_55,5,8,7,2.77,2.631,2.6996055267390457
20,0,50,30,12m,2f_55,3,10,7,2.822,2.58,2.6982883463410654
10,5,55,30,12m,3f_gp_433,3,10,5,2.768,2.616,2.6909269778275293
20,0,50,30,12m,2f_55,5,10,5,2.688,2.683,2.685498836343073
20,0,50,30,12m,2f_55,7,10,7,2.904,2.475,2.680932673529867
20,0,50,30,12m,2f_50,5,8,5,2.732,2.608,2.6692800527483063
10,0,60,30,12m,3f_rev_oca_gp,5,8,5,2.864,2.447,2.647302022814926
20,0,50,30,12m,2f_50,7,8,7,2.852,2.455,2.6460650029808415
15,0,55,30,12m,2f_55,5,8,5,2.754,2.532,2.6406680972814436
10,0,60,30,12m,3f_rev_oca_gp,7,10,3,2.943,2.367,2.6393334385787637
10,0,60,30,12m,3f_rev_oca_gp,5,8,3,2.874,2.417,2.635613401089014
20,0,50,30,12m,2f_55,5,10,7,2.715,2.553,2.6327542612253048
15,0,55,30,12m,2f_rev_oca_60,5,8,5,2.74,2.527,2.631345663344138
15,0,55,30,12m,2f_60,5,8,5,2.74,2.527,2.631345663344138
10,0,60,30,12m,3f_rev_oca_gp,5,10,5,2.826,2.432,2.621608666448904
20,0,50,30,12m,2f_50,5,10,7,2.724,2.522,2.621054749523558
15,5,50,30,12m,2f_65,5,8,7,2.794,2.426,2.6035060975538356
20,0,50,30,12m,2f_55,5,8,5,2.619,2.558,2.5883203047536445
10,0,60,30,12m,3f_rev_oca_gp,7,8,3,2.832,2.36,2.585250471424384
10,5,55,30,12m,3f_gp_622,5,8,3,2.962,2.247,2.5798476699216177
15,0,55,30,12m,2f_60,5,8,7,2.725,2.439,2.5780370439541787
15,0,55,30,12m,2f_rev_oca_60,5,8,7,2.725,2.439,2.5780370439541787
15,0,55,30,12m,2f_55,5,8,7,2.714,2.429,2.567548636345571
10,5,55,30,12m,3f_gp_622,7,10,3,2.875,2.291,2.5664420897421394
10,5,55,30,12m,3f_gp_433,5,6,7,2.868,2.288,2.5616369766225655
10,5,55,30,12m,3f_gp_622,7,8,3,2.929,2.204,2.540770749201903
20,0,50,30,12m,2f_50,7,10,5,2.719,2.363,2.5347577793548637
15,0,55,30,12m,2f_60,5,10,5,2.651,2.414,2.529726072127178
15,0,55,30,12m,2f_rev_oca_60,5,10,5,2.651,2.414,2.529726072127178
10,5,55,30,12m,3f_gp_433,5,8,5,2.783,2.277,2.5173182158797487
10,0,60,30,12m,3f_rev_oca_gp,5,8,7,2.791,2.261,2.5120611059446785
20,0,50,30,12m,2f_50,7,10,7,2.831,2.196,2.4933663990677344
10,5,55,30,12m,3f_gp_433,5,6,5,2.784,2.232,2.4927671371389666
15,0,55,30,12m,3f_opm_622,5,8,7,2.917,2.126,2.4902895413987505
15,0,55,30,12m,2f_rev_oca_60,5,10,7,2.633,2.334,2.478996167806639
15,0,55,30,12m,2f_60,5,10,7,2.633,2.334,2.478996167806639
10,5,55,30,12m,3f_gp_433,7,8,7,2.798,2.181,2.4703113164133788
10,5,55,30,12m,3f_gp_433,5,8,7,2.734,2.232,2.4702809556809524
20,0,50,30,12m,2f_50,7,8,5,2.601,2.326,2.4596597325646488
15,0,55,30,12m,2f_55,5,10,7,2.602,2.292,2.442085993571889
15,5,50,30,12m,2f_65,5,8,5,2.674,2.228,2.440834283600589
15,0,55,30,12m,2f_55,5,10,5,2.585,2.29,2.433033086499236
15,0,55,30,12m,3f_opm_622,5,10,5,2.723,2.142,2.415091302621911
20,0,50,30,12m,2f_55,7,8,5,2.55,2.274,2.408049002823655
15,0,55,30,12m,3f_opm_622,5,10,7,2.803,2.021,2.3800972669199885
10,0,60,30,12m,3f_rev_oca_gp,5,10,7,2.677,2.111,2.37721412582039
10,5,55,30,12m,3f_gp_622,5,8,5,2.693,2.098,2.376954774496141
10,5,55,30,12m,3f_gp_433,5,10,7,2.639,2.14,2.3764385117229523
15,0,55,30,12m,2f_55,7,8,7,2.741,2.054,2.372765053687364
15,0,55,30,12m,2f_55,7,8,5,2.597,2.16,2.368442526218443
15,0,55,30,12m,2f_60,7,8,5,2.645,2.103,2.3584815030014545
15,0,55,30,12m,2f_rev_oca_60,7,8,5,2.645,2.103,2.3584815030014545
20,0,50,30,12m,2f_55,7,10,5,2.559,2.169,2.3559437599399526
15,0,55,30,12m,3f_opm_622,5,8,5,2.713,2.041,2.353132592949237
15,5,50,30,12m,2f_65,5,10,7,2.581,2.142,2.35127667448984
10,0,60,30,12m,3f_rev_oca_gp,7,8,5,2.679,2.049,2.342919332798293
10,5,55,30,12m,3f_gp_433,7,8,5,2.447,2.191,2.3154647481661215
10,5,55,30,12m,3f_gp_433,5,10,5,2.56,2.086,2.310878620784744
10,0,60,30,12m,3f_rev_oca_gp,7,8,7,2.705,1.971,2.3090160241973203
10,5,55,30,12m,3f_gp_622,5,8,7,2.654,1.995,2.3010280311200035
10,0,60,30,12m,3f_rev_oca_gp,7,10,7,2.715,1.932,2.290279458930722
10,5,55,30,12m,3f_gp_622,5,10,5,2.627,1.989,2.2858484201713813
15,0,55,30,12m,2f_rev_oca_60,7,10,5,2.564,2.012,2.2712921432523823
15,0,55,30,12m,2f_60,7,10,5,2.564,2.012,2.2712921432523823
10,5,55,30,12m,3f_gp_622,7,8,5,2.58,1.996,2.269290638062917
15,5,50,30,12m,2f_65,7,8,7,2.514,2.023,2.2551767114796126
10,5,55,30,12m,3f_gp_622,5,10,7,2.606,1.941,2.2490544679931608
15,0,55,30,12m,3f_opm_622,7,8,5,2.581,1.947,2.2416973479932567
15,5,50,30,12m,2f_65,7,8,5,2.51,1.993,2.2366112760155707
10,0,60,30,12m,3f_rev_oca_gp,7,10,5,2.558,1.951,2.2339780661412054
10,5,55,30,12m,3f_gp_622,7,10,7,2.615,1.895,2.2260783903537633
10,5,55,30,12m,3f_gp_433,7,10,5,2.455,2.008,2.220279261714616
15,0,55,30,12m,2f_55,7,10,7,2.655,1.853,2.218043056390024
15,0,55,30,12m,3f_opm_622,7,10,5,2.49,1.934,2.194461209499954
10,5,55,30,12m,3f_gp_433,7,10,7,2.635,1.825,2.192914727024286
10,5,55,30,12m,3f_gp_622,7,8,7,2.56,1.866,2.185625768515736
15,0,55,30,12m,3f_opm_622,7,8,7,2.556,1.863,2.182161313927089
15,0,55,30,12m,3f_opm_622,7,10,7,2.536,1.86,2.1718563488407794
15,5,50,30,12m,2f_65,5,10,5,2.461,1.905,2.165226316115708
15,0,55,30,12m,2f_55,7,10,5,2.436,1.87,2.134319563701743
15,0,55,30,12m,2f_rev_oca_60,7,8,7,2.596,1.736,2.122888598113429
15,0,55,30,12m,2f_60,7,8,7,2.596,1.736,2.122888598113429
15,5,50,30,12m,2f_65,7,10,5,2.416,1.775,2.070845238061019
15,5,50,30,12m,2f_65,7,10,7,2.42,1.722,2.04138188490052
15,0,55,30,12m,2f_60,7,10,7,2.469,1.626,2.003645178169029
15,0,55,30,12m,2f_rev_oca_60,7,10,7,2.469,1.626,2.003645178169029
10,5,55,30,12m,3f_gp_622,7,10,5,2.315,1.727,1.9995011877965965
