cfg,variant,period,confirm,oV,oQ,oG,oM,oE,oX,oS,o_mom,dV,dQ,dG,dM,dE,dX,dS,d_mom,cal,cagr,mdd,total
0,conf-2,2022-2023,5,15.0,5.0,50.0,30.0,3,6,3,12m,30.0,15.0,15.0,40.0,3,6,7,6m-1m,4.205,83.48,19.85,226.29
0,conf-2,2020-2021,5,15.0,5.0,50.0,30.0,3,6,3,12m,30.0,15.0,15.0,40.0,3,6,7,6m-1m,2.567,97.77,38.09,282.77
0,conf-2,full,5,15.0,5.0,50.0,30.0,3,6,3,12m,30.0,15.0,15.0,40.0,3,6,7,6m-1m,3.318,126.37,38.09,49116.37
0,conf-2,2024-2026,5,15.0,5.0,50.0,30.0,3,6,3,12m,30.0,15.0,15.0,40.0,3,6,7,6m-1m,5.923,180.93,30.55,872.73
0,conf-2,5.25y,5,15.0,5.0,50.0,30.0,3,6,3,12m,30.0,15.0,15.0,40.0,3,6,7,6m-1m,3.754,114.67,30.55,4953.63
0,conf+2,2018H2-2019,9,15.0,5.0,50.0,30.0,3,6,3,12m,30.0,15.0,15.0,40.0,3,6,7,6m-1m,5.957,209.41,35.15,422.73
0,conf+2,2022-2023,9,15.0,5.0,50.0,30.0,3,6,3,12m,30.0,15.0,15.0,40.0,3,6,7,6m-1m,4.303,87.39,20.31,239.96
0,conf+2,2020-2021,9,15.0,5.0,50.0,30.0,3,6,3,12m,30.0,15.0,15.0,40.0,3,6,7,6m-1m,2.206,89.7,40.66,252.62
0,conf+2,2024-2026,9,15.0,5.0,50.0,30.0,3,6,3,12m,30.0,15.0,15.0,40.0,3,6,7,6m-1m,5.184,165.68,31.96,760.19
0,conf+2,5.25y,9,15.0,5.0,50.0,30.0,3,6,3,12m,30.0,15.0,15.0,40.0,3,6,7,6m-1m,3.454,110.41,31.96,4459.36
0,conf+2,full,9,15.0,5.0,50.0,30.0,3,6,3,12m,30.0,15.0,15.0,40.0,3,6,7,6m-1m,3.411,130.99,38.4,57274.31
1,base,2018H2-2019,7,15.0,5.0,50.0,30.0,3,6,3,12m,25.0,15.0,10.0,50.0,5,8,5,6m-1m,1.583,62.19,39.28,103.02
1,base,2020-2021,7,15.0,5.0,50.0,30.0,3,6,3,12m,25.0,15.0,10.0,50.0,5,8,5,6m-1m,2.323,79.02,34.02,214.61
1,base,2022-2023,7,15.0,5.0,50.0,30.0,3,6,3,12m,25.0,15.0,10.0,50.0,5,8,5,6m-1m,5.523,86.45,15.65,236.66
1,base,full,7,15.0,5.0,50.0,30.0,3,6,3,12m,25.0,15.0,10.0,50.0,5,8,5,6m-1m,2.681,108.12,40.32,25905.83
1,base,2024-2026,7,15.0,5.0,50.0,30.0,3,6,3,12m,25.0,15.0,10.0,50.0,5,8,5,6m-1m,6.326,212.83,33.64,1132.72
1,base,5.25y,7,15.0,5.0,50.0,30.0,3,6,3,12m,25.0,15.0,10.0,50.0,5,8,5,6m-1m,3.685,123.96,33.64,6182.16
1,oV-5,2018H2-2019,7,10.0,5.0,55.00000000000001,30.0,3,6,3,12m,25.0,15.0,10.0,50.0,5,8,5,6m-1m,1.68,65.98,39.28,110.01
