ma_w,cd,V_b,Q_b,G_b,M_b,V_d,Q_d,G_d,M_d,gs1_b,gs2_b,gs1_d,gs2_d,g_rev_b,g_rev_d,mom_b,mom_d,eb,xb,sb,ed,xd,sd,sl,ts,ts_cd,cal_78,cagr_78,mdd_78,sharpe_78,sortino_78,total_78,wf_min,wf_mean,wf_cv,wf_2018,wf_2020,wf_2022,wf_2024
250,8,0.1,0.05,0.7,0.15,0.3,0.15,0.15,0.4,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.466,59.98,40.91,1.301,2.009,3547.66,-0.005,0.49275,0.7726099295776374,-0.005,0.294,0.683,0.999
250,8,0.15,0.05,0.7,0.1,0.3,0.15,0.15,0.4,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.49,58.83,39.48,1.296,2.005,3352.5,-0.005,0.653,0.8445555695559845,-0.005,0.326,0.836,1.455
250,8,0.2,0.1,0.55,0.15,0.3,0.15,0.15,0.4,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.253,51.36,40.98,1.183,1.802,2287.01,-0.017,0.3665,0.9721751409541816,-0.017,0.142,0.42,0.921
250,8,0.2,0.0,0.6,0.2,0.3,0.15,0.15,0.4,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.453,62.29,42.87,1.32,2.066,3972.05,-0.05,0.2585,1.1519751536540914,0.007,-0.05,0.398,0.679
250,8,0.15,0.05,0.6,0.2,0.3,0.15,0.15,0.4,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.4,57.64,41.18,1.274,1.973,3159.21,-0.052,0.14024999999999999,1.3305123770518257,0.006,-0.052,0.179,0.428
250,8,0.05,0.0,0.7,0.25,0.3,0.15,0.15,0.4,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.959,74.55,38.06,1.495,2.402,7010.56,-0.06,0.484,0.8845907349673845,-0.06,0.194,0.953,0.849
250,8,0.2,0.1,0.4,0.3,0.3,0.15,0.15,0.4,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.666,67.75,40.66,1.405,2.202,5145.84,-0.085,0.21200000000000002,1.3686156354378571,-0.085,0.043,0.209,0.681
250,8,0.1,0.05,0.6,0.25,0.3,0.15,0.15,0.4,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.526,63.52,41.61,1.337,2.097,4212.87,-0.093,0.12475,1.7320229833477732,-0.093,-0.053,0.201,0.444
250,8,0.2,0.05,0.5,0.25,0.3,0.15,0.15,0.4,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.887,75.91,40.22,1.494,2.299,7443.91,-0.096,0.1895,1.5160349231857406,0.042,-0.096,0.148,0.664
250,8,0.15,0.05,0.55,0.25,0.3,0.15,0.15,0.4,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.83,73.37,40.1,1.476,2.3,6649.62,-0.096,0.1365,1.6722444201721842,0.006,-0.096,0.129,0.507
