v,q,g,m,mom,gs,cagr,mdd,calmar,sharpe,sortino,rank
20,0,50,30,12m,2f_07,120.12,38.17,3.147,0.745,4.391,123
15,0,50,35,12m,2f_06,127.96,40.77,3.139,0.766,4.434,124
5,0,65,30,12m-1m,2f_06,121.3,38.67,3.136,0.747,4.445,125
5,5,60,30,12m,3f_oca_accel,118.36,37.78,3.133,0.739,4.356,126
15,5,55,25,12m,2f_07,126.74,40.52,3.128,0.762,4.468,127
5,5,65,25,12m-1m,3f_oca_gp,122.05,39.04,3.127,0.749,4.449,128
10,5,50,35,12m-1m,2f_06,118.67,38.04,3.12,0.741,4.32,129
10,0,55,35,12m,3f_oca_accel,117.65,37.78,3.114,0.738,4.409,130
15,5,50,30,12m-1m,3f_oca_accel,117.6,37.78,3.113,0.736,4.398,131
20,0,50,30,12m-1m,2f_07,112.77,36.24,3.111,0.724,4.307,132
15,0,60,25,12m,2f_06,125.16,40.24,3.11,0.758,4.516,133
5,5,60,30,12m-1m,2f_06,122.17,39.31,3.108,0.749,4.448,134
0,5,55,40,12m-1m,2f_06,112.98,36.36,3.107,0.726,4.118,135
10,0,65,25,12m-1m,2f_06,120.03,38.64,3.106,0.743,4.447,136
0,0,65,35,12m,2f_07,119.97,38.67,3.102,0.744,4.458,137
15,0,45,40,12m,2f_07,118.63,38.3,3.098,0.741,4.311,138
10,5,60,25,12m-1m,2f_06,119.69,38.64,3.098,0.741,4.474,139
0,5,60,35,12m-1m,2f_07,120.9,39.05,3.096,0.747,4.376,140
20,5,50,25,12m-1m,3f_oca_gp,116.71,37.76,3.091,0.734,4.366,141
0,5,55,40,12m-1m,2f_07,112.26,36.36,3.087,0.724,4.028,142
0,0,65,35,12m-1m,2f_06,121.05,39.23,3.086,0.747,4.447,143
5,5,50,40,12m,3f_oca_accel,116.45,37.78,3.082,0.735,4.255,144
25,0,45,30,12m-1m,3f_oca_accel,116.42,37.78,3.081,0.733,4.219,145
20,5,50,25,12m,3f_oca_gp,114.04,37.07,3.077,0.727,4.326,146
5,0,60,35,12m-1m,2f_06,118.83,38.67,3.072,0.741,4.404,147
5,0,55,40,12m-1m,2f_07,111.65,36.36,3.071,0.721,4.223,148
20,0,55,25,12m-1m,3f_oca_gp,118.49,38.6,3.07,0.739,4.417,149
10,0,60,30,12m,2f_07,124.98,40.74,3.068,0.759,4.435,150
15,0,55,30,12m-1m,3f_oca_accel,117.25,38.26,3.064,0.735,4.389,151
15,5,55,25,12m-1m,2f_06,121.56,39.69,3.063,0.747,4.506,152
15,0,50,35,12m,3f_oca_gp,125.92,41.21,3.055,0.761,4.422,153
5,5,50,40,12m,2f_06,132.17,43.26,3.055,0.778,4.496,154
10,5,45,40,12m-1m,2f_06,111.45,36.48,3.055,0.721,4.229,155
5,0,55,40,12m,3f_oca_accel,115.37,37.78,3.053,0.732,4.296,156
25,5,45,25,12m-1m,3f_oca_gp,110.71,36.28,3.052,0.716,4.324,157
0,5,60,35,12m,3f_oca_accel,115.26,37.78,3.051,0.732,4.332,158
0,5,55,40,12m,3f_oca_gp,127.43,41.79,3.05,0.765,4.463,159
25,5,45,25,12m,2f_06,114.03,37.42,3.047,0.726,4.305,160
5,0,65,30,12m-1m,3f_oca_accel,119.13,39.15,3.043,0.742,4.409,161
10,0,65,25,12m,2f_06,125.51,41.38,3.033,0.759,4.503,162
25,0,45,30,12m,2f_07,116.16,38.3,3.033,0.733,4.359,163
10,0,65,25,12m,3f_oca_accel,114.57,37.81,3.03,0.729,4.413,164
0,0,65,35,12m-1m,2f_07,118.24,39.03,3.029,0.74,4.338,165
25,5,45,25,12m,2f_07,117.5,38.82,3.027,0.736,4.354,166
20,0,55,25,12m,3f_oca_accel,117.75,38.99,3.02,0.737,4.424,167
0,0,65,35,12m-1m,3f_oca_accel,116.23,38.55,3.015,0.733,4.378,168
20,5,45,30,12m,2f_07,118.8,39.42,3.014,0.741,4.313,169
0,5,65,30,12m,2f_06,123.02,40.84,3.012,0.753,4.416,170
0,5,65,30,12m-1m,3f_oca_gp,116.27,38.64,3.009,0.733,4.309,171
5,5,65,25,12m,2f_06,121.58,40.48,3.004,0.748,4.447,172
15,0,50,35,12m,3f_oca_accel,113.45,37.78,3.003,0.726,4.224,173
15,0,45,40,12m-1m,2f_07,108.91,36.36,2.995,0.713,4.131,174
5,0,55,40,12m,3f_oca_gp,123.81,41.36,2.994,0.755,4.414,175
10,0,65,25,12m,3f_oca_gp,118.76,39.72,2.99,0.74,4.357,176
0,0,65,35,12m,3f_oca_accel,112.74,37.78,2.984,0.725,4.276,177
20,5,45,30,12m-1m,3f_oca_accel,116.87,39.19,2.982,0.735,4.332,178
20,0,55,25,12m-1m,3f_oca_accel,115.27,38.7,2.979,0.729,4.413,179
5,5,60,30,12m-1m,2f_07,113.38,38.07,2.978,0.728,3.921,180
5,5,55,35,12m-1m,2f_06,111.71,37.53,2.977,0.723,4.13,181
15,5,45,35,12m,2f_07,126.94,42.73,2.971,0.764,4.418,182
10,5,45,40,12m,2f_07,118.47,39.98,2.963,0.741,4.291,183
10,5,60,25,12m,3f_oca_accel,111.87,37.78,2.961,0.721,4.306,184
10,5,50,35,12m,3f_oca_gp,126.3,42.71,2.957,0.763,4.393,185
15,0,60,25,12m-1m,2f_06,116.25,39.34,2.955,0.732,4.439,186
10,5,60,25,12m,2f_07,119.6,40.52,2.952,0.743,4.377,187
25,0,50,25,12m,3f_oca_accel,113.81,38.6,2.948,0.728,4.157,188
10,0,55,35,12m-1m,3f_oca_accel,111.4,37.78,2.948,0.719,4.335,189
20,0,45,35,12m-1m,3f_oca_accel,116.75,39.62,2.947,0.735,4.282,190
25,0,45,30,12m,3f_oca_accel,117.04,39.71,2.947,0.736,4.168,191
15,0,45,40,12m,2f_06,117.15,39.81,2.942,0.737,4.277,192
15,5,55,25,12m-1m,2f_07,115.71,39.34,2.941,0.731,4.369,193
10,0,60,30,12m,2f_06,121.33,41.29,2.939,0.748,4.447,194
10,0,55,35,12m,2f_06,123.32,41.97,2.938,0.754,4.384,195
10,5,45,40,12m,3f_oca_accel,114.15,38.89,2.935,0.73,4.145,196
20,5,50,25,12m,3f_oca_accel,112.93,38.6,2.926,0.725,4.167,197
20,5,45,30,12m,3f_oca_accel,116.61,39.94,2.919,0.735,4.223,198
5,5,65,25,12m,2f_07,117.86,40.48,2.912,0.738,4.371,199
5,0,60,35,12m,3f_oca_accel,109.87,37.78,2.908,0.717,4.226,200
10,5,55,30,12m-1m,2f_07,112.17,38.57,2.908,0.722,4.265,201
20,0,55,25,12m-1m,2f_06,113.96,39.22,2.906,0.726,4.396,202
0,5,65,30,12m-1m,3f_oca_accel,109.74,37.8,2.904,0.715,4.218,203
20,5,50,25,12m-1m,2f_07,113.17,39.07,2.897,0.724,4.369,204
10,5,60,25,12m,2f_06,122.82,42.41,2.896,0.752,4.458,205
10,5,60,25,12m,3f_oca_gp,112.85,39.04,2.891,0.724,4.257,206
10,0,50,40,12m-1m,2f_07,105.13,36.36,2.891,0.702,4.123,207
5,0,60,35,12m-1m,3f_oca_accel,108.98,37.78,2.884,0.713,4.232,208
25,0,45,30,12m-1m,2f_07,104.62,36.29,2.883,0.699,4.18,209
5,0,55,40,12m-1m,3f_oca_accel,111.59,38.72,2.882,0.721,4.238,210
0,5,65,30,12m,3f_oca_accel,111.17,38.68,2.874,0.72,4.147,211
15,0,60,25,12m-1m,2f_07,112.34,39.19,2.867,0.722,4.323,212
10,0,50,40,12m,3f_oca_accel,111.39,38.9,2.864,0.721,4.149,213
20,0,45,35,12m,2f_07,113.58,39.69,2.862,0.727,4.252,214
5,0,65,30,12m,2f_06,119.24,41.67,2.861,0.743,4.369,215
5,5,55,35,12m-1m,2f_07,106.35,37.25,2.855,0.707,3.975,216
0,5,65,30,12m-1m,2f_06,116.07,40.67,2.854,0.736,3.928,217
5,5,65,25,12m-1m,2f_06,115.0,40.29,2.854,0.73,4.207,218
10,5,60,25,12m-1m,2f_07,111.66,39.19,2.849,0.72,4.315,219
5,5,55,35,12m-1m,3f_oca_accel,107.89,37.91,2.846,0.711,4.193,220
25,5,45,25,12m,3f_oca_gp,106.12,37.42,2.836,0.704,4.15,221
20,0,55,25,12m,3f_oca_gp,111.19,39.25,2.833,0.719,4.235,222
5,5,65,25,12m,3f_oca_accel,106.95,37.78,2.831,0.708,4.069,223
0,5,55,40,12m,3f_oca_accel,106.74,37.78,2.825,0.707,4.175,224
5,5,55,35,12m,3f_oca_accel,109.88,38.9,2.825,0.717,4.225,225
0,5,55,40,12m,2f_06,115.46,40.9,2.823,0.732,4.241,226
5,0,65,30,12m-1m,2f_07,110.21,39.05,2.822,0.717,4.258,227
10,5,45,40,12m-1m,2f_07,102.55,36.36,2.82,0.695,4.077,228
0,0,60,40,12m-1m,2f_07,109.68,38.93,2.818,0.716,4.15,229
10,5,50,35,12m,3f_oca_accel,109.3,38.9,2.81,0.715,4.225,230
15,0,60,25,12m-1m,3f_oca_accel,114.93,40.92,2.809,0.729,4.373,231
20,0,45,35,12m,2f_06,113.34,40.48,2.8,0.726,4.279,232
15,5,55,25,12m,3f_oca_accel,108.0,38.6,2.798,0.71,4.236,233
10,0,50,40,12m,2f_06,120.96,43.26,2.796,0.748,4.342,234
0,5,65,30,12m,2f_07,113.25,40.65,2.786,0.725,4.287,235
5,5,65,25,12m,3f_oca_gp,112.31,40.48,2.775,0.722,4.279,236
0,5,65,30,12m,3f_oca_gp,118.01,42.56,2.773,0.739,4.364,237
10,5,50,35,12m,2f_07,115.86,41.79,2.772,0.734,4.275,238
5,0,65,30,12m,2f_07,115.21,41.67,2.765,0.732,4.292,239
15,5,45,35,12m,2f_06,119.88,43.37,2.764,0.745,4.323,240
25,0,45,30,12m-1m,2f_06,103.55,37.48,2.763,0.696,4.141,241
0,5,60,35,12m,2f_07,120.81,43.75,2.762,0.747,4.431,242
10,5,45,40,12m-1m,3f_oca_accel,104.5,37.97,2.752,0.701,4.046,243
0,5,60,35,12m,2f_06,121.37,44.17,2.748,0.748,4.402,244
15,5,45,35,12m-1m,3f_oca_accel,109.82,40.01,2.745,0.715,4.278,245
5,5,60,30,12m,2f_06,114.96,42.05,2.734,0.731,4.265,246
20,0,55,25,12m,2f_07,114.39,41.89,2.731,0.728,4.295,247
15,5,45,35,12m,3f_oca_accel,112.9,41.36,2.729,0.725,4.179,248
20,5,50,25,12m-1m,3f_oca_accel,105.57,38.7,2.728,0.703,4.054,249
10,5,45,40,12m,2f_06,117.9,43.26,2.725,0.739,4.285,250
0,0,65,35,12m,2f_06,116.11,42.62,2.724,0.734,4.332,251
10,5,55,30,12m-1m,3f_oca_accel,102.48,37.78,2.712,0.694,4.049,252
5,5,55,35,12m,2f_06,121.56,44.86,2.71,0.749,4.405,253
5,0,65,30,12m,3f_oca_gp,114.31,42.21,2.708,0.729,4.292,254
10,0,65,25,12m,2f_07,111.98,41.38,2.706,0.723,4.23,255
0,5,60,35,12m-1m,3f_oca_accel,101.92,37.78,2.697,0.693,4.081,256
20,0,55,25,12m-1m,2f_07,104.02,38.6,2.695,0.697,4.215,257
20,0,45,35,12m,3f_oca_accel,110.47,41.0,2.694,0.719,4.079,258
15,5,55,25,12m-1m,3f_oca_accel,108.37,40.29,2.69,0.71,4.241,259
25,5,45,25,12m-1m,2f_07,100.18,37.29,2.686,0.685,4.2,260
10,0,65,25,12m-1m,2f_07,110.68,41.21,2.686,0.718,4.238,261
0,5,55,40,12m-1m,3f_oca_accel,103.94,38.83,2.677,0.7,4.128,262
10,5,60,25,12m-1m,3f_oca_accel,112.22,42.0,2.672,0.721,4.288,263
0,0,60,40,12m-1m,3f_oca_accel,104.58,39.46,2.65,0.701,4.186,264
5,5,65,25,12m-1m,2f_07,109.47,41.38,2.646,0.714,4.227,265
15,0,45,40,12m,3f_oca_accel,110.71,41.95,2.639,0.72,4.005,266
25,5,45,25,12m,3f_oca_accel,109.99,41.93,2.623,0.718,4.052,267
25,0,50,25,12m-1m,3f_oca_gp,103.89,39.68,2.618,0.697,4.162,268
0,5,65,30,12m-1m,2f_07,101.82,39.05,2.607,0.695,3.716,269
0,0,60,40,12m,3f_oca_accel,109.32,42.11,2.596,0.715,4.202,270
25,0,50,25,12m-1m,3f_oca_accel,103.06,39.74,2.593,0.695,4.045,271
10,5,50,35,12m-1m,3f_oca_accel,100.92,39.22,2.573,0.69,4.106,272
5,5,50,40,12m-1m,3f_oca_accel,100.19,39.1,2.562,0.688,4.055,273
5,5,65,25,12m-1m,3f_oca_accel,104.62,41.62,2.513,0.702,3.985,274
25,0,50,25,12m,2f_07,106.01,42.3,2.506,0.704,4.11,275
25,5,45,25,12m-1m,3f_oca_accel,100.51,40.28,2.495,0.688,3.95,276
25,0,50,25,12m-1m,2f_06,96.73,38.91,2.486,0.675,4.121,277
25,5,45,25,12m-1m,2f_06,95.62,40.08,2.385,0.671,4.1,278
25,0,50,25,12m-1m,2f_07,91.51,39.53,2.315,0.659,4.035,279
25,0,50,25,12m,3f_oca_gp,99.6,46.43,2.145,0.684,3.996,280
