date,factor,ic,n
20190405,vol_low_z,0.052948,133
20190405,score,0.061979,133
20190408,value_s,-0.041489,135
20190408,growth_s,0.067179,135
20190408,momentum_s,0.040801,135
20190408,mom_10_z,0.1773,135
20190408,vol_low_z,-0.008092,135
20190408,score,0.079717,135
20190409,value_s,0.001144,139
20190409,growth_s,0.022928,139
20190409,momentum_s,0.075381,139
20190409,mom_10_z,0.245926,139
20190409,vol_low_z,0.032667,139
20190409,score,0.053401,139
20190410,value_s,-0.053882,147
20190410,growth_s,0.054294,147
20190410,momentum_s,0.136426,147
20190410,mom_10_z,0.203466,147
20190410,vol_low_z,0.040645,147
20190410,score,0.089022,147
20190411,value_s,-0.002854,145
20190411,growth_s,0.076159,145
20190411,momentum_s,0.178872,145
20190411,mom_10_z,0.14158,145
20190411,vol_low_z,0.115037,145
20190411,score,0.142781,145
20190412,value_s,-0.023744,148
20190412,growth_s,0.002636,148
20190412,momentum_s,0.168996,148
20190412,mom_10_z,0.071738,148
20190412,vol_low_z,0.080892,148
20190412,score,0.029881,148
20190415,value_s,-0.029401,144
20190415,growth_s,0.006324,144
20190415,momentum_s,0.116729,144
20190415,mom_10_z,0.090861,144
20190415,vol_low_z,0.015445,144
20190415,score,0.057574,144
20190416,value_s,-0.04739,145
20190416,growth_s,-0.001671,145
20190416,momentum_s,0.146481,145
20190416,mom_10_z,0.046999,145
20190416,vol_low_z,0.0522,145
20190416,score,0.0731,145
20190417,value_s,-0.024972,145
20190417,growth_s,0.001742,145
20190417,momentum_s,0.180724,145
20190417,mom_10_z,0.052795,145
20190417,vol_low_z,0.013679,145
20190417,score,0.081706,145
20190418,value_s,-0.116792,127
20190418,growth_s,0.091878,127
20190418,momentum_s,0.18832,127
20190418,mom_10_z,0.037014,127
20190418,vol_low_z,0.012743,127
20190418,score,0.122537,127
20190419,value_s,-0.140851,130
20190419,growth_s,0.099767,130
20190419,momentum_s,0.176507,130
20190419,mom_10_z,-1.6e-05,130
20190419,vol_low_z,0.01941,130
20190419,score,0.142479,130
20190422,value_s,-0.144513,126
20190422,growth_s,0.107588,126
20190422,momentum_s,0.110059,126
20190422,mom_10_z,-0.017533,126
20190422,vol_low_z,0.05411,126
20190422,score,0.154975,126
20190423,value_s,-0.140079,128
20190423,growth_s,0.214087,128
20190423,momentum_s,0.292082,128
20190423,mom_10_z,-0.067316,128
20190423,vol_low_z,0.054334,128
20190423,score,0.294173,128
20190424,value_s,-0.045217,132
20190424,growth_s,0.150995,132
20190424,mom_10_z,-0.02013,132
20190424,vol_low_z,0.024299,132
20190424,score,-0.023099,132
20190425,value_s,-0.100919,119
20190425,growth_s,0.036288,119
20190425,momentum_s,0.351695,119
20190425,mom_10_z,-0.085717,119
20190425,vol_low_z,-0.012926,119
20190425,score,0.157631,119
20190426,value_s,-0.066451,119
20190426,growth_s,0.079579,119
20190426,momentum_s,0.384187,119
20190426,mom_10_z,-0.072859,119
20190426,vol_low_z,0.008742,119
20190426,score,0.170592,119
20190429,value_s,-0.059762,128
20190429,growth_s,-0.012704,128
20190429,momentum_s,0.365973,128
20190429,mom_10_z,0.030217,128
20190429,vol_low_z,-0.03456,128
20190429,score,0.108237,128
20190430,value_s,-0.060067,132
20190430,growth_s,-0.042551,132
20190430,momentum_s,0.408762,132
20190430,mom_10_z,-0.014521,132
20190430,vol_low_z,-0.048687,132
20190430,score,0.097641,132
20190502,value_s,-0.174015,134
20190502,growth_s,-0.048549,134
20190502,momentum_s,0.428205,134
20190502,mom_10_z,0.071353,134
20190502,vol_low_z,-0.04815,134
20190502,score,0.095081,134
20190503,value_s,-0.037774,128
20190503,growth_s,-0.032606,128
20190503,momentum_s,0.395995,128
20190503,mom_10_z,-0.031393,128
20190503,vol_low_z,0.007622,128
20190503,score,0.127312,128
20190507,value_s,-0.019827,118
