ticker,name,market,mc_krw,g_score,rev_z,oca_z,v_score,q_score,m_score,composite_score,composite_rank,ntm_score,s_7,s_30,s_60,s_90,rev_net30,na,fwd_pe
014680,Hanchem,KS,3223450282500.0,0.3932,0.364,0.3612,-0.2743,0.8439,1.4189,0.6008,69,0.015856200039560515,-0.010044213700154184,0.06019576823974099,-0.001440108850955554,0.025987796421456457,-3.0,12.0,16.831905
023530,LOTTE SHOPPING,KS,3041041162500.0,-0.4154,-0.6091,-0.153,0.8518,-0.3045,0.8478,0.1537,151,0.2484350445383675,0.1862788168849623,0.2509485240754808,0.27107662355796064,0.2806977694190694,2.0,12.0,13.434166
237690,ST Pharm,KQ,3110698077500.0,0.7427,0.6533,0.7147,-1.4247,0.1168,0.1696,0.2457,126,0.039412908000342396,0.07067229479774756,0.05650670005209287,0.05650670005209287,0.0138197591011991,0.0,9.0,
084370,Eugenetech,KQ,3022625939800.0,-0.4072,-0.2314,-0.5157,-0.9444,0.8503,1.0984,-0.0361,193,-0.04836834973825839,-0.055977156741887635,-0.059952927236561065,-0.059952927236561065,-0.03916923453675978,0.0,6.0,
005850,SLCORP,KS,2995929540000.0,-0.1365,-0.1393,-0.1099,1.0114,0.9667,0.4211,0.2029,137,-0.0025280891986995645,-0.013882270747890182,-0.05665891334168307,-0.010783924939207315,0.016761751707513057,-1.0,7.0,7.464201
112610,CSWIND,KS,2736924054700.0,-0.233,-0.7619,0.3353,0.8687,0.3226,-0.8083,-0.2403,237,0.08536988084758189,0.16442951951154763,0.16442951951154763,-0.02430232172755021,0.04405661043143571,1.0,7.0,10.062133
064760,TCK,KQ,2711008380000.0,0.0714,0.121,0.0122,-1.2793,0.7398,1.1484,0.1919,140,0.12069567913904942,0.05594340509487268,0.10913675043314272,0.16153130268629878,0.15369170459728693,2.0,6.0,
028670,PanOcean,KS,2699576035600.0,-0.1632,-0.1515,-0.1468,1.4596,-0.4404,0.0894,0.156,150,0.06829273029903947,0.10156510502430956,0.07299957124481908,0.07299957124481908,0.04644656908556557,5.0,10.0,7.3027654
139480,emart,KS,2605045313600.0,-0.2537,-0.538,0.0732,2.6072,-0.1029,-0.7429,0.0287,180,-0.0006210858623237128,-0.02337637369438165,-0.04224376668452998,0.02415389376212229,0.0164016270764631,-1.0,13.0,10.146335
017960,HankukCarbon,KS,2509773654200.0,1.1955,0.7222,1.4787,-0.1008,1.3446,0.7102,0.8555,28,0.08805414974206095,0.011846360148019356,0.011846360148019356,0.10434214236979765,0.14576278289174688,1.0,5.0,14.508727
383220,F&F,KS,2302255207500.0,-0.1936,-0.403,0.0488,0.7232,2.01,-0.9396,-0.2799,246,0.20125438386686467,0.19057507686906905,0.20413628425689548,0.2051685842282409,0.2063027479152606,6.0,12.0,6.84224
018670,SKGas,KS,2302065756000.0,0.2463,0.0544,0.4005,1.5586,0.0171,-0.5887,0.1926,139,-0.20764854625914192,-0.024231888171432625,-0.27035649146078594,-0.28890555110272254,-0.28890555110272254,-1.0,5.0,7.6649365
011210,HYUNDAI WIA,KS,2289825988600.0,-0.3154,-0.2813,-0.2969,0.873,-0.5121,1.0228,0.2643,124,-0.10168955023119866,-0.09330659272151505,-0.14609485073866763,-0.13138607465004593,-0.09189895975174558,-4.0,13.0,12.391849
006360,GS E&C,KS,2220839665500.0,-0.3304,-0.6912,0.0854,1.2701,-0.8197,-0.2216,-0.0577,199,-0.15663393429164127,-0.08955066551969514,-0.06676872510721206,-0.08505764280336246,-0.22917219568935057,-4.0,18.0,8.105825
282330,BGF Retail,KS,2086167454200.0,-0.2471,-0.2563,-0.1963,1.3125,1.9046,-0.1904,0.0039,184,0.04508279133874431,0.01855760578557383,0.019489318550267167,0.024422772721934598,0.07024860095170396,7.0,18.0,10.374061
375500,DL E&C,KS,2008199033700.0,-0.4672,-1.0538,0.1963,1.0152,-0.469,-0.1395,-0.1465,216,0.19028200372954507,0.22691128982449674,0.2365041111181931,0.23701241293134237,0.149713928754485,7.0,14.0,7.5473
069960,HYUNDAIDEPTST,KS,1946077918000.0,-0.2131,-0.4694,0.0793,1.5299,0.4004,0.4211,0.2386,127,0.01391271431275249,0.023391982262029872,0.022471816792303426,0.013907837165838124,0.006514308476658749,7.0,17.0,8.340188
120110,KOLON IND,KS,1940095915500.0,-0.5252,-0.4897,-0.4743,0.7569,-0.3534,1.155,0.1712,146,0.6057782946288357,0.5192411045354746,0.5192411045354746,0.6795790416480072,0.6602478972996901,1.0,4.0,11.949466
140860,Park Systems,KQ,1941522367500.0,0.4075,0.5241,0.2275,-1.4031,1.237,-0.5613,-0.1547,218,-0.10353505728369405,-0.07400893125906836,-0.10637644845720029,-0.10777081668361099,-0.11983530278378486,-7.0,10.0,27.124294
001120,LX INT,KS,1724820000000.0,-0.7694,-0.5034,-0.9098,1.9619,0.0099,0.5529,0.037,176,0.23901321839978315,0.14906059237109212,0.20775230441975892,0.2799176577957713,0.29105608893380497,1.0,6.0,5.770426
298020,HYOSUNG TNC,KS,1681304457000.0,-0.5239,-0.5875,-0.3743,0.911,-0.4147,0.2764,-0.0686,204,0.5172564368641124,0.39984165386227133,0.5018832838773493,0.5094388480539824,0.5923434550245957,0.0,3.0,6.6772246
161890,KOLMAR KOREA,KS,1647634374600.0,0.2757,0.2376,0.2715,0.4012,0.8897,-1.0501,-0.1032,211,0.12681755326810878,0.1006962219635547,0.10694760754330042,0.10731232788927927,0.15036538627156884,8.0,24.0,12.853638
007810,KorCirc,KS,1489320950400.0,0.6195,-0.0181,1.1596,-0.781,-0.1864,1.7326,0.7434,46,0.11904346447658651,0.0200101962783584,0.0200101962783584,-0.08963712888181094,0.24000619770684847,0.0,4.0,17.499552
