symbol,name,market,mc_krw,eps_trend_ok,fy_complete_0y,fy_complete_1y,snap_ok_count,0y_current,0y_7d,0y_30d,0y_60d,0y_90d,1y_current,1y_90d,endDate_0y_ok,endDate_1y_ok,rev_ok_0y,up7,up30,dn30,dn7,na,rev_growth,op_margin,gross_margin,fwd_pe,fwd_eps,earn_date_present,error,ticker
237690.KQ,ST Pharm,KQ,3110698077500.0,True,True,True,5,3238.499,3024.7341,3065.2896,3065.2896,3194.3538,4216.501,4455.9575,True,True,True,0.0,3.0,3.0,0.0,9.0,,,,,,False,,237690
084370.KQ,Eugenetech,KQ,3022625939800.0,True,True,True,5,3970.612,4206.055,4223.8438,4223.8438,4132.478,5468.8105,5255.119,True,True,True,1.0,1.0,1.0,0.0,6.0,,,,,,False,,084370
005850.KS,SLCORP,KS,2995929540000.0,True,True,True,5,7908.5,8019.8335,8383.5,7994.7144,7778.125,8869.0,8546.0,True,True,True,0.0,0.0,1.0,1.0,7.0,0.139,0.08059,0.13943,7.464201,,False,,005850
263750.KQ,PearlAbyss,KQ,2955401330000.0,True,True,True,5,2997.5627,0.0,2979.2063,2245.988,2142.2324,1586.3225,1254.4468,True,True,True,0.0,3.0,0.0,0.0,15.0,-0.002,-0.08834,0.99885005,31.519442,,False,,263750
043260.KQ,SUNGHO,KQ,2836912920000.0,True,False,False,0,,,,,,,,False,False,False,,,,,,,,,,,False,,043260
112610.KS,CSWIND,KS,2736924054700.0,True,True,True,5,4386.406,3767.0,3767.0,4495.661,4201.3105,5545.544,5251.172,True,True,True,2.0,1.0,0.0,0.0,7.0,0.164,0.08959,0.15952,10.062133,,False,,112610
064760.KQ,TCK,KQ,2711008380000.0,True,True,True,5,9042.376,8563.315,8152.625,7784.875,7837.775,11772.485,9591.375,True,True,True,2.0,2.0,0.0,0.0,6.0,,,,,,False,,064760
028670.KS,PanOcean,KS,2699576035600.0,True,True,True,5,750.7778,681.55554,699.7,699.7,717.4545,835.3,794.1818,True,True,True,6.0,6.0,1.0,0.0,10.0,-0.119,0.08834,0.11288,7.3027654,,True,,028670
139480.KS,emart,KS,2605045313600.0,True,True,True,5,8442.671,8644.754,8815.052,8243.557,8306.432,11560.825,11366.47,True,True,True,0.0,0.0,1.0,1.0,13.0,0.009,-0.00678,0.31027,10.146335,,False,,139480
017960.KS,HankukCarbon,KS,2509773654200.0,True,True,True,5,2427.8962,2399.4712,2399.4712,2198.5,2119.0217,2767.3,2587.3333,True,True,True,1.0,1.0,0.0,0.0,5.0,0.194,0.16535999,0.23392999,14.508727,,False,,017960
004800.KS,Hyosung,KS,2427359015000.0,True,True,True,5,21708.0,21708.0,20066.0,17571.0,17571.0,21313.5,13667.0,True,True,True,1.0,1.0,0.0,0.0,2.0,,0.13590999,0.27672002,11.143172,,False,,004800
005290.KQ,DONGJIN,KQ,2496173683700.0,True,True,True,5,3051.0,0.0,0.0,0.0,0.0,3270.0,0.0,True,True,True,0.0,0.0,0.0,0.0,,0.069,0.10033,0.25893,17.155964,,False,,005290
319660.KQ,PSK,KQ,2389753905000.0,True,True,True,5,4939.0,4939.0,2682.0,2758.5,2758.5,5662.0,2942.5,True,True,True,1.0,1.0,0.0,0.0,2.0,0.357,0.15349,0.48703,19.092194,,False,,319660
007340.KS,DN AUTOMOTIVE,KS,2317030254000.0,True,False,False,0,,,,,,,,True,False,False,,,,,,0.053,0.15481,0.26225,,,False,,007340
383220.KS,F&F,KS,2302255207500.0,True,True,True,5,12792.603,10744.894,10623.883,10614.783,10604.803,12276.682,11472.827,True,True,True,7.0,6.0,0.0,0.0,12.0,0.053,0.23109,0.66732,6.84224,,False,,383220
018670.KS,SKGas,KS,2302065756000.0,True,True,True,5,27503.0,28186.0,37693.75,38677.0,38677.0,36464.75,40078.75,True,True,True,0.0,0.0,1.0,1.0,5.0,0.017,0.01773,0.10123,7.6649365,,False,,018670
011210.KS,HYUNDAI WIA,KS,2289825988600.0,True,True,True,5,6048.7793,6671.251,7083.6665,6963.7144,6660.91,7674.4,7622.1,True,True,True,2.0,0.0,4.0,2.0,13.0,0.041,0.022820001,0.06327,12.391849,,True,,011210
067310.KQ,Hana Micron,KQ,2225348921000.0,True,False,False,0,,,,,,,,True,False,False,,,,,,,,,,,False,,067310
006360.KS,GS E&C,KS,2220839665500.0,True,True,True,5,3126.6682,3434.2034,3350.368,3417.339,4056.2473,4157.504,5198.99,True,True,True,1.0,1.0,5.0,5.0,18.0,-0.119,0.015360001,0.10803001,8.105825,,False,,006360
089030.KQ,Techwing,KQ,2167638232500.0,True,True,True,5,1860.6831,2684.7605,2684.7605,3173.1736,4062.7605,4720.529,5228.6025,True,True,True,0.0,0.0,1.0,1.0,2.0,-0.289,0.08293,0.42117,11.269924,,False,,089030
