symbol,name,market,mc_krw,eps_trend_ok,fy_complete_0y,fy_complete_1y,snap_ok_count,0y_current,0y_7d,0y_30d,0y_60d,0y_90d,1y_current,1y_90d,endDate_0y_ok,endDate_1y_ok,rev_ok_0y,up7,up30,dn30,dn7,na,rev_growth,op_margin,gross_margin,fwd_pe,fwd_eps,earn_date_present,error
010660.KS,HWACHEON,KS,105490000000.0,True,False,False,0,,,,,,,,False,False,False,,,,,,-0.37,-0.05071,0.091070004,,,False,
095270.KQ,WAVE ELECTRO,KQ,105493460040.0,True,False,False,0,,,,,,,,False,False,False,,,,,,,,,,,False,
063080.KQ,Com2uS Holdings,KQ,105523072000.0,True,False,False,0,,,,,,,,True,False,False,,,,,,,,,,,False,
264900.KS,CROWN,KS,105450817000.0,True,False,False,0,,,,,,,,True,False,False,,,,,,-0.006,0.015240001,0.30519,,,False,
017370.KS,WooshinSystems,KS,105122669960.0,True,False,False,0,,,,,,,,True,False,False,,,,,,-0.341,0.06695,0.135,,,False,
330350.KQ,Withus Pharm,KQ,105353069220.0,True,False,False,0,,,,,,,,True,False,False,,,,,,0.19,0.05086,0.64663005,,,False,
452200.KQ,Mintech,KQ,104928024000.0,True,False,False,0,,,,,,,,False,False,False,,,,,,-0.298,-0.1497,0.33495998,,,False,
004590.KQ,KoreaFurni,KQ,104550000000.0,True,False,False,0,,,,,,,,True,False,False,,,,,,0.063,0.09854999,0.28641,,,False,
053580.KQ,WebCash,KQ,104412754160.0,True,True,True,5,0.211,0.196,0.196,0.196,0.196,0.24,0.22,True,True,True,0,0,0,0,1,,,,,,False,
053260.KQ,KEUM KANG,KQ,104270400000.0,True,False,False,0,,,,,,,,True,False,False,,,,,,-0.271,0.00823,0.054980002,,,False,
0015N0.KQ,AROMATICA,KQ,104263410000.0,True,True,False,5,536.0,0.0,0.0,0.0,0.0,,,True,True,True,0,0,0,0,,,0.0,0.0,,,False,
081150.KQ,Tplex,KQ,104232786590.0,True,False,False,0,,,,,,,,True,False,False,,,,,,,,,,,False,
008260.KS,NI STEEL,KS,104104425880.0,True,False,False,0,,,,,,,,False,False,False,,,,,,0.055,0.1171,0.20433001,,,False,
040910.KQ,ICD,KQ,104015940000.0,True,False,False,0,,,,,,,,True,False,False,,,,,,-0.165,0.06553,0.16736999,,,False,
005740.KS,CROWNHAITAI Holdings,KS,103337535120.0,True,False,False,0,,,,,,,,True,False,False,,,,,,0.008,0.04237,0.30741,,,False,
019550.KQ,SBI Investment KOREA,KQ,103398474850.0,True,False,False,0,,,,,,,,False,True,False,,,,,,,,,,,False,
006840.KS,AK Holdings,KS,103198500190.0,True,False,False,0,,,,,,,,True,False,False,,,,,,,-0.04571,0.1237,,,False,
036420.KS,ContentreeJoongAng,KS,103053347800.0,True,True,True,5,-2259.0,75.25,75.25,128.05,-841.97144,-126.33333,-171.85715,True,True,True,0,0,1,0,6,0.297,0.00463,0.25425,-42.82322,,False,
067170.KQ,Autech,KQ,103291201000.0,True,False,False,0,,,,,,,,True,False,False,,,,,,-0.203,-0.07097,0.16393,,,False,
489460.KQ,BIOBIJOU,KQ,102903901200.0,True,False,False,0,,,,,,,,False,False,False,,,,,,-0.564,-0.68042,0.55732,,,False,
205500.KQ,NEXUS,KQ,102964030994.0,True,False,False,0,,,,,,,,False,False,False,,,,,,13.137,0.04731,0.99777,,,False,
084650.KQ,LabGen,KQ,102822386150.0,True,False,False,0,,,,,,,,True,False,False,,,,,,,,,,,False,
001540.KQ,AHN-GOOK PHA,KQ,102382997000.0,True,False,False,0,,,,,,,,True,False,False,,,,,,0.084,-0.07711,0.65272003,,,False,
039340.KQ,Korea Economic Broadcasting,KQ,102410000000.0,True,False,False,0,,,,,,,,True,False,False,,,,,,,,,,,False,
217190.KQ,Genesem,KQ,102204722970.0,True,False,False,0,,,,,,,,True,False,False,,,,,,-0.067,0.00387,0.36525002,,,False,
063160.KS,CKDBio,KS,102148612440.0,True,False,False,0,,,,,,,,True,False,False,,,,,,0.126,-0.13430001,0.19875999,,,False,
009300.KQ,Sam-A Pharm.,KQ,102047400000.0,True,False,False,0,,,,,,,,False,False,False,,,,,,,,,,,False,
064800.KQ,PonyLink,KQ,102118031102.0,True,False,False,0,,,,,,,,False,False,False,,,,,,0.151,-0.49685,0.20276,,,False,
382480.KQ,G.I.Tech,KQ,101934992600.0,True,False,False,0,,,,,,,,True,False,False,,,,,,-0.079,0.19323,0.34977,,,False,
002200.KS,KorExptPkgInd,KS,101650000000.0,True,False,False,0,,,,,,,,True,False,False,,,,,,-0.113,-0.07613,0.08078,,,False,
024740.KQ,HanilForging,KQ,101651881410.0,True,False,False,0,,,,,,,,True,False,False,,,,,,,,,,,False,
448710.KQ,COTS Technology,KQ,101636165160.0,True,True,True,5,1585.0,1741.0,0.0,0.0,0.0,1768.0,0.0,True,True,True,0,0,0,0,,-0.116,0.025729999,0.18104,10.978507,,False,
212710.KQ,ISTE,KQ,101522417900.0,True,False,False,0,,,,,,,,False,False,False,,,,,,0.004,-0.31443,0.07956,,,False,
352090.KQ,Stormtec,KQ,101445567450.0,True,False,False,0,,,,,,,,False,False,False,,,,,,-0.185,0.14220001,0.26793,,,False,
011370.KQ,Seohan,KQ,101197549595.0,True,False,False,0,,,,,,,,True,False,False,,,,,,-0.146,0.045100003,0.18103,,,False,
036630.KQ,SEJONG TELECOM,KQ,101400000000.0,True,False,False,0,,,,,,,,False,False,False,,,,,,,,,,,False,
048530.KQ,iNtRON Bio,KQ,101170507450.0,True,False,False,0,,,,,,,,True,False,False,,,,,,0.12,-1.19819,0.53046,,,False,
265560.KQ,YHTEC,KQ,101022201000.0,True,False,False,0,,,,,,,,False,False,False,,,,,,0.029,0.21027,0.33429,,,False,
026150.KQ,TSConstruct,KQ,101066866560.0,True,False,False,0,,,,,,,,True,False,False,,,,,,,,,,,False,
119650.KS,KC COTTRELL,KS,100782913662.0,True,False,False,0,,,,,,,,True,False,False,,,,,,-0.572,-0.18311001,0.03415,,,False,
238090.KQ,NDFOS,KQ,100923356400.0,True,False,False,0,,,,,,,,True,False,False,,,,,,-0.23,0.12911001,0.27684,,,False,
419050.KQ,SAMKEE ENERGY SOLUTIONS,KQ,100379401200.0,True,False,False,0,,,,,,,,True,False,False,,,,,,,,,,,False,
030960.KQ,Yangjisa,KQ,100194600000.0,True,False,False,0,,,,,,,,True,False,False,,,,,,,,,,,False,
208370.KQ,SELVAS Healthcare,KQ,100259496780.0,True,False,False,0,,,,,,,,False,False,False,,,,,,0.113,-0.00215,0.48657,,,False,
081180.KQ,SEC,KQ,100169822250.0,True,True,True,5,241.0,0.0,0.0,0.0,0.0,988.0,0.0,True,True,True,0,0,0,0,,0.199,0.00607,0.29744,11.103239,,False,
079980.KS,HUVIS,KS,100050000000.0,True,False,False,0,,,,,,,,True,False,False,,,,,,-0.1,0.046230003,0.0838,,,False,
003580.KS,HLB GLOBAL,KS,100009758870.0,True,False,False,0,,,,,,,,False,False,False,,,,,,0.106,-0.20517999,0.52719,,,False,
303810.KQ,DongKook Life Science,KQ,100110358200.0,True,False,False,0,,,,,,,,False,False,False,,,,,,-0.026,0.079239994,0.25307,,,False,
