symbol,name,market,mc_krw,eps_trend_ok,fy_complete_0y,fy_complete_1y,snap_ok_count,0y_current,0y_7d,0y_30d,0y_60d,0y_90d,1y_current,1y_90d,endDate_0y_ok,endDate_1y_ok,rev_ok_0y,up7,up30,dn30,dn7,na,rev_growth,op_margin,gross_margin,fwd_pe,fwd_eps,earn_date_present,error,ticker,source
476830.KQ,Rznomics,KQ,2981842188000.0,True,False,False,0,,,,,,,,False,False,False,,,,,,,0.0,0.0,,,False,,476830,US (5천억+)
009420.KS,HANALL BIOPHARMA,KS,2899355409000.0,True,True,True,5,38.375,38.9,22.3,-4.6,-105.0,242.025,436.14,True,True,True,0.0,0.0,0.0,0.0,4.0,0.031,-0.07222,0.52050996,184.89825,,False,,009420,US (5천억+)
263750.KQ,PearlAbyss,KQ,2955401330000.0,True,True,True,5,2997.5627,0.0,2979.2063,2245.988,2142.2324,1586.3225,1254.4468,True,True,True,0.0,3.0,0.0,0.0,15.0,-0.002,-0.08834,0.99885005,31.519442,,False,,263750,US (5천억+)
440110.KQ,FADU,KQ,2850600609000.0,True,True,True,5,82.51,82.51,82.51,82.51,82.51,273.18,273.18,True,True,True,0.0,0.0,1.0,1.0,2.0,-0.004,-1.23527,0.47239,360.56815,,False,,440110,US (5천억+)
043260.KQ,SUNGHO,KQ,2836912920000.0,True,False,False,0,,,,,,,,False,False,False,,,,,,,,,,,False,,043260,US (5천억+)
103140.KS,POONGSAN,KS,2799625372200.0,True,True,True,5,9179.6,8798.3,8699.3,8699.3,9335.692,9167.6,9928.846,True,True,True,5.0,5.0,1.0,1.0,10.0,0.16,0.06426,0.11378,10.04625,,False,,103140,US (5천억+)
036930.KQ,JEL,KQ,2835348381000.0,True,True,True,5,2158.0,2279.0,2279.0,2295.4,2206.3333,2599.0,2367.8,True,True,True,1.0,1.0,0.0,0.0,4.0,,,,,,False,,036930,US (5천억+)
457190.KS,ISUSPECIALTYCHEMICAL,KS,2789201885600.0,True,False,False,0,,,,,,,,True,False,False,,,,,,,,,,,False,,457190,US (5천억+)
051600.KS,KEPCO KPS,KS,2763000000000.0,True,True,True,5,3446.8286,3515.0544,3515.0544,3529.66,3390.7666,3761.9,3913.15,True,True,True,0.0,0.0,0.0,0.0,11.0,0.022,0.043670002,0.15066,14.899386,,False,,051600,US (5천억+)
112610.KS,CSWIND,KS,2736924054700.0,True,True,True,5,4386.406,3767.0,3767.0,4495.661,4201.3105,5545.544,5251.172,True,True,True,2.0,1.0,0.0,0.0,7.0,0.164,0.08959,0.15952,10.062133,,False,,112610,US (5천억+)
140410.KQ,Mezzion Pharma,KQ,2779876780500.0,True,False,False,0,,,,,,,,True,False,False,,,,,,,,,,,False,,140410,US (5천억+)
279570.KS,Kbank,KS,2722214463210.0,True,True,True,5,348.0,0.0,0.0,0.0,0.0,505.0,0.0,True,True,True,0.0,0.0,0.0,0.0,,,,,,,False,,279570,US (5천억+)
058610.KQ,SPG,KQ,2732250752000.0,True,False,False,0,,,,,,,,True,False,False,,,,,,,,,,,False,,058610,US (5천억+)
064760.KQ,TCK,KQ,2711008380000.0,True,True,True,5,9042.376,8563.315,8152.625,7784.875,7837.775,11772.485,9591.375,True,True,True,2.0,2.0,0.0,0.0,6.0,,,,,,False,,064760,US (5천억+)
001450.KS,Hyundai M&F INS,KS,2708820000000.0,True,True,True,5,8439.406,9210.562,9842.083,9842.083,9842.083,10949.788,11679.51,True,True,True,0.0,0.0,3.0,1.0,17.0,0.019,-0.06269,0.18789,2.919432,,True,,001450,US (5천억+)
028670.KS,PanOcean,KS,2699576035600.0,True,True,True,5,750.7778,681.55554,699.7,699.7,717.4545,835.3,794.1818,True,True,True,6.0,6.0,1.0,0.0,10.0,-0.119,0.08834,0.11288,7.3027654,,True,,028670,US (5천억+)
139130.KS,iM Financial Group,KS,2698492994400.0,True,True,True,5,3132.3335,3038.0046,3059.1372,3068.049,3002.2617,3435.8025,3216.9631,True,True,True,4.0,5.0,0.0,0.0,14.0,0.118,0.33837003,0.0,5.486346,,False,,139130,US (5천억+)
071970.KS,HD-Hyundai Marine Engine,KS,2632308012000.0,True,True,True,5,3667.0,3395.75,3401.0,3162.75,3162.75,4979.75,4619.75,True,True,True,1.0,1.0,0.0,0.0,4.0,0.253,0.25035,0.25507,16.74783,,False,,071970,US (5천억+)
178320.KQ,SEOJIN SYSTEM,KQ,2666263458000.0,True,True,True,5,1748.5,1747.0,2446.6667,2222.0,2222.0,3864.3333,3939.0,True,True,True,0.0,0.0,1.0,1.0,3.0,0.176,0.0756,0.10358,17.10515,,False,,178320,US (5천억+)
475830.KQ,ORUM,KQ,2651922763200.0,True,False,False,0,,,,,,,,False,False,False,,,,,,-0.775,-32704.223,0.98908997,,,False,,475830,US (5천억+)
000120.KS,CJ LOGISTICS,KS,2573232403200.0,True,True,True,5,12722.517,12929.475,13468.835,13768.121,13768.121,14672.587,15413.408,True,True,True,0.0,0.0,5.0,1.0,14.0,0.005,0.04996,0.109139994,6.4269514,,False,,000120,US (5천억+)
139480.KS,emart,KS,2605045313600.0,True,True,True,5,8442.671,8644.754,8815.052,8243.557,8306.432,11560.825,11366.47,True,True,True,0.0,0.0,1.0,1.0,13.0,0.009,-0.00678,0.31027,10.146335,,False,,139480,US (5천억+)
068760.KQ,Celltrionph,KQ,2629764880400.0,True,False,False,0,,,,,,,,True,False,False,,,,,,0.927,0.112679996,0.29426,,,False,,068760,US (5천억+)
008930.KS,Hanmi Science,KS,2571522280000.0,True,False,False,0,,,,,,,,False,False,False,,,,,,0.052,-0.15408,0.22941999,,,False,,008930,US (5천억+)
026960.KS,DONGSUH,KS,2557305000000.0,True,False,False,0,,,,,,,,True,False,False,,,,,,0.044,0.06446,0.16399,,,False,,026960,US (5천억+)
003690.KS,Korean Re,KS,2552155506100.0,True,True,True,5,1512.049,1572.616,1572.616,1605.308,1605.308,1627.143,1616.834,True,True,True,0.0,0.0,1.0,1.0,2.0,-0.06,-0.023640001,0.14587,7.344161,,True,,003690,US (5천억+)
000240.KS,HANKOOK & COMPANY,KS,2525277384000.0,True,True,True,5,4438.0,6105.0,6105.0,6105.0,4855.5,4565.0,5696.0,True,True,True,0.0,0.0,1.0,1.0,1.0,0.145,0.21677999,0.37035,5.2354875,,False,,000240,US (5천억+)
097230.KS,HJSC,KS,2510210563200.0,True,False,False,0,,,,,,,,False,False,False,,,,,,0.312,0.05037,0.088479996,,,False,,097230,US (5천억+)
030530.KQ,WONIK HOLDINGS,KQ,2510234382500.0,True,False,False,0,,,,,,,,False,False,False,,,,,,-0.271,-0.00401,0.24836001,,,False,,030530,US (5천억+)
017960.KS,HankukCarbon,KS,2509773654200.0,True,True,True,5,2427.8962,2399.4712,2399.4712,2198.5,2119.0217,2767.3,2587.3333,True,True,True,1.0,1.0,0.0,0.0,5.0,0.194,0.16535999,0.23392999,14.508727,,False,,017960,US (5천억+)
204320.KS,HL MANDO,KS,2488727360000.0,True,True,True,5,4472.2783,4571.624,4731.9595,4738.5957,4940.547,5607.4897,5901.8794,True,True,True,6.0,6.0,3.0,3.0,24.0,0.018,0.040489998,0.15521,10.949641,,False,,204320,US (5천억+)
004800.KS,Hyosung,KS,2427359015000.0,True,True,True,5,21708.0,21708.0,20066.0,17571.0,17571.0,21313.5,13667.0,True,True,True,1.0,1.0,0.0,0.0,2.0,,0.13590999,0.27672002,11.143172,,False,,004800,US (5천억+)
005290.KQ,DONGJIN,KQ,2496173683700.0,True,True,True,5,3051.0,0.0,0.0,0.0,0.0,3270.0,0.0,True,True,True,0.0,0.0,0.0,0.0,,0.069,0.10033,0.25893,17.155964,,False,,005290,US (5천억+)
030000.KS,CheilWorldwide,KS,2410113663750.0,True,True,True,5,1941.5479,2082.1853,2088.1853,2068.2793,2158.8567,2221.0837,2320.5945,True,True,True,1.0,0.0,3.0,2.0,13.0,0.03,0.07501,0.40709,8.666941,,False,,030000,US (5천억+)
319660.KQ,PSK,KQ,2389753905000.0,True,True,True,5,4939.0,4939.0,2682.0,2758.5,2758.5,5662.0,2942.5,True,True,True,1.0,1.0,0.0,0.0,2.0,0.357,0.15349,0.48703,19.092194,,False,,319660,US (5천억+)
458870.KQ,SEERS,KQ,2397763620000.0,True,True,True,5,1219.8889,1209.8889,1209.8889,1209.8889,659.75,1844.3334,1250.1111,True,True,True,1.0,1.0,0.0,0.0,2.0,2.721,0.42639,0.72416997,22.067595,,False,,458870,US (5천억+)
081660.KS,Misto Holdings,KS,2359932288000.0,True,True,True,5,4622.618,4893.4365,5144.0464,4636.791,4583.155,5048.6416,5061.737,True,True,True,0.0,1.0,4.0,1.0,12.0,0.063,-0.0018000001,0.52951,7.566392,,True,,081660,US (5천억+)
001430.KS,SBHC,KS,2334623946900.0,True,True,True,5,2807.3333,2276.5,2805.0,2754.1,2647.889,3817.625,3631.889,True,True,True,2.0,2.0,1.0,0.0,8.0,0.038,0.01028,0.08628,18.859894,,False,,001430,US (5천억+)
035900.KQ,JYP Ent.,KQ,2377123714800.0,True,True,True,5,3741.8933,3732.7427,3746.2163,3742.727,3817.2705,4261.7793,4289.0005,True,True,True,0.0,0.0,5.0,2.0,26.0,0.168,0.18017,0.36922002,13.703197,,False,,035900,US (5천억+)
005440.KS,HYUNDAI G.F. HOLDINGS,KS,2332328342960.0,True,True,True,5,1752.0,2183.5,2183.5,2183.5,1846.0,2338.0,2046.0,True,True,True,1.0,1.0,0.0,0.0,4.0,-0.026,0.013940001,0.32773,6.44568,,False,,005440,US (5천억+)
007340.KS,DN AUTOMOTIVE,KS,2317030254000.0,True,False,False,0,,,,,,,,True,False,False,,,,,,0.053,0.15481,0.26225,,,False,,007340,US (5천억+)
031980.KQ,PSK HOLDINGS,KQ,2302863786000.0,True,False,False,0,,,,,,,,True,False,False,,,,,,,,,,,False,,031980,US (5천억+)
383220.KS,F&F,KS,2302255207500.0,True,True,True,5,12792.603,10744.894,10623.883,10614.783,10604.803,12276.682,11472.827,True,True,True,7.0,6.0,0.0,0.0,12.0,0.053,0.23109,0.66732,6.84224,,False,,383220,US (5천억+)
018670.KS,SKGas,KS,2302065756000.0,True,True,True,5,27503.0,28186.0,37693.75,38677.0,38677.0,36464.75,40078.75,True,True,True,0.0,0.0,1.0,1.0,5.0,0.017,0.01773,0.10123,7.6649365,,False,,018670,US (5천억+)
004370.KS,Nongshim,KS,2256660182000.0,True,True,True,5,30820.271,30745.268,30702.686,33062.344,33208.652,33391.223,35365.32,True,True,True,1.0,1.0,0.0,0.0,19.0,0.032,0.0378,0.28994,11.634794,,True,,004370,US (5천억+)
011210.KS,HYUNDAI WIA,KS,2289825988600.0,True,True,True,5,6048.7793,6671.251,7083.6665,6963.7144,6660.91,7674.4,7622.1,True,True,True,2.0,0.0,4.0,2.0,13.0,0.041,0.022820001,0.06327,12.391849,,True,,011210,US (5천억+)
