v,q,g,m,gr,mom,cagr,mdd,cal,sh,sort
10,0,75,15,0.3,12m,97.26,46.41,2.095,1.643,2.569
5,15,65,15,0.4,12m-1m,83.75,40.03,2.092,1.492,2.379
20,5,55,20,0.7,12m-1m,83.47,39.99,2.087,1.49,2.252
10,5,65,20,0.5,12m-1m,82.63,39.67,2.083,1.477,2.321
20,0,60,20,0.7,12m,79.29,38.08,2.082,1.435,2.21
15,5,60,20,0.8,12m-1m,87.87,42.38,2.073,1.531,2.389
0,0,70,30,0.4,12m-1m,87.35,42.19,2.071,1.52,2.424
20,0,50,30,0.7,12m,93.18,45.03,2.069,1.563,2.42
20,5,55,20,0.5,12m-1m,75.02,36.34,2.065,1.408,2.228
30,0,50,20,0.6,12m,57.84,28.06,2.061,1.228,1.943
15,0,55,30,0.5,12m,98.5,47.85,2.059,1.624,2.638
15,0,55,30,0.8,12m,93.01,45.2,2.058,1.56,2.449
0,15,70,15,0.6,12m-1m,87.69,42.69,2.054,1.543,2.48
10,10,50,30,0.7,12m,88.7,43.21,2.053,1.537,2.406
10,5,65,20,0.6,12m-1m,88.64,43.19,2.052,1.527,2.453
10,10,60,20,0.6,12m-1m,78.86,38.46,2.051,1.437,2.317
0,10,75,15,0.4,12m-1m,82.42,40.21,2.05,1.484,2.373
10,15,50,25,0.5,12m-1m,80.93,39.51,2.048,1.471,2.337
15,10,60,15,0.6,12m,79.26,38.72,2.047,1.438,2.182
15,5,55,25,0.8,12m-1m,91.72,44.82,2.046,1.562,2.428
20,10,45,25,0.4,12m-1m,75.95,37.12,2.046,1.419,2.207
5,0,70,25,0.8,12m-1m,91.59,44.8,2.045,1.563,2.518
10,15,55,20,0.6,12m-1m,85.89,42.15,2.038,1.514,2.436
15,0,65,20,0.6,12m-1m,84.91,41.73,2.035,1.496,2.358
5,15,60,20,0.4,12m,87.19,42.84,2.035,1.532,2.448
20,5,45,30,0.6,12m,78.83,38.74,2.035,1.433,2.248
0,15,65,20,0.3,12m-1m,90.06,44.28,2.034,1.557,2.45
0,15,65,20,0.5,12m-1m,88.98,43.76,2.033,1.56,2.489
25,5,40,30,0.4,12m-1m,71.12,35.11,2.026,1.369,2.118
15,5,55,25,0.5,12m,77.57,38.3,2.025,1.41,2.257
0,10,60,30,0.8,12m-1m,96.35,47.76,2.017,1.629,2.658
0,10,60,30,0.8,12m,92.4,45.93,2.012,1.586,2.585
20,0,60,20,0.7,12m-1m,77.99,38.79,2.01,1.428,2.162
30,10,50,10,0.5,12m,59.89,29.87,2.005,1.254,2.006
15,5,60,20,0.5,12m,91.96,45.88,2.004,1.556,2.525
15,0,65,20,0.8,12m-1m,88.88,44.41,2.001,1.533,2.376
15,10,45,30,0.6,12m,84.84,42.42,2.0,1.496,2.353
5,10,65,20,0.7,12m-1m,85.36,42.82,1.993,1.521,2.474
5,10,55,30,0.4,12m-1m,74.6,37.45,1.992,1.395,2.227
20,5,60,15,0.7,12m-1m,67.7,33.99,1.992,1.309,1.999
5,15,65,15,0.5,12m,85.21,42.8,1.991,1.513,2.395
25,10,50,15,0.4,12m,67.18,33.78,1.989,1.322,2.108
5,15,50,30,0.3,12m-1m,78.9,39.67,1.989,1.447,2.288
20,0,65,15,0.5,12m,69.94,35.16,1.989,1.331,2.127
20,5,40,35,0.8,12m-1m,78.76,39.63,1.988,1.454,2.326
10,0,70,20,0.4,12m-1m,92.59,46.61,1.987,1.557,2.547
15,15,55,15,0.5,12m-1m,64.53,32.48,1.987,1.286,2.066
15,0,60,25,0.8,12m-1m,87.68,44.14,1.986,1.533,2.37
10,0,60,30,0.8,12m,96.12,48.45,1.984,1.608,2.508
10,5,65,20,0.6,12m,83.09,41.9,1.983,1.465,2.351
20,5,55,20,0.6,12m,81.0,40.94,1.979,1.448,2.219
25,5,40,30,0.7,12m-1m,68.79,34.76,1.979,1.346,2.042
15,5,55,25,0.6,12m,92.16,46.64,1.976,1.546,2.419
0,15,55,30,0.8,12m,91.27,46.22,1.975,1.584,2.578
5,15,60,20,0.5,12m-1m,87.97,44.54,1.975,1.538,2.467
10,0,60,30,0.5,12m-1m,93.99,47.63,1.974,1.578,2.519
15,0,65,20,0.8,12m,80.19,40.61,1.974,1.453,2.222
20,5,40,35,0.7,12m,76.92,39.01,1.972,1.417,2.205
5,10,55,30,0.7,12m,89.9,45.59,1.972,1.556,2.528
10,10,55,25,0.4,12m,84.91,43.09,1.971,1.505,2.397
10,0,65,25,0.7,12m,94.95,48.16,1.971,1.606,2.589
10,10,65,15,0.5,12m-1m,86.65,44.07,1.966,1.512,2.397
10,5,70,15,0.6,12m-1m,87.3,44.43,1.965,1.514,2.38
25,0,50,25,0.7,12m,83.17,42.36,1.964,1.484,2.272
15,10,60,15,0.5,12m,81.51,41.55,1.962,1.458,2.336
25,0,45,30,0.6,12m,72.07,36.75,1.961,1.378,2.131
5,10,60,25,0.4,12m-1m,75.76,38.66,1.96,1.407,2.232
20,5,65,10,0.7,12m,74.67,38.1,1.96,1.38,2.118
15,5,55,25,0.8,12m,84.46,43.12,1.959,1.482,2.306
10,5,60,25,0.5,12m-1m,86.1,44.05,1.954,1.502,2.407
20,10,50,20,0.7,12m,70.03,35.85,1.953,1.373,2.114
0,5,75,20,0.5,12m-1m,88.48,45.3,1.953,1.551,2.476
20,5,50,25,0.6,12m-1m,76.63,39.25,1.953,1.421,2.206
15,5,65,15,0.7,12m-1m,80.29,41.12,1.953,1.448,2.213
25,5,50,20,0.7,12m,68.83,35.29,1.95,1.333,1.986
20,10,50,20,0.6,12m,68.4,35.11,1.948,1.342,2.094
10,0,75,15,0.4,12m,86.56,44.48,1.946,1.496,2.414
20,5,60,15,0.5,12m-1m,68.15,35.02,1.946,1.325,2.087
0,10,65,25,0.4,12m-1m,83.14,42.76,1.944,1.488,2.337
15,15,55,15,0.6,12m-1m,81.42,41.9,1.943,1.473,2.386
10,15,55,20,0.5,12m-1m,79.6,40.97,1.943,1.46,2.282
25,0,60,15,0.8,12m,78.94,40.65,1.942,1.438,2.198
20,0,65,15,0.5,12m-1m,69.46,35.8,1.94,1.351,2.1
0,5,75,20,0.5,12m,85.14,43.92,1.938,1.511,2.401
5,5,65,25,0.8,12m-1m,76.18,39.36,1.935,1.41,2.282
20,0,50,30,0.5,12m,70.82,36.73,1.928,1.34,2.146
20,5,65,10,0.8,12m-1m,68.41,35.5,1.927,1.308,1.969
15,0,75,10,0.4,12m-1m,80.29,41.68,1.926,1.456,2.326
25,5,50,20,0.5,12m,72.51,37.68,1.924,1.387,2.225
5,10,55,30,0.6,12m,87.66,45.59,1.922,1.531,2.459
5,0,75,20,0.3,12m-1m,79.99,41.67,1.919,1.453,2.325
10,0,70,20,0.5,12m-1m,96.82,50.47,1.918,1.629,2.607
15,5,70,10,0.6,12m-1m,71.42,37.23,1.918,1.354,2.067
15,5,70,10,0.6,12m,72.76,37.95,1.917,1.37,2.115
20,0,65,15,0.8,12m-1m,74.05,38.75,1.911,1.372,2.121
10,5,70,15,0.7,12m-1m,79.7,41.75,1.909,1.453,2.243
10,15,45,30,0.8,12m-1m,85.55,44.91,1.905,1.52,2.467
5,5,65,25,0.3,12m,76.66,40.27,1.904,1.387,2.261
5,15,60,20,0.3,12m-1m,69.31,36.46,1.901,1.341,2.113
25,10,50,15,0.5,12m,61.23,32.23,1.9,1.263,2.026
10,10,65,15,0.6,12m,87.61,46.15,1.898,1.513,2.341
10,0,60,30,0.6,12m,87.4,46.08,1.897,1.512,2.414
0,5,75,20,0.4,12m,87.11,45.98,1.895,1.502,2.465
10,5,60,25,0.8,12m-1m,79.09,41.76,1.894,1.432,2.25
10,0,70,20,0.8,12m-1m,80.23,42.39,1.893,1.441,2.26
5,15,60,20,0.5,12m,90.31,47.85,1.887,1.564,2.492
10,10,50,30,0.7,12m-1m,86.1,45.62,1.887,1.509,2.458
10,5,70,15,0.7,12m,80.41,42.65,1.885,1.452,2.232
10,10,50,30,0.8,12m-1m,90.0,47.79,1.883,1.548,2.516
10,15,60,15,0.4,12m-1m,70.77,37.6,1.882,1.349,2.143
5,15,60,20,0.7,12m,84.17,44.77,1.88,1.481,2.315
20,5,40,35,0.6,12m-1m,71.18,37.9,1.878,1.386,2.183
5,15,55,25,0.7,12m,90.91,48.4,1.878,1.572,2.522
20,5,65,10,0.5,12m-1m,65.75,35.02,1.877,1.292,2.027
20,0,60,20,0.8,12m-1m,71.6,38.18,1.876,1.356,2.076
