v,q,g,m,mom,entry,exit,slots,sl,trail,corr_th,calmar,cagr,mdd,sharpe,sortino,avg_holdings
10,0,70,20,12m-1m,3,8,3,-0.1,-0.15,0.6,2.672,100.84,37.74,1.623,2.647,2.9
20,5,60,15,12m,7,8,3,-0.12,-0.2,0.65,2.67,102.21,38.28,1.663,2.646,3.0
20,5,60,15,12m,7,8,3,-0.12,-0.2,,2.67,102.21,38.28,1.663,2.646,3.0
20,5,60,15,12m,7,8,3,-0.12,-0.2,0.6,2.67,102.21,38.28,1.663,2.646,3.0
20,0,70,10,12m,7,12,3,-0.08,-0.15,0.65,2.661,106.16,39.9,1.713,2.789,3.0
20,0,70,10,12m,7,12,3,-0.08,-0.15,0.6,2.661,106.16,39.9,1.713,2.789,3.0
20,0,70,10,12m,7,12,3,-0.08,-0.15,,2.661,106.16,39.9,1.713,2.789,3.0
15,5,65,15,12m-1m,5,15,3,-0.08,-0.15,0.65,2.66,93.43,35.12,1.564,2.584,3.0
15,5,65,15,12m-1m,5,15,3,-0.08,-0.15,,2.66,93.43,35.12,1.564,2.584,3.0
15,5,65,15,12m-1m,5,15,3,-0.08,-0.15,0.6,2.66,93.43,35.12,1.564,2.584,3.0
10,0,70,20,12m-1m,3,8,3,-0.12,-0.15,0.65,2.656,99.94,37.63,1.614,2.634,2.8
10,0,70,20,12m-1m,3,8,3,-0.12,-0.15,,2.656,99.94,37.63,1.614,2.634,2.8
10,0,70,20,12m-1m,3,8,3,-0.12,-0.15,0.6,2.656,99.94,37.63,1.614,2.634,2.8
20,5,60,15,12m-1m,7,12,3,,-0.15,0.65,2.654,97.33,36.67,1.622,2.664,3.0
20,5,60,15,12m-1m,7,12,3,-0.12,-0.15,,2.654,97.33,36.67,1.622,2.664,3.0
20,5,60,15,12m-1m,7,12,3,,-0.15,,2.654,97.33,36.67,1.622,2.664,3.0
20,5,60,15,12m-1m,7,12,3,-0.12,-0.15,0.65,2.654,97.33,36.67,1.622,2.664,3.0
20,5,60,15,12m-1m,7,12,3,,-0.15,0.6,2.654,97.33,36.67,1.622,2.664,3.0
20,5,60,15,12m-1m,7,12,3,-0.12,-0.15,0.6,2.654,97.33,36.67,1.622,2.664,3.0
10,0,70,20,12m-1m,5,8,3,-0.08,-0.15,,2.649,100.5,37.94,1.643,2.581,3.0
10,0,70,20,12m-1m,5,8,3,-0.08,-0.15,0.65,2.649,100.5,37.94,1.643,2.581,3.0
10,0,70,20,12m-1m,5,8,3,-0.08,-0.15,0.6,2.649,100.5,37.94,1.643,2.581,3.0
20,5,60,15,12m,7,8,3,,-0.15,0.6,2.638,92.93,35.23,1.576,2.505,3.0
20,5,60,15,12m,7,8,3,,-0.15,0.65,2.638,92.93,35.23,1.576,2.505,3.0
20,5,60,15,12m,7,8,3,,-0.15,,2.638,92.93,35.23,1.576,2.505,3.0
15,5,65,15,12m-1m,5,8,3,-0.1,-0.15,0.65,2.637,91.13,34.56,1.555,2.483,3.0
15,5,65,15,12m-1m,5,8,3,-0.1,-0.15,0.6,2.637,91.13,34.56,1.555,2.483,3.0
15,5,65,15,12m-1m,5,8,3,-0.1,-0.15,,2.637,91.13,34.56,1.555,2.483,3.0
25,5,50,20,12m,7,12,3,-0.12,-0.15,,2.632,86.19,32.75,1.542,2.44,3.0
25,5,50,20,12m,7,12,3,-0.12,-0.15,0.6,2.632,86.19,32.75,1.542,2.44,3.0
