regime,atk,def,cal,cagr,mdd,sharpe,sortino,switches
MA150_7d,V20Q0G45M35,V30Q15G25M30,3.175,131.15,41.31,0.775,4.653,15
MA150_7d,V20Q0G45M35,V30Q15G25M30,3.175,131.15,41.31,0.775,4.653,15
MA100_10d,V20Q0G45M35,V30Q15G25M30,3.174,129.11,40.67,0.769,4.617,15
MA100_10d,V20Q0G45M35,V30Q15G25M30,3.174,129.11,40.67,0.769,4.617,15
MOM252_5d,V20Q0G45M35,V30Q15G25M30,3.173,126.1,39.74,0.761,4.658,13
MOM252_5d,V20Q0G45M35,V30Q15G25M30,3.173,126.1,39.74,0.761,4.658,13
SLOPE200_5w_5d,V20Q0G45M35,V30Q15G25M30,3.171,126.15,39.78,0.761,4.638,17
SLOPE200_5w_5d,V20Q0G45M35,V30Q15G25M30,3.171,126.15,39.78,0.761,4.638,17
MA100_3d,V20Q0G45M35,V30Q15G25M30,3.17,127.78,40.31,0.766,4.602,25
MA100_3d,V20Q0G45M35,V30Q15G25M30,3.17,127.78,40.31,0.766,4.602,25
MA200_3d,V20Q0G45M35,V30Q15G25M30,3.168,128.39,40.53,0.767,4.653,25
MA200_3d,V20Q0G45M35,V30Q15G25M30,3.168,128.39,40.53,0.767,4.653,25
MOM90_5d,V20Q0G45M35,V30Q15G25M30,3.168,128.08,40.43,0.767,4.632,29
MOM90_5d,V20Q0G45M35,V30Q15G25M30,3.168,128.08,40.43,0.767,4.632,29
RSI14_45_3d,V20Q0G45M35,V30Q15G25M30,3.167,122.69,38.74,0.753,4.552,93
RSI14_45_3d,V20Q0G45M35,V30Q15G25M30,3.167,122.69,38.74,0.753,4.552,93
MA100_10d,V20Q0G45M35,V30Q15G25M30,3.167,128.82,40.67,0.768,4.642,15
MA100_10d,V20Q0G45M35,V30Q15G25M30,3.167,128.82,40.67,0.768,4.642,15
MA250_3d,V20Q0G45M35,V30Q15G25M30,3.167,125.89,39.74,0.761,4.582,21
MA250_3d,V20Q0G45M35,V30Q15G25M30,3.167,125.89,39.74,0.761,4.582,21
MA250_7d,V20Q0G45M35,V30Q15G25M30,3.167,128.06,40.43,0.766,4.656,13
MA250_7d,V20Q0G45M35,V30Q15G25M30,3.167,128.06,40.43,0.766,4.656,13
GC20x60_5d,V20Q0G45M35,V30Q15G25M30,3.166,126.47,39.95,0.764,4.554,33
GC20x60_5d,V20Q0G45M35,V30Q15G25M30,3.166,126.47,39.95,0.764,4.554,33
MA100_7d,V20Q0G45M35,V30Q15G25M30,3.164,127.93,40.43,0.767,4.614,17
MA100_7d,V20Q0G45M35,V30Q15G25M30,3.164,127.93,40.43,0.767,4.614,17
MA200_5d,V20Q0G45M35,V30Q15G25M30,3.164,127.92,40.43,0.766,4.637,21
MA200_5d,V20Q0G45M35,V30Q15G25M30,3.164,127.92,40.43,0.766,4.637,21
DD15pct_10d,V20Q0G45M35,V30Q15G25M30,3.163,123.74,39.12,0.752,4.692,12
DD15pct_10d,V20Q0G45M35,V30Q15G25M30,3.163,123.74,39.12,0.752,4.692,12
MA120_7d,V20Q0G45M35,V30Q15G25M30,3.163,127.88,40.43,0.766,4.596,17
MA120_7d,V20Q0G45M35,V30Q15G25M30,3.163,127.88,40.43,0.766,4.596,17
MA120_10d,V20Q0G45M35,V30Q15G25M30,3.163,129.26,40.86,0.769,4.616,17
MA120_10d,V20Q0G45M35,V30Q15G25M30,3.163,129.26,40.86,0.769,4.616,17
MOM60_5d,V20Q0G45M35,V30Q15G25M30,3.161,128.09,40.53,0.767,4.574,21
MOM60_5d,V20Q0G45M35,V30Q15G25M30,3.161,128.09,40.53,0.767,4.574,21
GC20x60_5d,V20Q0G45M35,V30Q15G25M30,3.158,126.16,39.95,0.763,4.573,33
GC20x60_5d,V20Q0G45M35,V30Q15G25M30,3.158,126.16,39.95,0.763,4.573,33
MOM252_3d,V20Q0G45M35,V30Q15G25M30,3.158,121.36,38.43,0.748,4.573,21
MOM252_3d,V20Q0G45M35,V30Q15G25M30,3.158,121.36,38.43,0.748,4.573,21
MOM252_5d,V20Q0G45M35,V30Q15G25M30,3.157,125.49,39.74,0.759,4.661,13
MOM252_5d,V20Q0G45M35,V30Q15G25M30,3.157,125.49,39.74,0.759,4.661,13
MOM60_5d,V20Q0G45M35,V30Q15G25M30,3.155,127.86,40.53,0.766,4.601,21
MOM60_5d,V20Q0G45M35,V30Q15G25M30,3.155,127.86,40.53,0.766,4.601,21
MA150_7d,V20Q0G45M35,V30Q15G25M30,3.154,126.3,40.05,0.762,4.586,15
MA150_7d,V20Q0G45M35,V30Q15G25M30,3.154,126.3,40.05,0.762,4.586,15
MA150_10d,V20Q0G45M35,V30Q15G25M30,3.154,135.11,42.84,0.784,4.708,15
MA150_10d,V20Q0G45M35,V30Q15G25M30,3.154,135.11,42.84,0.784,4.708,15
MA100_5d,V20Q0G45M35,V30Q15G25M30,3.153,127.8,40.53,0.766,4.615,17
MA100_5d,V20Q0G45M35,V30Q15G25M30,3.153,127.8,40.53,0.766,4.615,17
MOM252_10d,V20Q0G45M35,V30Q15G25M30,3.153,125.96,39.95,0.761,4.664,12
MOM252_10d,V20Q0G45M35,V30Q15G25M30,3.153,125.96,39.95,0.761,4.664,12
SLOPE200_10w_5d,V20Q0G45M35,V30Q15G25M30,3.151,123.3,39.14,0.753,4.612,10
SLOPE200_10w_5d,V20Q0G45M35,V30Q15G25M30,3.151,123.3,39.14,0.753,4.612,10
MOM60_3d,V20Q0G45M35,V30Q15G25M30,3.15,129.57,41.13,0.771,4.684,27
MOM60_3d,V20Q0G45M35,V30Q15G25M30,3.15,129.57,41.13,0.771,4.684,27
RSI14_40_5d,V20Q0G45M35,V30Q15G25M30,3.144,127.13,40.43,0.764,4.629,51
RSI14_40_5d,V20Q0G45M35,V30Q15G25M30,3.144,127.13,40.43,0.764,4.629,51
RSI21_50_10d,V20Q0G45M35,V30Q15G25M30,3.144,128.99,41.03,0.769,4.641,35
RSI21_50_10d,V20Q0G45M35,V30Q15G25M30,3.144,128.99,41.03,0.769,4.641,35
MA150_7d,V20Q0G45M35,V30Q15G25M30,3.141,125.8,40.05,0.761,4.582,15
MA150_7d,V20Q0G45M35,V30Q15G25M30,3.141,125.8,40.05,0.761,4.582,15
GC20x60_5d,V20Q0G45M35,V30Q15G25M30,3.136,125.3,39.95,0.76,4.549,33
GC20x60_5d,V20Q0G45M35,V30Q15G25M30,3.136,125.3,39.95,0.76,4.549,33
SLOPE200_10w_10d,V20Q0G45M35,V30Q15G25M30,3.132,121.83,38.89,0.75,4.559,10
SLOPE200_10w_10d,V20Q0G45M35,V30Q15G25M30,3.132,121.83,38.89,0.75,4.559,10
MA100_3d,V20Q0G45M35,V30Q15G25M30,3.131,128.45,41.03,0.768,4.611,25
MA100_3d,V20Q0G45M35,V30Q15G25M30,3.131,128.45,41.03,0.768,4.611,25
MA250_3d,V20Q0G45M35,V30Q15G25M30,3.131,124.44,39.74,0.757,4.558,21
MA250_3d,V20Q0G45M35,V30Q15G25M30,3.131,124.44,39.74,0.757,4.558,21
RSI14_40_3d,V20Q0G45M35,V30Q15G25M30,3.127,126.73,40.53,0.763,4.642,79
RSI14_40_3d,V20Q0G45M35,V30Q15G25M30,3.127,126.73,40.53,0.763,4.642,79
MA150_5d,V20Q0G45M35,V30Q15G25M30,3.127,126.42,40.43,0.763,4.57,23
MA150_5d,V20Q0G45M35,V30Q15G25M30,3.127,126.42,40.43,0.763,4.57,23
MA150_10d,V20Q0G45M35,V30Q15G25M30,3.125,133.85,42.84,0.781,4.684,15
MA150_10d,V20Q0G45M35,V30Q15G25M30,3.125,133.85,42.84,0.781,4.684,15
MA100_10d,V20Q0G45M35,V30Q15G25M30,3.123,127.02,40.67,0.764,4.582,15
MA100_10d,V20Q0G45M35,V30Q15G25M30,3.123,127.02,40.67,0.764,4.582,15
MA120_7d,V20Q0G45M35,V30Q15G25M30,3.122,126.23,40.43,0.762,4.563,17
MA120_7d,V20Q0G45M35,V30Q15G25M30,3.122,126.23,40.43,0.762,4.563,17
MA100_10d,V20Q0G45M35,V30Q15G25M30,3.121,126.94,40.67,0.763,4.6,15
MA100_10d,V20Q0G45M35,V30Q15G25M30,3.121,126.94,40.67,0.763,4.6,15
GC20x60_5d,V20Q0G45M35,V30Q15G25M30,3.12,124.66,39.95,0.759,4.531,33
GC20x60_5d,V20Q0G45M35,V30Q15G25M30,3.12,124.66,39.95,0.759,4.531,33
SLOPE200_20w_3d,V20Q0G45M35,V30Q15G25M30,3.12,121.23,38.85,0.749,4.54,12
SLOPE200_20w_3d,V20Q0G45M35,V30Q15G25M30,3.12,121.23,38.85,0.749,4.54,12
MA250_7d,V20Q0G45M35,V30Q15G25M30,3.119,126.12,40.43,0.761,4.623,13
MA250_7d,V20Q0G45M35,V30Q15G25M30,3.119,126.12,40.43,0.761,4.623,13
MA120_3d,V20Q0G45M35,V30Q15G25M30,3.118,125.72,40.31,0.761,4.543,21
MA120_3d,V20Q0G45M35,V30Q15G25M30,3.118,125.72,40.31,0.761,4.543,21
MA250_7d,V20Q0G45M35,V30Q15G25M30,3.118,126.08,40.43,0.761,4.621,13
MA250_7d,V20Q0G45M35,V30Q15G25M30,3.118,126.08,40.43,0.761,4.621,13
MA120_10d,V20Q0G45M35,V30Q15G25M30,3.117,127.37,40.86,0.764,4.603,17
MA120_10d,V20Q0G45M35,V30Q15G25M30,3.117,127.37,40.86,0.764,4.603,17
MA200_7d,V20Q0G45M35,V30Q15G25M30,3.116,125.24,40.19,0.759,4.58,21
MA200_7d,V20Q0G45M35,V30Q15G25M30,3.116,125.24,40.19,0.759,4.58,21
SLOPE200_20w_3d,V20Q0G45M35,V30Q15G25M30,3.115,121.03,38.85,0.748,4.539,12
