sub1,sub2,ratio,avg_cal,avg_cagr,avg_sharpe,avg_sortino,min_cal,borda
oca_z,rev_accel_z,0.85,1.0246,42.1,1.0786000000000002,1.5776,0.748,1002.0
oca_z,rev_accel_z,0.6,0.9962,41.662,1.0742,1.5657999999999999,0.831,997.5
rev_z,rev_accel_z,0.6,1.0274,41.086,1.0796,1.5768,0.771,990.0
oca_z,cfo_growth_z,0.65,0.9102,42.69,1.0956,1.5746,0.78,988.0
oca_z,cfo_growth_z,0.55,0.9902000000000001,42.03,1.0879999999999999,1.5572,0.793,985.5
op_margin_z,cfo_growth_z,0.85,0.9642,41.146,1.0858,1.562,0.866,985.0
rev_z,oca_z,0.95,1.0276,42.176,1.0846,1.5674,0.631,959.0
op_margin_z,cfo_growth_z,0.75,0.9804,40.583999999999996,1.0716,1.5522,0.851,957.5
rev_z,gp_growth_z,0.4,1.0436,41.55,1.0768,1.5508000000000002,0.698,953.0
rev_z,op_margin_z,0.9,1.0442,42.146,1.0834,1.5618,0.58,941.0
oca_z,cfo_growth_z,0.6,0.9246000000000001,42.102,1.089,1.5754000000000001,0.704,940.5
oca_z,rev_accel_z,0.65,0.943,41.458,1.0695999999999999,1.5614000000000001,0.784,939.0
oca_z,rev_accel_z,0.7,0.9852000000000001,42.694,1.0884,1.5726,0.602,938.0
oca_z,gp_growth_z,0.5,0.9904,40.62,1.0566,1.5382000000000002,0.797,936.5
gp_growth_z,op_margin_z,0.2,1.053,41.558,1.0768,1.5522,0.62,932.5
rev_z,gp_growth_z,0.35,1.0378,40.566,1.058,1.5272000000000001,0.737,932.0
rev_z,gp_growth_z,0.85,0.9806000000000001,41.646,1.0758,1.5535999999999999,0.721,930.0
rev_accel_z,op_margin_z,0.45,1.032,39.754000000000005,1.0554000000000001,1.489,0.811,927.0
gp_growth_z,op_margin_z,0.35,1.0452,41.89,1.0821999999999998,1.5632,0.545,919.5
rev_accel_z,op_margin_z,0.4,1.0754,39.806,1.0554000000000001,1.4956,0.716,917.5
rev_accel_z,op_margin_z,0.5,1.0053999999999998,38.962,1.047,1.5026,0.825,914.5
oca_z,rev_accel_z,0.8,0.9904,41.944,1.0754,1.5504,0.644,907.5
oca_z,cfo_growth_z,0.5,0.933,40.2,1.0539999999999998,1.5016,0.851,901.5
rev_z,rev_accel_z,0.55,0.9948,40.134,1.0676,1.565,0.645,897.0
rev_z,oca_z,0.9,0.9878,42.322,1.0841999999999998,1.5576,0.529,893.0
rev_z,gp_growth_z,0.3,0.9827999999999999,39.698,1.0459999999999998,1.5066000000000002,0.782,888.0
rev_z,rev_accel_z,0.9,1.0162,40.513999999999996,1.0572,1.5102,0.66,883.5
rev_accel_z,op_margin_z,0.25,1.0602,41.176,1.0777999999999999,1.5386,0.459,877.0
gp_growth_z,op_margin_z,0.3,0.9959999999999999,40.794,1.0668,1.5302,0.608,875.0
rev_accel_z,op_margin_z,0.3,1.0524,40.386,1.0698,1.5082,0.558,873.0
oca_z,gp_growth_z,0.45,0.9815999999999999,39.980000000000004,1.0458,1.529,0.706,871.5
rev_accel_z,op_margin_z,0.55,0.9955999999999999,38.364,1.0416,1.4846,0.801,869.5
rev_z,rev_accel_z,0.45,1.008,39.552,1.0615999999999999,1.5718,0.563,868.0
rev_accel_z,cfo_growth_z,0.4,1.0173999999999999,37.660000000000004,1.025,1.5070000000000001,0.758,861.0
gp_growth_z,op_margin_z,0.45,1.0395999999999999,41.160000000000004,1.0642,1.5358,0.462,850.0
rev_accel_z,op_margin_z,0.35,1.024,39.152,1.047,1.482,0.655,842.5
rev_z,rev_accel_z,0.95,0.9885999999999999,39.576,1.0417999999999998,1.4888,0.704,839.5
rev_z,cfo_growth_z,0.95,0.9704,39.968,1.0486,1.5188000000000001,0.625,836.0
rev_z,cfo_growth_z,0.65,1.0188000000000001,38.374,1.0146,1.4556,0.716,829.0
gp_growth_z,op_margin_z,0.25,0.976,40.162,1.0538,1.5078,0.577,820.0
rev_accel_z,cfo_growth_z,0.25,0.9388,37.39,1.0182,1.5116,0.72,808.0
rev_z,rev_accel_z,0.3,1.0422,39.58,1.0638,1.5558,0.372,807.0
rev_accel_z,cfo_growth_z,0.35,0.9989999999999999,37.794,1.0226000000000002,1.5135999999999998,0.574,796.0
oca_z,rev_accel_z,0.5,0.9416,37.846,1.0142,1.4702,0.727,792.0
rev_accel_z,cfo_growth_z,0.3,0.9762000000000001,37.27,1.0135999999999998,1.4856,0.707,789.5
op_margin_z,cfo_growth_z,0.7,0.9368000000000001,39.114,1.0436,1.4918,0.575,777.0
rev_z,gp_growth_z,0.25,0.9168,37.844,1.0128,1.4596,0.705,766.0
op_margin_z,cfo_growth_z,0.8,0.889,39.346,1.0446,1.4886,0.607,765.0
rev_z,cfo_growth_z,0.6,0.9962,37.076,0.9914,1.4234,0.636,754.0
oca_z,gp_growth_z,0.4,0.9486000000000001,38.616,1.0218,1.4908000000000001,0.548,752.0
rev_accel_z,cfo_growth_z,0.5,0.9186,35.116,0.978,1.4276,0.772,746.0
oca_z,cfo_growth_z,0.45,0.9029999999999999,36.75,0.9911999999999999,1.4238,0.731,742.0
oca_z,rev_accel_z,0.25,0.8986000000000001,38.746,1.0392,1.5118,0.493,740.0
gp_growth_z,op_margin_z,0.5,0.9551999999999999,38.87,1.0286,1.4846,0.465,732.5
rev_z,cfo_growth_z,0.9,0.9176,37.688,1.0046,1.4424,0.627,731.0
rev_z,rev_accel_z,0.2,1.009,38.594,1.0454,1.5032,0.333,727.5
oca_z,rev_accel_z,0.15,0.8942,37.95,1.0337999999999998,1.4876,0.533,720.5
rev_z,cfo_growth_z,0.7,0.9384,36.856,0.9864,1.418,0.643,719.0
op_margin_z,cfo_growth_z,0.6,0.8093999999999999,39.14,1.0458,1.5124,0.514,718.5
op_margin_z,cfo_growth_z,0.65,0.9028,38.268,1.0257999999999998,1.4704000000000002,0.541,717.0
rev_z,rev_accel_z,0.35,0.9108,37.626,1.028,1.5155999999999998,0.439,707.5
oca_z,rev_accel_z,0.2,0.8576,38.184000000000005,1.029,1.4906,0.5,704.0
