v,q,g,m,mom,g_sub,entry,exit,slots,cal,cagr,mdd,sharpe,sortino
25,20,35,20,6m,rev+oca 7:3,5,7,5,1.122,52.09,46.45,0.691,2.472
20,0,35,45,6m-1m,rev+opm 7:3,7,10,7,1.122,56.17,50.08,0.877,2.332
25,0,35,40,6m,rev+opm 7:3,10,11,5,1.121,55.32,49.36,0.782,2.467
30,0,35,35,6m,rev+oca 7:3,7,9,7,1.121,49.68,44.33,0.807,2.311
30,5,35,30,6m-1m,rev+opm 7:3,5,10,5,1.116,55.05,49.32,0.63,2.864
20,0,35,45,6m-1m,rev+opm 7:3,7,8,3,1.115,59.52,53.39,0.658,2.625
25,15,35,25,6m-1m,rev+opm 7:3,7,8,7,1.106,55.91,50.54,0.798,2.488
20,10,35,35,6m,rev+opm 7:3,10,13,3,1.106,66.53,60.15,0.693,2.97
25,0,35,40,6m,rev+opm 7:3,7,9,5,1.104,53.35,48.34,0.767,2.408
20,20,35,25,6m-1m,rev+opm 7:3,10,12,5,1.101,51.77,47.02,0.69,2.561
25,0,35,40,6m,rev+opm 7:3,5,10,7,1.101,54.41,49.41,0.709,2.605
25,0,35,40,6m-1m,rev+opm 7:3,10,15,5,1.098,50.19,45.71,0.742,2.294
30,0,35,35,6m,rev+oca 7:3,7,10,3,1.098,59.2,53.9,0.655,2.87
20,0,35,45,6m-1m,rev+opm 7:3,5,6,3,1.098,59.08,53.81,0.654,2.871
30,5,35,30,6m,rev+oca 7:3,3,7,3,1.097,58.14,53.02,0.652,2.941
30,20,10,40,6m-1m,rev+oca 7:3,3,8,3,1.096,66.63,60.82,0.589,3.436
30,15,25,30,6m,rev+oca 7:3,5,9,5,1.096,52.42,47.82,0.694,2.444
20,0,35,45,6m-1m,rev+opm 7:3,7,9,3,1.096,58.93,53.77,0.655,2.617
20,20,35,25,6m-1m,rev+opm 7:3,7,12,5,1.095,52.85,48.27,0.697,2.581
25,0,35,40,6m,rev+opm 7:3,5,9,5,1.095,55.58,50.76,0.715,2.615
30,10,35,25,6m-1m,rev+oca 7:3,10,14,7,1.095,49.72,45.43,0.746,2.428
20,20,35,25,6m-1m,rev+opm 7:3,10,15,7,1.092,49.92,45.72,0.749,2.359
30,5,35,30,6m,rev+oca 7:3,3,4,5,1.087,53.27,49.01,0.628,2.785
30,5,35,30,6m,rev+oca 7:3,3,4,7,1.087,53.27,49.01,0.628,2.785
