gsub,v,q,g,m,e,x,s,cagr,mdd,cal,sh,sort
2f_oca_opm,0,20,50,30,3,8,7,-26.51,66.16,-0.401,-0.453,-0.654
2f_oca_opm,0,20,50,30,3,10,5,-26.22,66.73,-0.393,-0.443,-0.64
2f_oca_opm,0,20,50,30,3,10,7,-26.22,66.73,-0.393,-0.443,-0.64
2f_oca_opm,0,20,50,30,5,6,5,-20.37,61.86,-0.329,-0.346,-0.456
2f_oca_opm,0,20,50,30,5,6,7,-21.31,62.34,-0.342,-0.374,-0.49
2f_oca_opm,0,20,50,30,5,8,5,-21.32,60.96,-0.35,-0.402,-0.577
2f_oca_opm,0,20,50,30,5,8,7,-25.21,64.28,-0.392,-0.54,-0.763
2f_oca_opm,0,20,50,30,5,10,5,-17.18,57.13,-0.301,-0.268,-0.386
2f_oca_opm,0,20,50,30,5,10,7,-22.8,62.91,-0.362,-0.461,-0.646
2f_oca_opm,0,20,50,30,7,8,5,-23.96,62.28,-0.385,-0.507,-0.724
2f_oca_opm,0,20,50,30,7,8,7,13.39,41.84,0.32,0.437,1.303
2f_oca_opm,0,20,50,30,7,10,5,-8.79,43.55,-0.202,-0.046,-0.074
2f_oca_opm,0,20,50,30,7,10,7,-12.33,48.29,-0.255,-0.187,-0.292
2f_oca_opm,0,20,55,25,3,6,5,-36.91,73.3,-0.503,-0.747,-1.0
2f_oca_opm,0,20,55,25,3,6,7,-36.91,73.3,-0.503,-0.747,-1.0
2f_oca_opm,0,20,55,25,3,8,5,-35.91,71.47,-0.502,-0.714,-0.952
2f_oca_opm,0,20,55,25,3,8,7,-35.87,71.43,-0.502,-0.713,-0.951
2f_oca_opm,0,20,55,25,3,10,5,-30.75,66.06,-0.465,-0.591,-0.853
2f_oca_opm,0,20,55,25,3,10,7,-30.7,66.01,-0.465,-0.59,-0.851
2f_oca_opm,0,20,55,25,5,6,5,-31.5,69.46,-0.454,-0.692,-0.908
2f_oca_opm,0,20,55,25,5,6,7,-31.47,69.33,-0.454,-0.694,-0.908
2f_oca_opm,0,20,55,25,5,8,5,-29.27,68.08,-0.43,-0.626,-0.834
2f_oca_opm,0,20,55,25,5,8,7,-29.71,68.19,-0.436,-0.642,-0.848
2f_oca_opm,0,20,55,25,5,10,5,-24.38,62.88,-0.388,-0.502,-0.728
2f_oca_opm,0,20,55,25,5,10,7,-26.22,64.18,-0.409,-0.572,-0.812
2f_oca_opm,0,20,55,25,7,8,5,-29.9,67.57,-0.443,-0.684,-0.922
2f_oca_opm,0,20,55,25,7,8,7,-23.52,59.64,-0.394,-0.533,-0.805
2f_oca_opm,0,20,55,25,7,10,5,-22.94,62.44,-0.367,-0.479,-0.689
2f_oca_opm,0,20,55,25,7,10,7,5.83,42.74,0.136,0.336,1.008
2f_oca_opm,0,20,60,20,3,6,5,-43.72,78.37,-0.558,-0.979,-1.247
2f_oca_opm,0,20,60,20,3,6,7,-43.72,78.37,-0.558,-0.979,-1.247
2f_oca_opm,0,20,60,20,3,8,5,-40.87,76.1,-0.537,-0.863,-1.11
2f_oca_opm,0,20,60,20,3,8,7,-40.87,76.1,-0.537,-0.863,-1.11
2f_oca_opm,0,20,60,20,3,10,5,-36.23,73.08,-0.496,-0.711,-0.926
2f_oca_opm,0,20,60,20,3,10,7,-36.23,73.08,-0.496,-0.711,-0.926
2f_oca_opm,0,20,60,20,5,6,5,-37.95,72.13,-0.526,-0.91,-1.216
2f_oca_opm,0,20,60,20,5,6,7,-38.36,72.32,-0.53,-0.928,-1.24
2f_oca_opm,0,20,60,20,5,8,5,-39.25,72.29,-0.543,-0.971,-1.309
2f_oca_opm,0,20,60,20,5,8,7,-29.19,60.86,-0.48,-0.69,-1.078
2f_oca_opm,0,20,60,20,5,10,5,-35.17,70.88,-0.496,-0.861,-1.236
2f_oca_opm,0,20,60,20,5,10,7,-29.0,64.13,-0.452,-0.682,-1.064
2f_oca_opm,0,20,60,20,7,8,5,-34.49,69.09,-0.499,-0.828,-1.128
2f_oca_opm,0,20,60,20,7,8,7,11.37,45.42,0.25,0.404,1.587
2f_oca_opm,0,20,60,20,7,10,5,-30.26,69.74,-0.434,-0.689,-0.956
2f_oca_opm,0,20,60,20,7,10,7,-5.33,43.59,-0.122,0.114,0.261
2f_oca_opm,0,20,65,15,3,6,5,-40.41,74.4,-0.543,-0.862,-1.093
