atk,def,rule,cagr,mdd,cal,sh,sort,sw,boost
A5_3f_rog_G70M25,D1_3f_rog_M60S7,B126_40_3d,115.4,35.19,3.28,1.909,3.08,19,57.56400310318076
A5_3f_rog_G70M25,D3_3f_roo_M60S7,KP_MA200_4d,119.21,36.38,3.277,1.965,3.183,15,53.68502715283165
A2_3f_rog_G65M30,D7_3f_rog_E7S7,KP_MA150_3d,99.91,30.5,3.275,1.786,2.837,25,56.477889837083005
A6_2f_oca_G60M25,D4_3f_rog_M60S5,B126_35_4d,102.48,31.31,3.273,1.742,2.74,15,67.95965865011637
A5_3f_rog_G70M25,D5_2f_rao_M55,KK_MA120_5d,126.12,38.54,3.272,2.072,3.355,15,50.116369278510476
A6_2f_oca_G60M25,D4_3f_rog_M60S5,KK_MA60_4d,90.51,27.67,3.271,1.677,2.64,23,49.80605120248254
A4_3f_roo_G60M30,D4_3f_rog_M60S5,B126_40_3d,110.71,33.86,3.27,1.875,3.024,19,57.56400310318076
A2_3f_rog_G65M30,D7_3f_rog_E7S7,KP_MA120_3d,104.41,31.95,3.268,1.828,2.909,15,57.951900698215674
A4_3f_roo_G60M30,D4_3f_rog_M60S5,B126_35_4d,107.18,32.79,3.268,1.793,2.771,15,67.95965865011637
A6_2f_oca_G60M25,D7_3f_rog_E7S7,KP_MA150_2d,96.31,29.47,3.268,1.745,2.813,25,56.788207913110945
A5_3f_rog_G70M25,D1_3f_rog_M60S7,KP_MA120_4d,104.86,32.09,3.267,1.798,2.902,15,57.874321179208685
A4_3f_roo_G60M30,D7_3f_rog_E7S7,KK_MA60_3d,102.91,31.51,3.266,1.842,2.893,39,50.73700543056633
A2_3f_rog_G65M30,D5_2f_rao_M55,B126_35_5d,107.45,32.92,3.264,1.801,2.755,15,67.88207913110938
A2_3f_rog_G65M30,D6_2f_rvo_M60,B126_40_2d,112.32,34.41,3.264,1.876,2.996,30,57.176105508145845
A6_2f_oca_G60M25,D4_3f_rog_M60S5,KP_MA120_3d,95.72,29.34,3.262,1.702,2.747,15,57.951900698215674
A6_2f_oca_G60M25,D3_3f_roo_M60S7,B126_35_5d,109.55,33.59,3.262,1.834,2.899,15,67.88207913110938
A7_2f_roc_G55M25,D3_3f_roo_M60S7,KK_MA120_3d,103.21,31.65,3.261,1.844,2.919,17,50.89216446858029
A4_3f_roo_G60M30,D6_2f_rvo_M60,KP_MA120_2d,108.5,33.27,3.261,1.833,2.998,21,58.10705973622964
A7_2f_roc_G55M25,D3_3f_roo_M60S7,B126_35_3d,106.79,32.75,3.261,1.812,2.818,19,67.57176105508145
A4_3f_roo_G60M30,D3_3f_roo_M60S7,KK_MA120_5d,103.12,31.65,3.258,1.837,2.948,15,50.116369278510476
A2_3f_rog_G65M30,D1_3f_rog_M60S7,B126_40_5d,119.59,36.7,3.258,1.944,3.105,13,57.176105508145845
A4_3f_roo_G60M30,D1_3f_rog_M60S7,KK_MA60_3d,104.19,31.98,3.258,1.802,2.883,39,50.73700543056633
A7_2f_roc_G55M25,D7_3f_rog_E7S7,KP_MA120_3d,102.21,31.37,3.258,1.832,2.936,15,57.951900698215674
A4_3f_roo_G60M30,D3_3f_roo_M60S7,KP_MA200_3d,111.3,34.18,3.257,1.902,3.066,19,54.3832428238945
A6_2f_oca_G60M25,D1_3f_rog_M60S7,KP_MA120_3d,98.84,30.36,3.256,1.736,2.801,15,57.951900698215674
A6_2f_oca_G60M25,D7_3f_rog_E7S7,B126_35_4d,107.71,33.08,3.255,1.833,2.847,15,67.95965865011637
A3_3f_rog_G60M25,D7_3f_rog_E7S7,KK_MA120_4d,97.37,29.92,3.254,1.818,2.794,15,50.19394879751745
A6_2f_oca_G60M25,D5_2f_rao_M55,KP_MA120_5d,111.07,34.14,3.254,1.897,3.017,15,57.79674166020171
A7_2f_roc_G55M25,D2_2f_oar_V40G40,KP_MA250_4d,97.93,30.11,3.253,1.789,2.774,15,48.021722265321955
A7_2f_roc_G55M25,D1_3f_rog_M60S7,B126_35_5d,107.66,33.11,3.252,1.812,2.79,15,67.88207913110938
A2_3f_rog_G65M30,D6_2f_rvo_M60,KP_MA150_3d,105.42,32.41,3.252,1.796,2.927,25,56.477889837083005
A2_3f_rog_G65M30,D5_2f_rao_M55,KP_MA250_2d,117.49,36.13,3.251,1.952,3.091,25,48.87509697439876
A6_2f_oca_G60M25,D3_3f_roo_M60S7,KP_MA200_3d,108.57,33.4,3.251,1.862,2.999,19,54.3832428238945
A4_3f_roo_G60M30,D5_2f_rao_M55,KP_MA250_3d,121.41,37.36,3.25,1.995,3.139,15,48.09930178432894
A2_3f_rog_G65M30,D6_2f_rvo_M60,B126_40_3d,118.45,36.44,3.25,1.934,3.11,19,57.56400310318076
A7_2f_roc_G55M25,D6_2f_rvo_M60,KP_MA250_4d,103.74,31.93,3.249,1.822,2.931,15,48.021722265321955
A2_3f_rog_G65M30,D7_3f_rog_E7S7,B126_35_4d,101.77,31.34,3.248,1.757,2.697,15,67.95965865011637
A7_2f_roc_G55M25,D4_3f_rog_M60S5,B126_35_2d,106.07,32.66,3.248,1.795,2.774,24,67.10628394103956
A4_3f_roo_G60M30,D1_3f_rog_M60S7,B126_40_3d,113.5,34.96,3.247,1.903,3.072,19,57.56400310318076
A2_3f_rog_G65M30,D6_2f_rvo_M60,B126_35_5d,106.49,32.8,3.247,1.777,2.797,15,67.88207913110938
A4_3f_roo_G60M30,D1_3f_rog_M60S7,B126_45_5d,111.4,34.3,3.247,1.883,3.045,17,49.72847168347556
A4_3f_roo_G60M30,D6_2f_rvo_M60,KP_MA150_3d,105.22,32.41,3.246,1.805,2.948,25,56.477889837083005
