v,q,g,m,gr,mom,cagr,mdd,cal,sh,sort
20,10,20,50,0.6,6m,59.07,36.2,1.632,1.359,1.938
20,0,30,50,0.6,6m,63.74,39.07,1.631,1.431,2.017
10,10,25,55,0.8,6m-1m,59.03,36.27,1.628,1.359,1.92
10,20,35,35,0.3,6m,57.64,35.43,1.627,1.303,1.832
15,15,30,40,0.4,6m-1m,54.84,33.73,1.626,1.311,1.892
25,15,20,40,0.4,6m,47.79,29.46,1.622,1.19,1.695
30,5,20,45,0.6,6m-1m,57.95,35.75,1.621,1.381,2.004
10,10,30,50,0.6,6m-1m,60.25,37.16,1.621,1.383,2.003
20,15,20,45,0.5,6m,50.65,31.3,1.619,1.236,1.747
20,15,15,50,0.6,6m-1m,57.83,35.79,1.616,1.408,1.98
15,15,30,40,0.5,6m-1m,52.63,32.6,1.615,1.275,1.827
15,5,30,50,0.4,6m,55.79,34.55,1.615,1.303,1.874
15,10,20,55,0.3,6m-1m,52.33,32.52,1.609,1.299,1.842
20,10,35,35,0.3,6m,58.52,36.36,1.609,1.365,2.01
10,5,40,45,0.3,6m,56.28,34.99,1.609,1.32,1.957
20,0,25,55,0.5,6m-1m,59.58,37.06,1.607,1.379,1.988
15,20,30,35,0.3,6m-1m,55.32,34.47,1.605,1.301,1.823
30,0,25,45,0.5,6m-1m,50.94,31.77,1.604,1.274,1.853
15,20,25,40,0.7,6m-1m,55.72,34.76,1.603,1.327,1.86
15,10,40,35,0.3,6m,55.21,34.51,1.6,1.282,1.875
10,15,25,50,0.7,6m,55.93,34.99,1.599,1.313,1.87
25,20,25,30,0.3,6m-1m,52.39,32.76,1.599,1.306,1.862
20,5,25,50,0.6,6m,59.98,37.61,1.595,1.355,1.955
15,20,25,40,0.3,6m-1m,59.65,37.48,1.592,1.406,2.003
15,15,15,55,0.3,6m,61.44,38.59,1.592,1.415,2.019
10,15,25,50,0.3,6m,60.3,37.89,1.592,1.388,2.004
15,20,20,45,0.8,6m-1m,53.7,33.76,1.59,1.289,1.831
15,15,20,50,0.3,6m-1m,54.96,34.57,1.59,1.345,1.848
10,15,30,45,0.8,6m,54.78,34.45,1.59,1.292,1.913
10,15,30,45,0.3,6m,56.61,35.62,1.589,1.322,1.885
25,0,25,50,0.4,6m-1m,57.05,35.92,1.588,1.362,1.974
10,10,30,50,0.3,6m-1m,57.22,36.04,1.588,1.35,1.936
15,15,20,50,0.4,6m,60.4,38.05,1.587,1.385,1.956
15,20,20,45,0.4,6m-1m,53.83,33.94,1.586,1.332,1.861
20,5,20,55,0.3,6m-1m,51.69,32.62,1.584,1.289,1.829
20,0,20,60,0.7,6m-1m,57.65,36.47,1.581,1.351,1.918
20,15,25,40,0.8,6m-1m,55.46,35.12,1.579,1.333,1.919
20,5,35,40,0.5,6m,56.81,35.99,1.579,1.337,1.893
25,15,20,40,0.5,6m,48.71,30.88,1.578,1.206,1.714
25,10,35,30,0.3,6m,55.95,35.47,1.577,1.324,1.944
30,0,20,50,0.3,6m-1m,46.96,29.79,1.577,1.211,1.765
20,10,30,40,0.6,6m-1m,53.27,33.9,1.572,1.287,1.766
10,15,25,50,0.8,6m,54.58,34.77,1.569,1.289,1.81
10,20,30,40,0.7,6m-1m,58.07,37.06,1.567,1.352,1.959
15,5,35,45,0.6,6m-1m,59.03,37.66,1.567,1.354,1.85
15,15,25,45,0.5,6m-1m,57.73,36.87,1.566,1.364,1.864
10,20,30,40,0.4,6m,56.09,35.83,1.566,1.293,1.836
20,10,20,50,0.4,6m,48.2,30.83,1.563,1.188,1.677
