v,q,g,m,g_rev,mom,calmar,cagr,mdd,sharpe,sortino
20,15,20,45,0.3,12m-1m,0.844,36.96,43.78,1.003,1.39
10,0,65,25,0.5,6m,0.844,44.2,52.36,1.091,1.626
0,30,15,55,1.0,12m,0.844,37.9,44.88,1.017,1.473
20,30,10,40,0.3,6m,0.844,33.25,39.39,0.94,1.352
15,10,25,50,0.6,12m-1m,0.844,38.55,45.68,1.025,1.429
10,5,30,55,0.9,6m-1m,0.844,38.5,45.6,1.004,1.367
5,0,65,30,0.4,6m-1m,0.844,46.39,54.99,1.116,1.729
10,25,35,30,0.3,12m-1m,0.844,40.83,48.38,1.023,1.51
15,5,60,20,0.4,6m,0.844,46.81,55.48,1.11,1.599
25,0,45,30,0.5,12m-1m,0.844,37.67,44.65,1.0,1.48
10,5,50,35,0.8,6m-1m,0.844,38.06,45.1,0.987,1.457
10,15,25,50,0.8,12m-1m,0.844,37.84,44.81,1.002,1.436
15,15,40,30,0.3,6m-1m,0.843,40.55,48.12,1.019,1.423
5,35,5,55,1.0,12m,0.843,35.77,42.44,0.982,1.41
0,25,30,45,0.7,12m,0.843,39.8,47.2,1.015,1.52
10,5,25,60,0.8,6m,0.843,34.67,41.15,0.937,1.279
5,0,50,45,0.9,6m,0.843,41.19,48.86,1.032,1.504
10,0,35,55,0.8,12m-1m,0.843,40.25,47.77,1.031,1.407
20,15,35,30,0.3,12m,0.843,44.62,52.93,1.092,1.612
20,5,15,60,0.6,12m,0.843,36.39,43.15,0.995,1.401
15,15,40,30,0.6,6m,0.843,36.0,42.72,0.952,1.42
5,0,40,55,1.0,6m,0.843,34.88,41.39,0.937,1.324
15,10,40,35,1.0,12m-1m,0.843,37.91,44.95,0.988,1.473
15,15,40,30,0.3,12m,0.843,46.88,55.58,1.121,1.693
10,5,55,30,0.8,6m-1m,0.843,39.04,46.28,1.003,1.488
15,5,40,40,0.9,6m,0.843,37.27,44.24,0.967,1.391
5,0,60,35,0.4,12m-1m,0.843,46.89,55.6,1.118,1.717
0,0,60,40,0.7,12m-1m,0.843,41.27,48.98,1.014,1.527
20,20,20,40,0.8,6m,0.842,36.81,43.74,0.977,1.365
0,35,10,55,0.3,12m,0.842,34.36,40.79,0.955,1.407
0,5,40,55,0.9,6m-1m,0.842,34.6,41.1,0.937,1.329
15,5,35,45,0.7,6m,0.842,32.2,38.25,0.878,1.266
5,15,30,50,0.5,12m-1m,0.842,34.49,40.98,0.937,1.312
10,0,55,35,0.8,6m,0.842,41.14,48.88,1.045,1.522
5,5,50,40,0.8,6m-1m,0.842,40.34,47.89,1.019,1.511
10,35,5,50,0.7,6m-1m,0.842,38.02,45.14,1.037,1.501
20,25,15,40,0.5,12m-1m,0.842,33.36,39.61,0.95,1.354
5,0,60,35,0.4,6m-1m,0.842,46.79,55.57,1.109,1.647
25,15,45,15,0.7,12m,0.842,42.04,49.91,1.068,1.582
20,5,30,45,0.3,12m-1m,0.841,39.01,46.36,1.015,1.4
0,35,15,50,0.6,6m-1m,0.841,35.35,42.03,0.97,1.428
25,5,20,50,1.0,12m-1m,0.841,35.71,42.46,1.003,1.407
20,20,25,35,0.4,6m,0.841,38.76,46.12,1.011,1.446
10,5,25,60,0.7,6m,0.841,38.07,45.26,0.989,1.384
0,0,55,45,1.0,6m,0.841,40.22,47.82,1.026,1.496
10,25,10,55,1.0,12m-1m,0.841,32.56,38.74,0.925,1.228
10,20,30,40,0.7,12m,0.841,42.3,50.33,1.046,1.54
20,30,5,45,1.0,6m,0.841,35.76,42.5,1.002,1.409
15,5,45,35,0.3,6m-1m,0.841,36.38,43.24,0.966,1.408
15,5,45,35,0.6,12m-1m,0.841,40.52,48.2,1.023,1.5
15,5,20,60,0.6,12m,0.841,34.1,40.52,0.956,1.329
10,25,5,60,0.6,12m-1m,0.841,30.6,36.39,0.897,1.195
25,15,15,45,0.7,6m,0.841,33.04,39.26,0.925,1.231
10,15,45,30,0.9,12m,0.841,39.3,46.74,1.005,1.497
5,15,45,35,0.8,12m-1m,0.84,37.88,45.09,0.98,1.431
0,30,10,60,0.5,12m-1m,0.84,33.53,39.91,0.948,1.395
5,10,50,35,0.6,6m,0.84,40.72,48.48,1.025,1.553
20,25,25,30,1.0,12m,0.84,30.29,36.04,0.861,1.231
0,15,55,30,0.5,12m,0.84,41.38,49.24,1.036,1.622
15,10,55,20,0.6,6m,0.84,44.0,52.36,1.091,1.61
15,5,45,35,0.5,6m,0.84,39.79,47.37,1.007,1.487
0,5,35,60,1.0,6m-1m,0.84,32.3,38.43,0.899,1.264
25,15,30,30,0.5,12m-1m,0.84,32.06,38.19,0.904,1.295
25,0,55,20,0.7,6m,0.84,40.72,48.49,1.044,1.566
25,15,30,30,0.3,6m,0.839,36.21,43.17,0.974,1.401
0,10,45,45,0.9,6m-1m,0.839,38.01,45.33,0.983,1.41
10,15,35,40,0.8,6m,0.839,35.4,42.17,0.938,1.36
15,5,40,40,0.8,6m,0.839,38.68,46.1,0.991,1.452
5,0,65,30,0.5,6m,0.839,43.42,51.77,1.064,1.59
0,10,45,45,0.6,6m,0.839,43.71,52.08,1.073,1.627
20,30,5,45,0.9,6m,0.839,35.42,42.23,0.999,1.419
10,20,30,40,0.4,6m-1m,0.839,42.03,50.1,1.053,1.552
15,15,45,25,0.5,12m-1m,0.839,34.7,41.38,0.938,1.406
20,15,45,20,0.7,12m-1m,0.839,34.94,41.64,0.951,1.411
15,10,50,25,0.5,12m,0.839,41.7,49.68,1.048,1.595
20,20,15,45,0.7,12m-1m,0.839,31.78,37.87,0.919,1.263
0,10,55,35,0.7,12m-1m,0.838,42.85,51.12,1.05,1.62
0,5,70,25,0.7,6m,0.838,42.1,50.26,1.033,1.532
15,20,5,60,0.6,6m-1m,0.838,37.83,45.17,1.048,1.493
5,25,40,30,0.9,12m,0.838,39.32,46.94,1.01,1.513
0,20,45,35,0.6,12m,0.838,39.35,46.94,0.985,1.527
25,5,30,40,0.4,6m,0.838,32.91,39.26,0.909,1.272
20,15,40,25,0.6,12m-1m,0.838,34.87,41.62,0.944,1.377
0,20,30,50,0.7,12m-1m,0.838,41.66,49.72,1.057,1.616
20,20,25,35,0.3,12m-1m,0.838,46.67,55.71,1.165,1.657
20,15,20,45,0.3,12m,0.838,34.03,40.62,0.946,1.301
10,25,5,60,1.0,12m,0.838,32.93,39.31,0.934,1.263
0,5,45,50,0.6,6m,0.838,41.74,49.8,1.037,1.561
20,0,40,40,0.8,12m-1m,0.837,40.84,48.79,1.053,1.535
20,10,20,50,0.9,6m,0.837,40.37,48.21,1.039,1.445
25,0,45,30,0.7,6m,0.837,36.59,43.7,0.977,1.45
15,5,30,50,0.6,6m,0.837,37.79,45.13,0.991,1.356
0,0,45,55,1.0,6m,0.837,37.71,45.04,0.987,1.403
25,15,25,35,0.9,6m-1m,0.837,30.63,36.59,0.876,1.215
15,15,25,45,0.8,12m-1m,0.837,36.6,43.7,0.984,1.386
15,5,25,55,0.6,6m,0.837,39.39,47.04,1.021,1.414
15,15,35,35,0.3,12m,0.837,46.54,55.64,1.112,1.661
15,10,50,25,0.8,12m,0.837,44.21,52.79,1.076,1.578
25,15,15,45,0.3,6m,0.837,33.24,39.73,0.93,1.275
25,0,50,25,0.9,12m,0.837,38.54,46.07,1.01,1.451
5,5,60,30,0.6,6m,0.837,40.94,48.9,1.026,1.574
25,5,50,20,0.5,12m,0.837,37.94,45.33,0.994,1.473
20,5,50,25,0.4,6m,0.837,40.49,48.37,1.032,1.504
5,15,50,30,0.5,6m,0.837,39.2,46.83,1.007,1.502
10,0,45,45,0.6,6m,0.837,41.36,49.45,1.043,1.542
25,0,45,30,0.3,6m,0.837,35.07,41.9,0.948,1.387
10,0,35,55,0.8,6m-1m,0.837,38.49,46.0,1.008,1.442
15,30,10,45,0.4,6m-1m,0.836,40.99,49.04,1.09,1.575
20,15,10,55,0.9,12m-1m,0.836,31.55,37.72,0.928,1.272
0,10,50,40,0.7,12m-1m,0.836,38.98,46.66,0.996,1.477
20,25,15,40,0.4,6m,0.836,37.05,44.32,1.001,1.385
5,0,35,60,0.9,6m,0.836,34.47,41.24,0.934,1.277
0,20,45,35,0.5,12m-1m,0.836,38.99,46.66,0.983,1.524
5,20,35,40,0.9,12m-1m,0.836,39.55,47.3,1.008,1.471
25,0,45,30,0.9,12m-1m,0.836,39.96,47.81,1.047,1.576
25,35,10,30,0.4,12m,0.836,33.95,40.59,0.963,1.362
15,10,40,35,0.9,6m,0.835,38.15,45.68,0.987,1.432
15,5,30,50,0.4,12m-1m,0.835,40.79,48.88,1.042,1.459
10,15,30,45,0.5,12m-1m,0.835,37.4,44.77,0.986,1.397
20,5,30,45,0.6,6m,0.835,36.16,43.31,0.955,1.35
10,15,35,40,0.7,12m-1m,0.835,38.49,46.09,0.989,1.463
5,5,55,35,1.0,6m-1m,0.835,39.09,46.8,1.008,1.503
5,20,40,35,0.9,12m-1m,0.835,37.89,45.38,0.978,1.453
20,0,50,30,0.6,6m,0.835,40.32,48.3,1.029,1.557
15,35,5,45,0.3,12m,0.835,35.9,43.0,0.999,1.462
5,0,70,25,0.6,6m,0.835,38.94,46.66,0.987,1.446
25,5,50,20,0.7,6m,0.835,42.52,50.94,1.065,1.591
5,20,35,40,0.7,12m,0.835,42.05,50.34,1.036,1.588
20,20,10,50,0.5,6m,0.835,33.25,39.81,0.936,1.327
20,0,20,60,0.7,12m,0.835,31.87,38.17,0.909,1.301
20,10,50,20,0.5,12m,0.835,38.81,46.49,1.007,1.493
25,20,25,30,0.7,12m-1m,0.834,35.32,42.34,0.958,1.352
0,5,70,25,0.3,6m,0.834,47.02,56.4,1.111,1.666
10,0,40,50,0.8,6m,0.834,40.06,48.04,1.022,1.497
0,20,45,35,0.5,12m,0.834,38.12,45.69,0.962,1.515
15,5,55,25,0.4,12m-1m,0.834,46.11,55.29,1.098,1.575
5,15,50,30,0.4,6m,0.834,44.06,52.82,1.076,1.635
0,0,55,45,0.8,12m-1m,0.834,38.62,46.33,0.992,1.466
10,10,40,40,1.0,6m-1m,0.834,36.06,43.23,0.955,1.439
10,10,50,30,1.0,6m-1m,0.834,35.19,42.22,0.944,1.364
5,10,55,30,0.8,12m-1m,0.834,42.36,50.77,1.044,1.566
10,10,50,30,0.9,12m,0.834,41.8,50.09,1.036,1.526
0,0,75,25,0.3,6m,0.834,44.49,53.37,1.062,1.629
5,5,50,40,0.8,12m-1m,0.834,38.48,46.15,0.986,1.444
10,10,50,30,0.4,12m-1m,0.834,48.34,58.0,1.143,1.708
10,0,55,35,0.6,12m-1m,0.834,43.41,52.07,1.076,1.675
5,5,65,25,0.4,6m,0.834,41.83,50.15,1.021,1.505
0,25,15,60,0.7,12m,0.834,34.13,40.93,0.945,1.386
20,15,20,45,0.4,12m-1m,0.833,36.86,44.22,1.003,1.395
0,25,35,40,0.5,12m-1m,0.833,39.77,47.74,1.004,1.513
0,0,50,50,0.5,12m-1m,0.833,40.26,48.32,1.025,1.484
10,35,5,50,0.5,12m,0.833,37.07,44.49,1.015,1.49
20,0,35,45,0.5,6m-1m,0.833,38.65,46.42,1.018,1.453
5,10,55,30,0.4,6m-1m,0.833,43.32,51.99,1.062,1.594
15,20,35,30,0.3,12m-1m,0.833,41.23,49.52,1.035,1.496
10,10,35,45,0.9,6m-1m,0.833,35.69,42.86,0.959,1.397
20,25,15,40,0.5,6m,0.833,32.6,39.13,0.917,1.26
20,25,20,35,0.8,12m,0.833,39.36,47.26,1.034,1.447
0,5,50,45,0.6,12m-1m,0.833,41.06,49.31,1.024,1.542
5,20,25,50,0.8,12m-1m,0.833,37.22,44.71,0.996,1.448
5,15,30,50,0.7,6m,0.833,38.8,46.55,1.001,1.467
15,25,25,35,0.4,6m,0.832,41.5,49.85,1.051,1.513
20,10,30,40,1.0,12m-1m,0.832,36.15,43.42,0.977,1.378
20,10,45,25,0.5,12m,0.832,38.43,46.2,0.994,1.479
0,5,65,30,0.4,6m,0.832,43.63,52.47,1.057,1.656
10,35,15,40,0.5,6m-1m,0.832,35.35,42.49,0.986,1.433
5,25,30,40,0.7,12m-1m,0.832,39.49,47.47,1.004,1.514
10,10,55,25,0.4,12m-1m,0.832,45.48,54.64,1.084,1.595
15,30,5,50,0.5,12m,0.832,35.7,42.92,0.996,1.383
5,10,55,30,0.5,12m-1m,0.832,44.09,52.99,1.073,1.601
0,15,45,40,0.5,12m-1m,0.832,39.92,47.96,1.007,1.545
20,35,5,40,0.8,12m,0.832,34.38,41.33,0.987,1.453
20,15,25,40,0.8,6m,0.832,32.91,39.54,0.91,1.314
5,5,65,25,0.6,6m,0.832,42.21,50.76,1.035,1.538
5,15,20,60,1.0,12m-1m,0.832,31.55,37.94,0.887,1.175
15,20,25,40,0.9,12m-1m,0.832,32.37,38.91,0.912,1.283
15,10,35,40,0.5,6m,0.832,35.12,42.19,0.94,1.371
10,0,45,45,0.5,12m-1m,0.832,37.18,44.7,0.969,1.338
15,25,25,35,0.5,12m,0.832,39.04,46.94,1.028,1.51
0,15,30,55,0.6,12m-1m,0.832,35.12,42.19,0.948,1.386
0,35,5,60,0.9,12m,0.832,36.69,44.08,1.006,1.471
10,0,65,25,0.3,12m,0.832,52.34,62.89,1.179,1.777
25,10,25,40,0.3,6m-1m,0.831,35.32,42.5,0.97,1.355
0,0,55,45,0.8,12m,0.831,47.43,57.08,1.116,1.626
15,10,55,20,1.0,12m,0.831,43.23,52.0,1.058,1.545
25,0,55,20,0.9,12m,0.831,42.73,51.39,1.073,1.522
15,35,15,35,0.9,12m,0.831,37.73,45.4,1.004,1.477
15,5,65,15,0.6,12m-1m,0.831,49.14,59.13,1.157,1.755
5,5,55,35,0.4,6m,0.831,44.97,54.12,1.09,1.658
5,5,55,35,0.4,12m-1m,0.831,44.66,53.76,1.087,1.67
15,0,55,30,0.8,6m,0.831,41.49,49.91,1.06,1.543
15,5,35,45,0.8,12m-1m,0.831,38.17,45.95,1.007,1.416
5,15,55,25,1.0,12m-1m,0.831,44.72,53.83,1.082,1.567
5,0,70,25,0.4,6m,0.831,42.12,50.66,1.023,1.488
25,5,15,55,0.8,12m-1m,0.831,32.71,39.38,0.928,1.224
10,30,30,30,0.7,12m,0.831,39.96,48.1,1.003,1.464
10,0,50,40,1.0,6m,0.831,40.59,48.86,1.031,1.509
20,20,30,30,0.7,6m,0.83,38.39,46.27,1.016,1.465
20,15,15,50,0.4,12m-1m,0.83,32.25,38.83,0.934,1.295
5,30,5,60,0.3,12m-1m,0.83,29.04,34.99,0.869,1.279
5,15,45,35,0.8,12m,0.83,40.35,48.6,1.01,1.517
15,15,45,25,0.4,12m-1m,0.83,42.59,51.33,1.06,1.557
15,10,15,60,1.0,6m-1m,0.83,36.47,43.96,0.988,1.332
15,15,10,60,0.5,12m-1m,0.83,29.67,35.72,0.879,1.182
15,0,50,35,0.5,12m-1m,0.83,42.76,51.54,1.07,1.608
25,15,20,40,0.5,6m-1m,0.83,37.95,45.71,1.012,1.379
25,5,20,50,0.8,6m-1m,0.83,32.94,39.71,0.93,1.256
5,5,60,30,0.4,12m,0.83,42.3,50.98,1.045,1.604
10,25,5,60,0.4,12m-1m,0.83,29.54,35.59,0.878,1.162
15,5,65,15,0.6,12m,0.83,47.75,57.56,1.131,1.715
10,5,65,20,0.6,12m,0.83,46.22,55.67,1.086,1.611
10,35,5,50,0.9,12m,0.83,36.22,43.65,1.001,1.476
0,0,55,45,0.4,12m-1m,0.83,44.59,53.71,1.086,1.675
5,0,40,55,0.6,6m-1m,0.83,36.09,43.48,0.965,1.377
15,5,20,60,0.7,12m,0.83,33.66,40.55,0.943,1.326
0,15,55,30,0.7,12m-1m,0.829,40.19,48.47,1.005,1.527
0,10,30,60,0.7,12m,0.829,34.22,41.29,0.922,1.312
5,25,45,25,0.9,6m-1m,0.829,39.33,47.46,1.012,1.423
0,5,50,45,0.5,6m,0.829,40.19,48.5,1.023,1.484
20,0,50,30,0.9,6m-1m,0.829,35.42,42.74,0.953,1.404
0,35,15,50,0.4,6m-1m,0.829,32.99,39.8,0.925,1.371
0,10,55,35,0.6,12m-1m,0.829,39.03,47.06,0.988,1.524
10,25,30,35,0.4,12m,0.829,43.08,51.99,1.055,1.563
0,0,40,60,0.5,6m,0.829,39.21,47.29,1.012,1.422
10,15,50,25,0.7,6m-1m,0.828,40.79,49.28,1.029,1.482
20,0,60,20,0.7,6m,0.828,42.85,51.78,1.054,1.54
5,15,50,30,0.6,6m,0.828,44.0,53.16,1.082,1.661
20,20,25,35,0.5,6m,0.828,35.04,42.31,0.945,1.333
20,25,5,50,0.6,6m,0.828,36.31,43.86,1.001,1.371
10,10,50,30,0.3,12m-1m,0.828,46.69,56.42,1.124,1.723
20,25,25,30,0.5,12m,0.828,39.57,47.76,1.035,1.452
10,15,45,30,0.8,12m,0.828,40.37,48.75,1.023,1.507
15,10,25,50,0.7,12m,0.828,35.42,42.79,0.952,1.338
10,20,35,35,0.9,12m,0.828,36.62,44.23,0.953,1.399
15,25,20,40,0.7,6m,0.828,43.03,51.96,1.093,1.547
5,5,30,60,0.3,6m,0.828,37.13,44.87,0.986,1.404
15,0,50,35,0.7,6m,0.828,41.15,49.71,1.03,1.511
0,25,35,40,0.4,12m-1m,0.828,41.17,49.73,1.025,1.507
20,0,55,25,0.3,6m,0.828,39.06,47.18,1.003,1.522
20,15,15,50,0.3,6m-1m,0.828,37.97,45.86,1.027,1.402
10,15,20,55,0.5,6m-1m,0.828,37.83,45.66,1.001,1.385
10,20,35,35,0.7,12m-1m,0.828,41.43,50.04,1.041,1.573
15,0,65,20,0.4,12m-1m,0.827,43.45,52.54,1.063,1.594
10,15,40,35,0.7,12m-1m,0.827,36.15,43.73,0.948,1.398
10,15,15,60,0.6,12m,0.827,35.22,42.59,0.95,1.283
0,35,15,50,1.0,6m-1m,0.827,35.14,42.49,0.96,1.363
20,20,5,55,0.6,12m-1m,0.827,28.46,34.43,0.865,1.12
25,30,10,35,0.7,12m,0.827,32.34,39.1,0.922,1.304
10,25,35,30,0.5,12m,0.827,40.32,48.75,1.019,1.518
15,25,20,40,0.7,12m-1m,0.827,36.92,44.65,1.001,1.483
15,0,60,25,1.0,12m-1m,0.827,42.31,51.18,1.064,1.542
10,5,25,60,0.5,12m,0.827,33.08,40.02,0.915,1.223
5,0,45,50,0.5,12m-1m,0.827,37.44,45.25,0.98,1.372
15,25,15,45,0.6,12m-1m,0.827,33.24,40.18,0.942,1.344
10,0,35,55,0.9,6m,0.827,33.16,40.08,0.905,1.255
15,20,15,50,0.3,6m-1m,0.827,36.41,44.03,0.988,1.388
15,20,30,35,0.5,12m,0.827,42.23,51.08,1.072,1.518
15,5,50,30,0.7,12m-1m,0.827,38.61,46.7,0.989,1.462
5,30,5,60,0.3,12m,0.827,38.78,46.9,1.047,1.495
10,5,60,25,0.4,12m-1m,0.826,47.81,57.89,1.119,1.677
25,5,15,55,1.0,12m,0.826,32.45,39.29,0.91,1.182
25,5,20,50,0.9,6m-1m,0.826,32.97,39.91,0.931,1.284
15,5,40,40,0.7,12m-1m,0.826,37.42,45.28,0.981,1.448
20,0,35,45,1.0,12m,0.826,39.89,48.28,1.028,1.475
10,0,60,30,0.6,6m,0.826,38.94,47.14,0.998,1.516
10,15,15,60,0.5,12m,0.826,34.61,41.91,0.948,1.345
10,10,45,35,0.6,12m,0.826,40.81,49.42,1.021,1.577
10,0,35,55,0.7,12m-1m,0.826,39.3,47.57,1.014,1.385
15,25,20,40,0.8,6m-1m,0.826,31.32,37.92,0.895,1.254
0,0,60,40,0.6,12m-1m,0.826,44.01,53.29,1.067,1.633
0,0,70,30,0.9,12m,0.826,42.36,51.27,1.028,1.523
5,0,45,50,0.7,6m,0.826,39.71,48.05,1.01,1.455
15,35,10,40,0.9,12m,0.826,32.1,38.84,0.92,1.362
5,15,25,55,0.8,12m,0.825,35.77,43.35,0.952,1.337
20,0,20,60,0.5,12m,0.825,29.27,35.48,0.85,1.184
0,25,45,30,0.8,12m-1m,0.825,39.47,47.82,1.009,1.532
0,0,60,40,0.4,6m,0.825,41.92,50.78,1.052,1.603
25,15,15,45,0.6,6m-1m,0.825,33.96,41.16,0.951,1.248
0,20,35,45,0.6,12m,0.825,41.44,50.24,1.039,1.566
5,25,30,40,0.4,12m,0.825,42.04,50.97,1.038,1.556
15,35,10,40,0.9,12m-1m,0.825,32.65,39.57,0.936,1.37
15,30,10,45,0.8,12m-1m,0.825,29.67,35.97,0.886,1.246
5,5,30,60,0.5,6m-1m,0.825,32.57,39.47,0.904,1.248
5,0,65,30,0.6,6m,0.825,45.51,55.17,1.102,1.684
5,10,35,50,0.8,6m-1m,0.825,36.53,44.31,0.982,1.436
15,15,45,25,0.8,12m,0.825,36.04,43.7,0.946,1.395
5,30,5,60,0.5,6m,0.825,35.52,43.07,0.993,1.437
25,5,20,50,0.5,6m-1m,0.825,29.91,36.27,0.875,1.16
0,10,40,50,0.5,6m-1m,0.825,36.35,44.04,0.969,1.4
10,20,10,60,0.4,12m,0.824,33.41,40.56,0.937,1.302
10,0,70,20,0.5,6m,0.824,44.59,54.11,1.071,1.577
15,5,60,20,0.9,12m,0.824,43.4,52.66,1.066,1.557
20,5,25,50,0.7,6m,0.824,38.3,46.46,0.993,1.382
10,20,20,50,0.4,12m,0.824,35.83,43.47,0.97,1.378
10,0,55,35,0.5,6m-1m,0.824,37.96,46.07,0.995,1.463
15,5,50,30,0.4,6m-1m,0.824,37.32,45.28,0.972,1.454
20,20,10,50,0.3,12m,0.824,33.46,40.61,0.952,1.3
10,15,15,60,0.4,12m,0.824,35.23,42.75,0.96,1.342
5,10,25,60,0.7,6m-1m,0.824,31.51,38.24,0.888,1.237
20,0,55,25,0.5,6m,0.824,40.16,48.72,1.027,1.51
10,20,15,55,0.8,12m-1m,0.824,29.88,36.26,0.865,1.205
20,5,45,30,1.0,12m,0.824,37.01,44.94,0.971,1.418
10,15,35,40,0.9,6m-1m,0.824,38.62,46.88,1.011,1.456
15,10,45,30,1.0,6m,0.823,37.4,45.44,0.97,1.442
25,5,45,25,0.5,12m,0.823,36.94,44.89,0.977,1.445
10,25,5,60,0.3,12m-1m,0.823,30.97,37.62,0.905,1.204
20,10,45,25,0.6,6m,0.823,41.96,50.96,1.062,1.586
10,25,25,40,0.3,6m,0.823,42.21,51.26,1.065,1.541
5,0,40,55,0.6,12m-1m,0.823,36.5,44.34,0.959,1.334
20,35,5,40,0.7,12m,0.823,33.62,40.85,0.973,1.419
5,10,30,55,0.4,12m,0.823,38.59,46.88,1.003,1.408
5,0,45,50,0.8,6m,0.822,42.03,51.1,1.043,1.52
0,35,15,50,0.6,12m,0.822,34.66,42.19,0.948,1.398
10,15,25,50,0.5,12m,0.822,35.15,42.74,0.945,1.322
0,20,45,35,0.4,12m-1m,0.822,45.86,55.81,1.082,1.675
15,20,35,30,0.3,6m,0.822,39.96,48.58,1.011,1.435
0,5,75,20,0.7,12m-1m,0.822,41.15,50.09,1.013,1.511
20,10,30,40,0.7,6m,0.822,36.31,44.19,0.955,1.358
5,0,70,25,0.6,6m-1m,0.822,42.74,51.98,1.05,1.534
10,35,5,50,0.7,6m,0.822,36.82,44.81,1.005,1.442
5,30,5,60,1.0,6m,0.822,36.41,44.29,1.003,1.449
15,5,50,30,0.7,12m,0.822,41.7,50.72,1.032,1.535
5,30,5,60,0.8,12m-1m,0.822,34.15,41.55,0.978,1.435
15,20,30,35,0.4,12m,0.822,46.75,56.89,1.121,1.659
15,25,5,55,1.0,12m,0.822,35.32,42.95,0.985,1.353
5,0,40,55,0.8,12m-1m,0.822,40.83,49.69,1.042,1.461
5,35,10,50,0.5,12m-1m,0.822,30.79,37.46,0.896,1.302
20,15,35,30,1.0,12m,0.822,37.6,45.77,0.978,1.418
15,20,25,40,0.3,12m-1m,0.821,40.66,49.5,1.046,1.525
20,0,55,25,0.7,12m,0.821,43.64,53.17,1.069,1.579
0,20,25,55,0.7,12m,0.821,34.87,42.48,0.938,1.304
15,35,15,35,0.3,12m,0.821,34.64,42.17,0.963,1.42
5,5,60,30,1.0,6m-1m,0.821,39.71,48.37,1.014,1.483
10,20,35,35,0.8,12m,0.821,38.12,46.42,0.975,1.442
5,0,45,50,0.8,6m-1m,0.821,38.83,47.31,1.006,1.467
15,15,40,30,0.9,12m,0.821,39.09,47.62,0.998,1.502
15,15,50,20,0.7,12m-1m,0.82,37.55,45.76,0.972,1.4
20,20,25,35,0.8,12m-1m,0.82,31.06,37.88,0.881,1.226
0,0,45,55,0.5,6m,0.82,39.65,48.34,1.026,1.468
0,5,60,35,1.0,6m-1m,0.82,40.94,49.9,1.027,1.507
10,10,50,30,0.6,6m,0.82,42.54,51.88,1.068,1.571
15,20,15,50,0.7,12m-1m,0.82,33.23,40.52,0.949,1.306
0,0,55,45,0.6,6m-1m,0.82,41.94,51.12,1.043,1.58
10,10,45,35,0.9,6m-1m,0.82,37.62,45.86,0.985,1.467
0,25,45,30,0.7,12m-1m,0.82,40.31,49.14,1.013,1.528
5,20,45,30,0.3,6m-1m,0.819,42.34,51.69,1.042,1.534
0,0,70,30,0.4,6m-1m,0.819,44.69,54.55,1.084,1.686
20,25,10,45,0.3,6m-1m,0.819,32.85,40.13,0.943,1.36
5,0,55,40,0.8,6m-1m,0.819,42.15,51.48,1.05,1.56
25,25,5,45,0.3,12m,0.819,27.42,33.48,0.848,1.146
10,15,45,30,0.3,6m,0.819,41.82,51.08,1.046,1.552
15,10,50,25,0.9,12m,0.819,39.81,48.62,1.007,1.491
5,15,55,25,0.7,12m,0.818,43.71,53.44,1.065,1.62
5,35,10,50,0.8,6m,0.818,34.61,42.31,0.945,1.402
20,10,45,25,0.3,6m-1m,0.818,39.21,47.95,1.011,1.472
25,15,25,35,0.7,6m-1m,0.818,36.1,44.11,0.977,1.377
10,20,35,35,0.8,6m,0.818,38.88,47.51,0.997,1.464
15,15,35,35,0.8,6m-1m,0.818,35.35,43.2,0.948,1.36
5,0,65,30,0.7,6m-1m,0.818,40.88,50.01,1.018,1.502
25,5,25,45,0.9,12m-1m,0.818,32.66,39.92,0.927,1.272
5,15,40,40,1.0,12m-1m,0.817,35.31,43.23,0.937,1.38
15,20,10,55,1.0,6m-1m,0.817,38.74,47.4,1.061,1.495
15,5,40,40,0.5,12m-1m,0.817,35.83,43.84,0.957,1.309
15,25,30,30,0.3,6m-1m,0.817,37.72,46.19,0.974,1.419
20,5,45,30,0.7,12m-1m,0.817,36.09,44.19,0.962,1.406
0,0,50,50,1.0,6m-1m,0.817,40.94,50.09,1.036,1.496
0,0,60,40,1.0,6m,0.817,40.48,49.52,1.026,1.512
20,5,40,35,1.0,12m-1m,0.817,36.52,44.69,0.973,1.446
15,10,45,30,0.4,12m,0.817,39.26,48.06,0.997,1.478
0,15,45,40,0.7,12m-1m,0.817,35.13,43.0,0.924,1.432
5,0,50,45,0.5,6m-1m,0.817,37.37,45.73,0.982,1.413
10,10,30,50,0.5,12m-1m,0.817,36.74,44.99,0.985,1.405
10,20,15,55,0.5,12m-1m,0.817,29.7,36.36,0.869,1.206
5,20,25,50,0.9,12m-1m,0.817,37.08,45.38,0.991,1.437
10,5,65,20,0.8,12m-1m,0.816,45.19,55.35,1.083,1.661
15,10,40,35,0.4,12m-1m,0.816,40.23,49.33,1.015,1.485
0,25,35,40,0.9,12m,0.816,38.48,47.14,0.975,1.443
5,5,70,20,0.5,12m-1m,0.816,42.63,52.23,1.036,1.541
5,15,35,45,0.9,6m-1m,0.816,34.74,42.58,0.935,1.36
15,10,50,25,0.7,12m-1m,0.816,40.2,49.24,1.015,1.519
5,0,60,35,0.3,6m-1m,0.816,42.7,52.32,1.049,1.587
20,0,35,45,0.3,12m-1m,0.816,42.1,51.61,1.067,1.499
