v,q,g,m,g_rev,mom,calmar,cagr,mdd,sharpe,sortino
15,10,30,45,0.3,6m-1m,1.542,54.28,35.2,1.296,1.88
10,20,15,55,0.7,6m,1.542,60.78,39.41,1.388,1.933
10,15,15,60,0.9,6m,1.54,55.59,36.11,1.292,1.774
15,25,20,40,0.5,6m,1.54,64.42,41.83,1.452,2.069
5,0,45,50,0.3,12m,1.538,73.5,47.79,1.527,2.307
0,5,40,55,0.3,12m,1.538,71.08,46.21,1.501,2.281
20,5,45,30,0.3,12m-1m,1.538,61.28,39.86,1.369,2.053
0,25,15,60,0.6,6m-1m,1.537,47.91,31.17,1.203,1.741
5,10,40,45,0.4,12m-1m,1.535,68.17,44.4,1.454,2.21
15,10,35,40,0.4,6m-1m,1.535,63.27,41.22,1.405,2.111
10,20,20,50,0.5,6m-1m,1.534,55.36,36.09,1.31,1.838
20,10,20,50,0.7,6m-1m,1.534,49.52,32.27,1.214,1.727
10,20,25,45,1.0,6m,1.534,51.72,33.72,1.228,1.785
20,5,45,30,0.3,12m,1.533,60.96,39.77,1.36,2.065
0,0,55,45,1.0,12m-1m,1.533,65.06,42.44,1.407,2.113
5,15,35,45,0.4,12m-1m,1.531,63.62,41.55,1.378,2.135
15,0,35,50,0.7,12m,1.531,60.39,39.45,1.351,1.899
5,15,35,45,0.3,12m-1m,1.53,60.08,39.27,1.329,2.046
15,25,15,45,0.7,6m,1.53,55.6,36.33,1.315,1.88
10,15,30,45,0.3,12m-1m,1.53,61.9,40.46,1.384,2.037
10,10,35,45,0.9,12m,1.529,59.99,39.22,1.348,1.98
0,10,55,35,0.9,6m,1.529,67.94,44.43,1.415,2.123
5,15,30,50,0.8,12m-1m,1.529,60.45,39.53,1.358,1.976
20,0,35,45,0.5,12m-1m,1.529,55.89,36.56,1.306,1.824
20,5,30,45,0.7,6m-1m,1.529,50.27,32.87,1.215,1.757
20,5,45,30,0.4,12m,1.529,58.67,38.37,1.334,1.952
0,0,65,35,0.7,12m,1.529,69.59,45.5,1.43,2.181
5,25,20,50,0.5,6m,1.527,46.96,30.76,1.174,1.751
5,5,55,35,0.8,12m,1.527,68.91,45.13,1.431,2.065
10,0,50,40,0.7,12m,1.526,69.06,45.25,1.454,2.2
0,25,15,60,1.0,6m,1.526,50.42,33.03,1.22,1.732
10,15,30,45,0.4,12m-1m,1.524,59.14,38.81,1.347,2.008
5,10,45,40,0.4,6m,1.524,68.91,45.22,1.446,2.197
15,5,25,55,0.3,12m-1m,1.524,55.35,36.32,1.306,1.877
15,15,15,55,0.7,6m,1.523,51.85,34.05,1.248,1.778
15,0,45,40,0.3,12m,1.522,65.6,43.09,1.417,2.142
20,0,50,30,0.4,12m,1.521,66.38,43.63,1.431,2.226
15,30,10,45,0.8,6m,1.519,50.62,33.33,1.252,1.827
15,25,10,50,0.4,6m-1m,1.518,46.72,30.78,1.196,1.728
5,15,35,45,0.9,12m,1.517,64.59,42.58,1.395,2.062
0,10,35,55,0.3,6m-1m,1.516,57.53,37.96,1.318,1.986
25,0,50,25,0.3,12m,1.516,60.79,40.1,1.367,2.061
5,25,20,50,0.8,6m,1.515,52.67,34.76,1.266,1.871
