defense,offense,rule,calmar,cagr,mdd,sharpe,sortino,boost
V15Q10G25M50 6m-1m,V25Q5G50M20 12m,VIX30_3d,2.071,83.05,40.1,1.503,2.305,95.4933954933955
V15Q10G35M40 12m,V20Q0G65M15 12m,KQ60_3d,2.038,81.04,39.75,1.539,2.52,58.5081585081585
V15Q10G35M40 12m,V25Q5G50M20 12m,KQ60_3d,2.033,80.84,39.75,1.537,2.444,58.5081585081585
V15Q10G35M40 12m,V10Q0G70M20 12m-1m,HY5_3d,1.97,91.8,46.6,1.553,2.509,96.1149961149961
V20Q10G20M50 6m-1m,V25Q5G50M20 12m,VIX30_3d,1.969,79.05,40.15,1.461,2.23,95.4933954933955
V15Q10G35M40 12m,V15Q5G65M15 12m-1m,KQ60_3d,1.967,78.21,39.75,1.502,2.413,58.5081585081585
V15Q10G35M40 12m,V25Q5G50M20 12m,B126_40_3d,1.931,72.41,37.49,1.458,2.265,59.28515928515928
V15Q10G35M40 12m,V25Q5G50M20 12m,B126_40+HY5_3d,1.892,70.95,37.49,1.441,2.23,58.89665889665889
V15Q10G35M40 12m,V25Q5G50M20 12m,HY5_3d,1.885,72.7,38.58,1.375,2.105,96.1149961149961
V15Q10G35M40 12m,V25Q5G50M20 12m,VIX30_3d,1.854,74.24,40.05,1.396,2.127,95.4933954933955
V15Q10G35M40 12m,V20Q0G65M15 12m,HY5_3d,1.832,69.35,37.87,1.323,2.094,96.1149961149961
V25Q15G20M40 6m,V25Q5G50M20 12m,VIX30_3d,1.821,66.62,36.59,1.321,1.971,95.4933954933955
V15Q10G35M40 12m,V25Q5G50M20 12m,KP120_3d,1.29,53.44,41.42,1.193,1.87,57.88655788655789
V15Q10G35M40 12m,V25Q5G50M20 12m,KK120_3d,1.173,54.9,46.82,1.224,1.895,50.815850815850816
