v,q,g,m,mom,calmar,cagr,mdd,sharpe,sortino
15,0,65,20,12m,1.632,73.61,45.11,1.538,2.413
0,20,35,45,12m-1m,1.632,60.54,37.1,1.361,2.092
5,20,30,45,12m,1.63,56.53,34.69,1.315,1.984
5,35,15,45,12m-1m,1.629,53.74,33.0,1.326,1.999
25,15,35,25,12m,1.629,53.38,32.78,1.273,1.821
20,5,65,10,12m,1.626,61.33,37.71,1.369,2.13
25,20,20,35,12m,1.624,43.3,26.67,1.138,1.646
5,25,30,40,12m-1m,1.623,60.7,37.39,1.361,2.079
15,0,50,35,12m-1m,1.621,58.37,36.02,1.343,2.037
15,5,40,40,6m-1m,1.62,52.82,32.61,1.26,1.823
5,25,20,50,12m-1m,1.619,55.77,34.45,1.326,1.952
35,0,45,20,12m,1.619,48.34,29.86,1.222,1.919
10,15,35,40,12m,1.619,59.25,36.61,1.35,1.993
10,5,70,15,12m-1m,1.618,66.09,40.84,1.413,2.212
15,15,30,40,12m-1m,1.615,53.82,33.32,1.285,1.865
20,5,35,40,6m-1m,1.614,53.08,32.89,1.299,1.93
0,20,40,40,12m-1m,1.612,59.48,36.89,1.326,2.001
25,10,35,30,12m-1m,1.61,53.6,33.3,1.29,1.888
15,10,55,20,12m-1m,1.609,54.31,33.75,1.267,1.933
20,10,35,35,6m,1.607,55.51,34.54,1.285,1.86
10,15,30,45,12m-1m,1.607,55.34,34.43,1.309,1.933
25,10,25,40,12m-1m,1.607,47.1,29.31,1.216,1.734
5,10,30,55,12m-1m,1.606,57.65,35.88,1.347,1.934
20,5,40,35,6m,1.605,54.17,33.74,1.271,1.901
0,15,45,40,12m,1.603,64.51,40.24,1.395,2.181
0,15,55,30,6m-1m,1.603,57.0,35.55,1.298,2.018
30,5,50,15,12m,1.602,55.37,34.58,1.332,1.99
15,10,20,55,12m-1m,1.601,55.31,34.54,1.328,1.922
20,10,50,20,12m,1.601,53.84,33.63,1.262,1.901
10,10,65,15,12m-1m,1.601,60.08,37.53,1.338,2.114
5,0,65,30,12m-1m,1.601,67.72,42.3,1.448,2.296
30,10,35,25,6m-1m,1.601,53.13,33.19,1.31,1.939
0,35,25,40,6m-1m,1.599,52.17,32.62,1.256,1.944
20,5,45,30,12m-1m,1.593,60.91,38.25,1.391,2.049
20,10,40,30,6m,1.591,53.23,33.46,1.253,1.812
