gs1,gs2,gr,v,q,g,m,mom,cagr,mdd,cal,sh,sort
rev_z,rev_accel_z,0.9,15,5,50,30,6m,-29.5,76.63,-0.385,-0.353,-0.354
rev_z,rev_accel_z,0.9,15,5,50,30,6m-1m,-33.2,75.62,-0.439,-0.447,-0.44
rev_z,rev_accel_z,0.9,15,5,50,30,12m,12.06,45.57,0.265,0.454,0.824
rev_z,rev_accel_z,0.9,15,5,50,30,12m-1m,-35.15,67.63,-0.52,-0.528,-0.537
rev_z,rev_accel_z,0.9,5,5,70,20,6m,-11.05,52.8,-0.209,0.038,0.074
rev_z,rev_accel_z,0.9,5,5,70,20,6m-1m,-1.23,50.32,-0.025,0.224,0.444
rev_z,rev_accel_z,0.9,5,5,70,20,12m,1.0,49.8,0.02,0.262,0.526
rev_z,rev_accel_z,0.9,5,5,70,20,12m-1m,-2.38,49.3,-0.048,0.201,0.401
rev_z,rev_accel_z,0.9,10,10,55,25,6m,-36.13,73.85,-0.489,-0.521,-0.519
rev_z,rev_accel_z,0.9,10,10,55,25,6m-1m,-30.21,66.21,-0.456,-0.466,-0.507
rev_z,rev_accel_z,0.9,10,10,55,25,12m,-18.96,64.91,-0.292,-0.163,-0.275
rev_z,rev_accel_z,0.9,10,10,55,25,12m-1m,-14.5,52.61,-0.276,-0.071,-0.13
rev_z,rev_accel_z,0.9,10,10,20,60,6m,-15.92,83.91,-0.19,0.067,0.061
rev_z,rev_accel_z,0.9,10,10,20,60,6m-1m,-11.85,77.05,-0.154,0.266,0.231
rev_z,rev_accel_z,0.9,10,10,20,60,12m,13.04,58.21,0.224,0.519,0.603
rev_z,rev_accel_z,0.9,10,10,20,60,12m-1m,11.87,55.99,0.212,0.518,0.513
rev_z,rev_accel_z,0.9,15,10,20,55,6m,-11.86,83.99,-0.141,0.166,0.152
rev_z,rev_accel_z,0.9,15,10,20,55,6m-1m,10.21,68.89,0.148,0.542,0.494
rev_z,rev_accel_z,0.9,15,10,20,55,12m,-17.38,78.84,-0.22,0.236,0.218
rev_z,rev_accel_z,0.9,15,10,20,55,12m-1m,1.95,66.39,0.029,0.415,0.364
rev_z,rev_accel_z,0.9,10,5,25,60,6m,-16.31,83.26,-0.196,0.065,0.058
rev_z,rev_accel_z,0.9,10,5,25,60,6m-1m,34.78,40.13,0.867,0.962,1.432
rev_z,rev_accel_z,0.9,10,5,25,60,12m,-5.97,78.31,-0.076,0.371,0.356
rev_z,rev_accel_z,0.9,10,5,25,60,12m-1m,-19.6,79.32,-0.247,0.161,0.132
rev_z,rev_accel_z,0.9,20,10,15,55,6m,-8.49,80.05,-0.106,0.248,0.22
rev_z,rev_accel_z,0.9,20,10,15,55,6m-1m,17.5,64.64,0.271,0.666,0.598
rev_z,rev_accel_z,0.9,20,10,15,55,12m,-27.16,84.55,-0.321,-0.081,-0.067
rev_z,rev_accel_z,0.9,20,10,15,55,12m-1m,-3.73,65.85,-0.057,0.301,0.256
rev_z,rev_accel_z,0.9,25,25,25,25,6m,-31.43,71.9,-0.437,-0.409,-0.384
rev_z,rev_accel_z,0.9,25,25,25,25,6m-1m,-31.28,68.65,-0.456,-0.411,-0.388
rev_z,rev_accel_z,0.9,25,25,25,25,12m,-19.38,68.35,-0.284,-0.088,-0.084
rev_z,rev_accel_z,0.9,25,25,25,25,12m-1m,-22.71,67.23,-0.338,-0.165,-0.155
rev_z,rev_accel_z,0.9,20,20,30,30,6m,-29.25,71.04,-0.412,-0.349,-0.336
rev_z,rev_accel_z,0.9,20,20,30,30,6m-1m,-33.49,69.07,-0.485,-0.48,-0.463
rev_z,rev_accel_z,0.9,20,20,30,30,12m,-11.27,68.15,-0.165,0.092,0.089
rev_z,rev_accel_z,0.9,20,20,30,30,12m-1m,-14.13,62.39,-0.226,0.018,0.017
rev_z,rev_accel_z,0.9,20,20,20,40,6m,-22.54,74.48,-0.303,-0.185,-0.176
rev_z,rev_accel_z,0.9,20,20,20,40,6m-1m,-12.04,65.55,-0.184,0.05,0.046
rev_z,rev_accel_z,0.9,20,20,20,40,12m,3.45,66.67,0.052,0.443,0.402
rev_z,rev_accel_z,0.9,20,20,20,40,12m-1m,-1.82,64.3,-0.028,0.345,0.308
rev_z,rev_accel_z,0.9,30,5,50,15,6m,7.07,49.79,0.142,0.365,0.691
rev_z,rev_accel_z,0.9,30,5,50,15,6m-1m,9.08,47.33,0.192,0.401,0.731
rev_z,rev_accel_z,0.9,30,5,50,15,12m,-0.51,61.22,-0.008,0.239,0.379
rev_z,rev_accel_z,0.9,30,5,50,15,12m-1m,6.34,57.11,0.111,0.363,0.619
rev_z,rev_accel_z,0.9,5,30,15,50,6m,-27.33,73.1,-0.374,-0.288,-0.259
rev_z,rev_accel_z,0.9,5,30,15,50,6m-1m,-14.07,69.87,-0.201,-0.005,-0.004
rev_z,rev_accel_z,0.9,5,30,15,50,12m,4.25,60.98,0.07,0.407,0.371
rev_z,rev_accel_z,0.9,5,30,15,50,12m-1m,-1.22,64.12,-0.019,0.295,0.278
rev_z,rev_accel_z,0.9,15,15,45,25,6m,-24.45,72.74,-0.336,-0.203,-0.199
rev_z,rev_accel_z,0.9,15,15,45,25,6m-1m,-38.6,75.64,-0.51,-0.595,-0.569
rev_z,rev_accel_z,0.9,15,15,45,25,12m,-39.8,75.02,-0.531,-0.625,-0.607
rev_z,rev_accel_z,0.9,15,15,45,25,12m-1m,-39.99,74.19,-0.539,-0.63,-0.609
rev_z,rev_accel_z,1.0,40,10,30,20,6m,-8.18,43.52,-0.188,0.068,0.072
rev_z,rev_accel_z,1.0,40,10,30,20,6m-1m,-11.19,44.46,-0.252,-0.019,-0.02
rev_z,rev_accel_z,1.0,40,10,30,20,12m,-8.73,53.03,-0.165,0.049,0.052
rev_z,rev_accel_z,1.0,40,10,30,20,12m-1m,-13.97,51.62,-0.271,-0.097,-0.099
