defense,offense,rule,approx_cal,calmar,cagr,mdd,sharpe,sortino,boost
V15Q5G30M50 g0.6 6m-1m,V25Q0G50M25 g0.3 12m-1m,B126_40_5d,5.330880346335395,4.179,148.45,35.52,2.249,3.603,59.44055944055944
V15Q5G30M50 g0.6 6m-1m,V25Q0G55M20 g0.3 12m,B126_40_7d,5.585890025951694,4.178,140.53,33.63,2.139,3.701,59.20745920745921
V15Q5G30M50 g0.6 6m-1m,V25Q0G50M25 g0.3 12m-1m,B126_40_1d+VIX25_1d,5.493702659518414,4.163,141.26,33.93,2.221,3.521,55.011655011655016
V20Q10G20M50 g0.6 6m-1m,V0Q5G45M50 g0.6 12m,KK120_3d+VIX25_1d,5.8960892245610825,4.132,106.67,25.81,1.823,2.852,48.25174825174825
V20Q15G25M40 g0.6 6m-1m,V0Q15G40M45 g0.4 12m,KP120_3d,5.366742188290593,4.119,117.32,28.48,1.946,2.989,57.88655788655789
V15Q5G30M50 g0.6 6m-1m,V25Q0G55M20 g0.3 12m,B126_40_3d,5.519780613631563,4.049,137.39,33.93,2.109,3.582,59.28515928515928
V15Q5G30M50 g0.6 6m-1m,V25Q0G50M25 g0.3 12m-1m,KP120_3d+VIX25_1d,5.3316328298295526,4.046,138.03,34.11,2.213,3.581,55.16705516705517
V20Q10G30M40 g0.7 6m-1m,V0Q15G40M45 g0.4 12m,KP120_3d+VIX25_1d,5.3772894840698555,4.039,115.04,28.48,1.897,2.968,55.16705516705517
V20Q5G30M45 g0.5 6m-1m,V0Q5G45M50 g0.6 12m,KQ120_5d,5.410215220122858,4.031,109.42,27.14,1.846,2.802,54.623154623154626
V20Q10G20M50 g0.6 6m-1m,V5Q15G40M40 g0.4 12m,KK120_3d+VIX25_1d,5.349004816206896,4.028,103.98,25.81,1.849,2.805,48.25174825174825
V20Q5G30M45 g0.5 6m-1m,V0Q5G45M50 g0.6 12m,KK120_3d+VIX25_1d,5.42518697370482,4.01,108.84,27.14,1.861,2.785,48.25174825174825
V20Q10G20M50 g0.6 6m-1m,V0Q15G40M45 g0.4 12m,KK120_5d,5.600731840707724,4.007,103.43,25.81,1.834,2.805,50.038850038850036
V20Q5G30M45 g0.5 6m-1m,V0Q15G40M45 g0.4 12m,KK120_3d,5.33310110022541,4.006,108.74,27.14,1.857,2.769,50.815850815850816
V15Q5G30M50 g0.6 6m-1m,V25Q0G55M20 g0.3 12m,B126_35_1d,5.437923091827809,4.004,132.8,33.17,2.051,3.549,67.75446775446775
V20Q15G20M45 g0.8 6m,V25Q0G50M25 g0.3 12m-1m,B126_40_3d,5.273085667872924,4.001,127.59,31.89,2.095,3.277,59.28515928515928
V20Q5G30M45 g0.5 6m-1m,V0Q5G45M50 g0.6 12m,KK120_5d,5.428495917244027,3.988,108.24,27.14,1.844,2.785,50.038850038850036
V25Q10G15M50 g0.4 6m-1m,V0Q5G45M50 g0.6 12m,KP120_1d,5.344493344299755,3.971,104.84,26.4,1.814,2.758,58.04195804195804
V20Q15G25M40 g0.6 6m-1m,V0Q15G40M45 g0.4 12m,KP120_1d,5.277759232867999,3.94,112.22,28.48,1.902,2.89,58.04195804195804
V20Q15G25M40 g0.6 6m-1m,V0Q15G40M45 g0.4 12m,KP120_3d+VIX25_1d,5.343904315549224,3.927,111.87,28.48,1.896,2.903,55.16705516705517
V20Q10G30M40 g0.7 6m-1m,V0Q5G45M50 g0.6 12m,KK120_3d+VIX25_1d,5.401463362508789,3.925,99.0,25.23,1.725,2.751,48.25174825174825
V20Q15G15M50 g0.9 6m-1m,V0Q15G40M45 g0.4 12m,KK120_5d,5.344943990496484,3.915,97.87,25.0,1.824,2.772,50.038850038850036
V15Q5G30M50 g0.6 6m-1m,V25Q0G55M20 g0.3 12m,B126_40_1d+VIX25_1d,5.414501765980757,3.909,132.63,33.93,2.091,3.422,55.011655011655016
V20Q5G30M45 g0.5 6m-1m,V0Q5G45M50 g0.6 12m,KK120_3d,5.2988552929451895,3.908,106.07,27.14,1.843,2.752,50.815850815850816
V20Q10G25M45 g0.7 6m-1m,V0Q15G40M45 g0.4 12m,KP120_3d+VIX25_1d,5.286841836713491,3.889,118.2,30.39,1.966,3.032,55.16705516705517
V20Q10G30M40 g0.7 6m-1m,V0Q15G40M45 g0.4 12m,KQ120_5d,5.486868933626654,3.862,104.03,26.94,1.813,2.836,54.623154623154626
V20Q10G20M50 g0.6 6m-1m,V0Q5G45M50 g0.6 12m,KQ120_5d,5.438631405835822,3.84,100.4,26.14,1.762,2.729,54.623154623154626
V20Q10G30M40 g0.7 6m-1m,V0Q15G40M45 g0.4 12m,KK120_5d,5.3865878543437695,3.839,96.84,25.23,1.743,2.719,50.038850038850036
V20Q10G20M50 g0.6 6m-1m,V0Q5G45M50 g0.6 12m,KK120_5d,5.7046956375372275,3.802,98.14,25.81,1.733,2.701,50.038850038850036
V25Q10G15M50 g0.4 6m-1m,V0Q15G40M45 g0.4 12m,KP120_3d+VIX25_1d,5.507875701096179,3.799,115.28,30.34,1.926,2.934,55.16705516705517
V20Q10G20M50 g0.6 6m-1m,V0Q15G40M45 g0.4 12m,B126_40_1d+VIX25_1d,5.381295416645773,3.798,110.33,29.05,1.861,2.803,55.011655011655016
V20Q5G30M45 g0.5 6m-1m,V0Q15G40M45 g0.4 12m,KP120_3d,5.360823367219645,3.778,103.44,27.38,1.807,2.702,57.88655788655789
V20Q5G30M45 g0.5 6m-1m,V0Q15G40M45 g0.4 12m,KP120_3d+VIX25_1d,5.6615031786131755,3.767,113.16,30.04,1.912,2.889,55.16705516705517
V20Q10G20M50 g0.6 6m-1m,V0Q5G45M50 g0.6 12m,KK120_3d,5.56449363643875,3.753,96.88,25.81,1.739,2.674,50.815850815850816
V20Q10G30M40 g0.7 6m-1m,V0Q5G45M50 g0.6 12m,KK120_3d,5.409939054723944,3.723,93.93,25.23,1.687,2.651,50.815850815850816
V20Q10G20M50 g0.6 6m-1m,V0Q5G45M50 g0.6 12m,B126_45_3d,5.39498998862161,3.669,94.71,25.81,1.717,2.608,50.815850815850816
V20Q5G30M45 g0.5 6m-1m,V0Q5G45M50 g0.6 12m,B126_45_5d,5.322867259982333,3.657,99.25,27.14,1.753,2.626,50.97125097125097
V20Q10G30M40 g0.7 6m-1m,V0Q5G45M50 g0.6 12m,KK120_5d,5.487704550554825,3.636,91.72,25.23,1.647,2.616,50.038850038850036
V20Q15G15M50 g0.9 6m-1m,V0Q5G45M50 g0.6 12m,KK120_5d,5.447855153694973,3.599,89.98,25.0,1.716,2.631,50.038850038850036
V20Q15G15M50 g0.7 6m-1m,V0Q5G45M50 g0.6 12m,KK120_5d,5.316210677339572,3.597,89.93,25.0,1.706,2.637,50.038850038850036
V20Q5G30M45 g0.5 6m-1m,V0Q5G45M50 g0.6 12m,KP120_1d,5.440307971605862,3.561,99.76,28.01,1.746,2.625,58.04195804195804
V20Q15G25M40 g0.6 6m-1m,V0Q5G45M50 g0.4 12m,KP120_1d,5.299084589798822,3.521,100.29,28.48,1.754,2.648,58.04195804195804
V20Q10G20M50 g0.6 6m-1m,V0Q15G40M45 g0.4 12m,B126_45_7d,5.435718270836294,3.519,90.85,25.81,1.683,2.522,51.204351204351205
V20Q15G15M50 g0.9 6m-1m,V0Q5G45M50 g0.6 12m,B126_45_5d,5.531722080161966,3.517,87.94,25.0,1.668,2.561,50.97125097125097
V20Q15G25M40 g0.6 6m-1m,V0Q5G45M50 g0.6 12m,KK120_5d,5.268480181597729,3.49,87.66,25.11,1.623,2.513,50.038850038850036
V20Q5G30M45 g0.5 6m-1m,V0Q15G40M45 g0.4 12m,KK120_5d,5.329134352173023,3.419,92.78,27.14,1.689,2.515,50.038850038850036
V20Q10G20M50 g0.6 6m-1m,V0Q5G45M50 g0.6 12m,B126_40_5d,5.527619149013264,3.384,89.52,26.46,1.617,2.488,59.44055944055944
V20Q10G20M50 g0.6 6m-1m,V0Q5G45M50 g0.6 12m,B126_45_5d,5.759625282715063,3.374,87.09,25.81,1.624,2.427,50.97125097125097
V20Q10G20M50 g0.6 6m-1m,V0Q5G45M50 g0.6 12m,B126_45_7d,5.578265416596288,3.353,86.56,25.81,1.621,2.426,51.204351204351205
V20Q5G30M45 g0.5 6m-1m,V0Q15G40M45 g0.4 12m,KP120_5d,5.426675699687453,3.313,104.49,31.54,1.82,2.711,57.73115773115774
V20Q5G30M45 g0.5 6m-1m,V0Q15G40M45 g0.4 12m,KQ120_5d,5.474660820295155,3.306,92.7,28.04,1.68,2.52,54.623154623154626
V20Q10G20M50 g0.6 6m-1m,V0Q5G45M50 g0.4 12m,KP60_1d,5.659865139521211,3.301,94.67,28.68,1.693,2.487,59.67365967365967
V20Q10G20M50 g0.6 6m-1m,V0Q5G45M50 g0.6 12m,KP120_1d,5.778636925722519,3.289,95.97,29.18,1.705,2.627,58.04195804195804
V20Q10G20M50 g0.6 6m-1m,V0Q5G45M50 g0.6 12m,KP120_3d,5.842506360901326,3.252,95.99,29.52,1.706,2.652,57.88655788655789
V20Q5G30M45 g0.5 6m-1m,V0Q5G45M50 g0.6 12m,KP120_3d,5.443545489882558,3.167,93.03,29.37,1.656,2.396,57.88655788655789
V20Q10G30M40 g0.7 6m-1m,V0Q5G45M50 g0.6 12m,KP120_1d,5.406793030421178,3.131,89.61,28.62,1.621,2.539,58.04195804195804
V20Q15G25M40 g0.6 6m-1m,V0Q5G45M50 g0.6 12m,KP120_1d,5.470852243009926,3.13,89.16,28.48,1.639,2.503,58.04195804195804
V20Q15G25M40 g0.6 6m-1m,V0Q5G45M50 g0.6 12m,KP120_3d,5.356531501799853,3.033,86.4,28.48,1.606,2.484,57.88655788655789
V15Q5G30M50 g0.6 6m-1m,V0Q15G40M45 g0.4 12m,KP120_3d+VIX25_1d,5.27111530904389,2.902,107.32,36.99,1.846,2.89,55.16705516705517
V20Q10G30M40 g0.7 6m-1m,V0Q5G45M50 g0.6 12m,KP120_3d,5.328814028788986,2.814,85.99,30.55,1.578,2.498,57.88655788655789
V20Q10G20M50 g0.6 6m-1m,V0Q5G45M50 g0.6 12m,KP60_1d,5.606654034179909,2.299,75.8,32.97,1.474,2.187,59.67365967365967
