v,q,g,m,mom,g_sub,cal,cagr,mdd,sharpe,sortino
30,5,35,30,6m,rev+oca+gp,1.492,64.04,42.92,0.762,2.903
5,0,50,45,12m-1m,rev+oca+opm,1.492,59.28,39.73,0.835,2.417
15,0,55,30,12m-1m,rev+oca+gp,1.491,64.71,43.39,0.853,2.633
15,15,30,40,6m,rev+oca+gp,1.491,71.48,47.94,0.8,3.071
20,5,35,40,12m-1m,rev+gp+opm,1.491,62.81,42.13,0.837,2.61
15,5,35,45,6m,rev+oca+opm,1.489,65.85,44.22,0.845,2.625
20,10,25,45,12m-1m,rev+oca+opm,1.489,64.19,43.11,0.847,2.642
10,5,50,35,12m,rev+oca+opm,1.488,64.65,43.45,0.877,2.515
15,5,45,35,12m-1m,rev+gp+opm,1.487,67.88,45.66,0.873,2.683
20,5,25,50,6m,rev+gp+opm,1.486,71.7,48.25,0.817,2.882
30,0,40,30,12m,rev+gp+opm,1.486,69.94,47.07,0.888,2.756
30,10,40,20,12m-1m,rev+oca+opm,1.486,61.89,41.65,0.755,2.749
30,15,40,15,12m,rev+oca+gp,1.485,63.47,42.75,0.674,2.969
20,5,50,25,12m-1m,rev+oca+opm,1.485,66.43,44.74,0.86,2.708
25,0,45,30,12m,rev+gp+opm,1.484,69.55,46.86,0.885,2.71
10,0,60,30,12m,rev+oca+opm,1.484,60.29,40.62,0.844,2.422
30,5,20,45,12m-1m,rev+oca+opm,1.483,62.68,42.28,0.762,2.806
10,5,55,30,12m,rev+oca+opm,1.481,60.82,41.08,0.847,2.396
20,15,30,35,12m-1m,rev+oca+opm,1.481,65.42,44.18,0.859,2.668
20,5,30,45,12m-1m,rev+oca+gp,1.48,65.98,44.59,0.86,2.718
20,15,35,30,6m-1m,rev+gp+opm,1.479,70.07,47.37,0.805,2.918
30,5,35,30,6m,rev+gp+opm,1.479,74.38,50.29,0.728,3.38
30,5,40,25,12m-1m,rev+oca+gp,1.478,66.75,45.17,0.788,2.825
15,0,40,45,12m-1m,rev+oca+gp,1.477,67.25,45.52,0.871,2.669
5,0,60,35,12m-1m,rev+gp+opm,1.477,63.66,43.08,0.873,2.545
10,10,50,30,6m,rev+oca+gp,1.476,67.7,45.88,0.87,2.779
25,5,45,25,12m-1m,rev+oca+gp,1.476,63.4,42.95,0.843,2.641
20,10,30,40,12m-1m,rev+oca+opm,1.476,66.31,44.92,0.865,2.717
5,15,35,45,6m,rev+gp+opm,1.475,63.79,43.26,0.869,2.513
25,0,30,45,6m,rev+gp+opm,1.475,66.52,45.1,0.785,2.769
25,10,40,25,12m,rev+gp+opm,1.475,62.32,42.25,0.831,2.563
5,0,60,35,12m,rev+oca+gp,1.474,58.81,39.89,0.832,2.422
20,0,55,25,12m-1m,rev+oca+gp,1.473,65.83,44.68,0.861,2.651
