v,q,g,m,mom,entry,exit,slots,sl,trail,corr_th,calmar,cagr,mdd,sharpe,sortino,avg_holdings
20,5,25,50,6m-1m,5,15,7,-0.12,-0.15,,2.258,63.35,28.05,1.515,2.144,6.1
20,5,25,50,6m-1m,5,15,7,-0.12,-0.15,0.65,2.258,63.35,28.05,1.515,2.144,6.1
20,5,25,50,6m-1m,5,15,7,-0.12,-0.15,0.6,2.258,63.35,28.05,1.515,2.144,6.1
15,10,25,50,6m-1m,5,8,7,-0.08,,0.6,2.253,68.6,30.45,1.533,2.205,5.2
15,10,25,50,6m-1m,5,8,7,-0.08,,0.65,2.253,68.6,30.45,1.533,2.205,5.2
15,10,25,50,6m-1m,5,8,7,-0.08,,,2.253,68.6,30.45,1.533,2.205,5.2
20,15,25,40,12m-1m,5,8,5,-0.12,-0.15,0.6,2.251,65.81,29.24,1.492,2.236,4.8
20,15,25,40,12m-1m,5,8,5,-0.12,-0.15,0.65,2.251,65.81,29.24,1.492,2.236,4.8
20,15,25,40,12m-1m,5,8,5,-0.12,-0.15,,2.251,65.81,29.24,1.492,2.236,4.8
15,10,25,50,6m-1m,3,8,7,-0.1,-0.15,0.6,2.25,70.93,31.53,1.441,2.131,3.5
15,10,25,50,6m-1m,3,8,7,-0.1,-0.15,,2.25,70.93,31.53,1.441,2.131,3.5
15,10,25,50,6m-1m,3,8,7,-0.1,-0.15,0.65,2.25,70.93,31.53,1.441,2.131,3.5
20,10,20,50,6m-1m,5,8,7,-0.12,-0.2,0.65,2.244,58.59,26.11,1.375,1.917,5.2
20,10,20,50,6m-1m,5,8,7,-0.12,-0.2,,2.244,58.59,26.11,1.375,1.917,5.2
20,10,20,50,6m-1m,5,8,7,-0.12,-0.2,0.6,2.244,58.59,26.11,1.375,1.917,5.2
20,5,25,50,6m-1m,5,8,5,,-0.15,0.6,2.24,69.9,31.21,1.534,2.246,4.7
20,5,25,50,6m-1m,5,8,5,,-0.15,,2.24,69.9,31.21,1.534,2.246,4.7
20,5,25,50,6m-1m,5,8,5,,-0.15,0.65,2.24,69.9,31.21,1.534,2.246,4.7
20,5,35,40,12m,5,8,5,-0.1,,0.6,2.236,74.43,33.29,1.576,2.411,4.8
20,5,35,40,12m,5,8,5,-0.1,,0.65,2.236,74.43,33.29,1.576,2.411,4.8
20,5,35,40,12m,5,8,5,-0.1,,,2.236,74.43,33.29,1.576,2.411,4.8
20,15,25,40,12m-1m,5,8,5,-0.08,-0.2,0.65,2.235,65.34,29.24,1.473,2.172,4.8
20,15,25,40,12m-1m,5,8,5,-0.08,-0.2,0.6,2.235,65.34,29.24,1.473,2.172,4.8
20,15,25,40,12m-1m,5,8,5,-0.08,-0.2,,2.235,65.34,29.24,1.473,2.172,4.8
15,5,30,50,6m-1m,5,8,7,-0.1,-0.15,0.6,2.234,74.51,33.36,1.617,2.334,5.2
15,5,30,50,6m-1m,5,8,7,-0.1,-0.15,0.65,2.234,74.51,33.36,1.617,2.334,5.2
15,5,30,50,6m-1m,5,8,7,-0.1,-0.15,,2.234,74.51,33.36,1.617,2.334,5.2
20,5,35,40,12m,5,8,5,-0.12,-0.15,0.6,2.229,76.43,34.29,1.611,2.495,4.8
20,5,25,50,6m-1m,5,8,5,-0.12,,0.6,2.229,67.67,30.36,1.498,2.194,4.7
20,5,25,50,6m-1m,5,8,5,-0.12,,0.65,2.229,67.67,30.36,1.498,2.194,4.7
20,5,35,40,12m,5,8,5,-0.12,-0.15,0.65,2.229,76.43,34.29,1.611,2.495,4.8
20,5,25,50,6m-1m,5,8,5,-0.12,,,2.229,67.67,30.36,1.498,2.194,4.7
20,5,35,40,12m,5,8,5,-0.12,-0.15,,2.229,76.43,34.29,1.611,2.495,4.8
20,5,25,50,6m-1m,5,8,5,-0.1,-0.15,,2.228,68.2,30.61,1.509,2.201,4.7
20,5,25,50,6m-1m,5,8,5,-0.1,-0.15,0.65,2.228,68.2,30.61,1.509,2.201,4.7
20,5,25,50,6m-1m,5,8,5,-0.1,-0.15,0.6,2.228,68.2,30.61,1.509,2.201,4.7
20,15,25,40,12m-1m,5,8,5,-0.1,-0.2,0.6,2.228,65.16,29.24,1.469,2.17,4.8
20,15,25,40,12m-1m,5,8,5,-0.1,-0.2,0.65,2.228,65.16,29.24,1.469,2.17,4.8
20,15,25,40,12m-1m,5,8,5,-0.1,-0.2,,2.228,65.16,29.24,1.469,2.17,4.8
20,5,35,40,12m,5,8,7,,-0.15,,2.225,73.1,32.85,1.583,2.394,5.3
20,5,35,40,12m,5,8,7,,-0.15,0.65,2.225,73.1,32.85,1.583,2.394,5.3
20,5,35,40,12m,5,8,7,,-0.15,0.6,2.225,73.1,32.85,1.583,2.394,5.3
20,10,20,50,6m-1m,5,8,7,-0.1,,0.6,2.224,60.02,26.99,1.392,1.95,5.2
20,10,20,50,6m-1m,5,8,7,-0.1,,,2.224,60.02,26.99,1.392,1.95,5.2
