defense,offense,rule,boost_pct,approx_calmar,calmar,cagr,mdd,sharpe,sortino
15,4,KP_MA200_5d,53.45765345765345,4.951026974155178,3.749,120.06,32.03,2.12,3.328
31,1,KP_MA200_5d,53.45765345765345,5.3783850665757145,3.735,123.94,33.18,2.043,3.178
17,0,Breadth40_3d,53.923853923853926,4.895542814569003,3.712,123.11,33.17,2.029,3.154
12,0,KP_MA120+VIX_lt25_1d,55.08935508935509,4.738634646353401,3.712,106.84,28.78,1.854,2.961
31,0,KK_MA120_1d,49.728049728049726,5.234462324652971,3.691,121.59,32.94,2.01,3.187
15,1,Breadth30_3d,70.55167055167055,4.818612224158853,3.688,110.65,30.0,1.848,3.044
31,1,KK_MA120_1d,49.728049728049726,4.775647902009255,3.68,120.86,32.84,1.993,3.175
17,0,Breadth30_3d,70.55167055167055,5.141623867542804,3.679,110.38,30.0,1.861,3.033
31,0,KK_MA60+VIX_lt25_3d,49.261849261849264,4.835413631667421,3.67,98.67,26.89,1.822,2.842
17,1,Breadth40_3d,53.923853923853926,4.725920963400684,3.64,120.73,33.17,2.006,3.118
12,1,Breadth40_1d,53.923853923853926,4.764003774029567,3.635,128.56,35.36,2.092,3.327
15,0,Breadth30_3d,70.55167055167055,5.0358207668986665,3.616,108.49,30.0,1.838,3.006
12,0,KP_MA200_5d,53.45765345765345,5.250423827366058,3.577,113.9,31.85,1.96,2.994
5,0,KK_MA60+HY_lt5.0_3d,50.19425019425019,4.778501097685903,3.564,89.76,25.19,1.73,2.71
15,0,Breadth40_3d,53.923853923853926,4.914261192201798,3.555,119.91,33.73,1.994,3.11
12,1,KP_MA200_5d,53.45765345765345,4.900054356327762,3.553,113.16,31.85,1.944,2.983
5,0,KQ_MA120_5d,54.623154623154626,4.931516028070392,3.549,120.93,34.07,1.98,3.099
31,0,KK_MA60+HY_lt5.0_3d,50.19425019425019,4.825826643333898,3.548,95.39,26.89,1.794,2.82
17,0,KQ_MA120_1d,54.39005439005439,5.208912157554182,3.54,108.65,30.69,1.87,2.94
31,0,KK_MA200_1d,44.83294483294483,4.909608953877909,3.535,105.08,29.72,1.872,2.87
31,0,KK_MA60_3d,50.660450660450664,4.863659711254216,3.532,94.96,26.89,1.788,2.811
14,0,KP_MA200_5d,53.45765345765345,5.380751804617387,3.519,114.99,32.68,1.968,3.036
17,1,KQ_MA120_1d,54.39005439005439,4.780234670485364,3.518,107.96,30.69,1.853,2.928
14,0,KQ_MA120_5d,54.623154623154626,4.854357562892267,3.515,124.04,35.29,2.015,3.151
14,1,KP_MA200_5d,53.45765345765345,5.025342116605335,3.508,114.25,32.57,1.951,3.024
17,0,KK_MA200_1d,44.83294483294483,4.909280373729293,3.5,102.9,29.4,1.859,2.838
5,0,KK_MA60_3d,50.660450660450664,4.723562056819002,3.495,88.03,25.19,1.707,2.677
12,0,KK_MA60+HY_lt5.0_3d,50.19425019425019,4.873599954047394,3.493,95.75,27.41,1.81,2.825
31,0,KP_MA200_7d,53.3022533022533,5.387155926761093,3.493,112.67,32.25,1.93,3.003
15,0,KQ_MA120_1d,54.39005439005439,5.127251436964557,3.481,108.13,31.07,1.86,2.932
15,4,KP_MA200_7d,53.3022533022533,4.857212038572248,3.471,117.45,33.84,2.085,3.294
