v,q,g,m,mom,g_sub,cal,cagr,mdd,sharpe,sortino
35,5,25,35,6m-1m,raccel+opm 5:5,0.456,29.68,65.15,0.831,1.222
15,10,20,55,6m-1m,rev+opm 7:3,0.456,31.71,69.61,0.858,1.23
35,5,30,30,6m,raccel+opm 5:5,0.453,28.16,62.12,0.791,1.228
15,15,20,50,6m,rev+oca 7:3,0.453,29.31,64.73,0.797,1.086
5,20,15,60,6m,rev+opm 7:3,0.453,31.1,68.59,0.831,1.233
15,0,20,65,6m-1m,rev+opm 7:3,0.453,32.91,72.67,0.867,1.254
25,10,15,50,6m,rev+opm 7:3,0.453,29.86,65.96,0.629,1.386
0,20,10,70,6m,raccel+opm 5:5,0.452,31.32,69.22,0.823,1.206
0,5,35,60,6m-1m,rev+oca 7:3,0.451,31.52,69.94,0.835,1.24
5,5,30,60,6m-1m,rev+oca 7:3,0.451,31.86,70.61,0.85,1.284
15,5,25,55,6m,rev+oca 7:3,0.451,29.55,65.54,0.8,1.132
25,10,15,50,6m,rev+oca 7:3,0.451,28.62,63.51,0.616,1.311
0,20,10,70,6m,rev+opm 7:3,0.451,33.86,75.14,0.865,1.268
10,20,15,55,6m-1m,rev+oca 7:3,0.45,32.16,71.53,0.861,1.259
15,0,20,65,6m-1m,rev+oca 7:3,0.45,32.51,72.29,0.862,1.271
15,15,20,50,6m-1m,rev+opm 7:3,0.45,32.76,72.75,0.874,1.268
35,5,10,50,6m,rev+opm 7:3,0.45,32.77,72.89,0.723,1.461
15,20,25,40,6m-1m,rev+opm 7:3,0.449,27.03,60.13,0.512,1.507
0,15,35,50,6m,rev+oca 7:3,0.448,29.1,64.92,0.791,1.228
5,5,25,65,6m-1m,rev+oca 7:3,0.448,30.05,67.04,0.819,1.205
10,0,20,70,6m,rev+opm 7:3,0.446,31.06,69.71,0.826,1.22
25,15,30,30,6m-1m,raccel+opm 5:5,0.445,23.09,51.88,0.695,1.037
20,10,20,50,6m-1m,rev+opm 7:3,0.444,32.03,72.09,0.857,1.25
5,15,15,65,6m,rev+opm 7:3,0.443,31.47,71.07,0.828,1.208
15,15,20,50,6m,rev+opm 7:3,0.443,28.64,64.6,0.794,1.139
30,10,20,40,6m,raccel+opm 5:5,0.441,28.35,64.33,0.799,1.17
0,20,25,55,6m,rev+oca 7:3,0.441,25.65,58.18,0.733,1.067
10,15,20,55,6m-1m,rev+oca 7:3,0.441,30.82,69.85,0.841,1.215
5,20,30,45,6m,raccel+opm 5:5,0.44,25.01,56.79,0.718,1.092
30,15,5,50,6m-1m,rev+oca 7:3,0.44,28.7,65.2,0.829,1.23
5,0,35,60,6m,raccel+opm 5:5,0.439,27.29,62.09,0.738,1.188
30,5,20,45,6m,raccel+opm 5:5,0.438,29.95,68.38,0.818,1.224
35,15,25,25,6m-1m,raccel+opm 5:5,0.438,25.34,57.91,0.748,1.086
20,10,25,45,6m,rev+oca 7:3,0.438,32.33,73.87,0.654,1.493
30,10,30,30,6m-1m,raccel+opm 5:5,0.437,27.13,62.03,0.776,1.179
15,15,20,50,6m-1m,rev+oca 7:3,0.436,29.82,68.43,0.82,1.176
0,15,25,60,6m-1m,rev+oca 7:3,0.435,27.34,62.78,0.771,1.147
25,15,15,45,6m,rev+oca 7:3,0.435,28.05,64.45,0.608,1.35
10,5,15,70,6m,rev+opm 7:3,0.434,32.28,74.33,0.839,1.23
35,5,25,35,6m,raccel+opm 5:5,0.431,26.59,61.62,0.762,1.13
5,10,30,55,6m-1m,rev+oca 7:3,0.431,28.4,65.88,0.789,1.201
15,20,15,50,6m-1m,rev+opm 7:3,0.431,28.2,65.42,0.794,1.139
30,15,25,30,6m-1m,raccel+opm 5:5,0.43,23.64,54.92,0.711,1.042
0,5,30,65,6m-1m,rev+opm 7:3,0.429,28.98,67.56,0.792,1.178
5,0,30,65,6m-1m,rev+opm 7:3,0.429,30.54,71.14,0.815,1.204
20,0,25,55,6m,rev+opm 7:3,0.428,33.16,77.51,0.859,1.287
15,0,25,60,6m-1m,rev+oca 7:3,0.427,29.56,69.17,0.81,1.208
0,15,25,60,6m-1m,rev+opm 7:3,0.427,26.43,61.89,0.75,1.097
20,0,20,60,6m,rev+opm 7:3,0.427,28.33,66.26,0.783,1.135
25,20,20,35,6m,raccel+opm 5:5,0.426,26.85,62.97,0.754,1.126
