v,q,g,m,mom,calmar,cagr,mdd,sharpe,sortino
0,25,60,15,12m-1m,0.998,41.01,41.09,1.036,1.546
10,25,10,55,6m,0.997,41.49,41.6,1.088,1.541
25,20,30,25,12m-1m,0.997,36.47,36.57,0.997,1.414
10,30,15,45,6m-1m,0.997,43.62,43.74,1.131,1.549
25,5,50,20,12m-1m,0.997,40.74,40.86,1.058,1.528
0,15,25,60,6m,0.996,41.04,41.22,1.057,1.525
15,20,40,25,12m,0.996,43.84,44.0,1.101,1.634
10,20,20,50,6m,0.996,41.86,42.01,1.082,1.529
25,15,10,50,6m,0.996,30.28,30.41,0.878,1.246
25,10,10,55,12m-1m,0.995,37.33,37.51,1.021,1.282
30,10,15,45,6m,0.995,28.13,28.28,0.826,1.17
15,15,30,40,6m,0.994,41.41,41.67,1.069,1.55
25,0,40,35,6m,0.994,35.72,35.95,0.972,1.418
0,25,50,25,6m,0.994,43.24,43.53,1.077,1.681
15,20,10,55,6m,0.993,47.25,47.58,1.184,1.66
15,20,10,55,12m-1m,0.992,35.45,35.74,0.993,1.384
20,10,40,30,6m,0.992,46.56,46.92,1.154,1.678
30,5,10,55,12m-1m,0.991,35.14,35.47,0.989,1.299
0,25,45,30,6m-1m,0.991,45.31,45.7,1.122,1.722
5,20,15,60,12m,0.99,38.58,38.96,1.032,1.488
0,10,30,60,6m-1m,0.99,37.64,38.01,1.017,1.475
0,20,60,20,12m,0.989,47.13,47.67,1.124,1.69
35,0,15,50,12m,0.989,34.4,34.8,0.984,1.333
5,25,50,20,12m,0.989,47.12,47.65,1.136,1.726
20,20,30,30,6m-1m,0.988,39.86,40.34,1.063,1.499
10,10,55,25,12m,0.988,46.51,47.05,1.131,1.658
25,0,20,55,6m,0.987,44.09,44.67,1.105,1.606
10,5,25,60,6m,0.987,47.68,48.29,1.184,1.698
5,40,15,40,12m,0.986,38.71,39.27,1.034,1.575
10,15,40,35,12m,0.986,45.95,46.62,1.126,1.678
0,40,10,50,6m-1m,0.985,40.08,40.68,1.067,1.526
10,25,10,55,12m,0.985,40.18,40.8,1.077,1.54
0,30,10,60,12m,0.983,36.8,37.45,1.005,1.451
5,5,40,50,6m-1m,0.981,44.49,45.35,1.113,1.618
5,30,35,30,6m,0.981,41.33,42.14,1.053,1.584
0,40,15,45,6m,0.981,47.06,47.98,1.165,1.644
15,10,55,20,12m,0.981,47.63,48.56,1.146,1.71
20,5,20,55,12m,0.981,36.79,37.48,0.973,1.332
30,0,40,30,12m,0.981,43.02,43.86,1.107,1.629
5,35,10,50,6m-1m,0.98,39.96,40.79,1.069,1.508
10,10,45,35,6m,0.979,46.54,47.54,1.15,1.694
5,25,10,60,12m,0.978,39.74,40.64,1.059,1.512
25,10,40,25,12m,0.978,40.12,41.01,1.061,1.55
35,0,25,40,12m,0.978,35.18,35.97,0.98,1.365
20,25,25,30,6m-1m,0.977,37.45,38.33,1.019,1.461
15,10,50,25,6m-1m,0.977,48.15,49.27,1.177,1.714
5,10,25,60,12m,0.976,40.54,41.52,1.062,1.542
5,10,60,25,12m-1m,0.976,43.3,44.37,1.069,1.616
10,10,55,25,12m-1m,0.975,46.94,48.14,1.141,1.723
15,25,30,30,6m-1m,0.975,38.47,39.45,1.022,1.504
15,30,15,40,12m-1m,0.974,39.07,40.1,1.071,1.522
10,30,10,50,6m,0.97,41.39,42.67,1.079,1.508
0,0,55,45,6m,0.97,51.92,53.51,1.234,1.846
0,15,40,45,12m,0.97,43.69,45.04,1.078,1.604
20,25,30,25,12m,0.97,39.78,41.02,1.042,1.531
20,15,50,15,12m-1m,0.97,38.06,39.22,1.008,1.49
25,15,40,20,12m,0.97,34.16,35.22,0.945,1.38
10,0,45,45,6m,0.969,49.54,51.14,1.196,1.747
35,0,40,25,12m,0.966,35.36,36.59,0.979,1.483
5,25,10,60,6m,0.966,40.48,41.88,1.065,1.511
0,15,45,40,12m-1m,0.966,42.57,44.09,1.066,1.623
25,0,55,20,12m,0.966,46.79,48.46,1.143,1.631
30,10,20,40,12m-1m,0.965,34.49,35.73,0.961,1.258
35,0,15,50,12m-1m,0.963,36.73,38.16,1.046,1.37
5,5,35,55,6m-1m,0.963,40.3,41.85,1.059,1.506
10,5,50,35,6m,0.963,50.76,52.71,1.223,1.837
30,15,15,40,12m,0.962,36.13,37.54,0.986,1.308
30,20,15,35,12m,0.961,32.55,33.89,0.931,1.355
10,10,20,60,12m,0.961,36.01,37.47,0.979,1.359
5,35,20,40,6m,0.961,45.63,47.5,1.137,1.618
5,5,35,55,12m-1m,0.961,43.18,44.92,1.098,1.592
10,20,35,35,6m-1m,0.96,41.23,42.94,1.045,1.47
5,25,40,30,6m,0.96,46.01,47.94,1.134,1.659
20,15,10,55,6m-1m,0.96,37.99,39.58,1.064,1.479
0,0,40,60,12m-1m,0.96,40.37,42.04,1.052,1.573
15,20,35,30,12m-1m,0.959,41.41,43.2,1.064,1.545
30,10,35,25,12m-1m,0.959,37.51,39.12,1.019,1.488
0,15,30,55,6m-1m,0.959,35.45,36.98,0.966,1.411
25,0,45,30,6m,0.959,43.5,45.35,1.118,1.588
20,20,20,40,6m,0.959,44.03,45.91,1.126,1.59
0,0,60,40,6m-1m,0.958,48.9,51.03,1.167,1.763
10,25,40,25,6m,0.957,40.86,42.68,1.056,1.582
35,0,30,35,12m-1m,0.957,32.94,34.42,0.956,1.467
10,5,50,35,6m-1m,0.956,47.36,49.56,1.158,1.731
0,15,40,45,6m-1m,0.956,42.53,44.51,1.073,1.585
10,30,25,35,6m-1m,0.955,39.23,41.09,1.022,1.512
15,10,45,30,6m,0.955,44.14,46.22,1.102,1.647
0,25,25,50,6m-1m,0.954,45.34,47.55,1.128,1.559
10,0,40,50,6m-1m,0.953,43.67,45.82,1.111,1.595
5,5,60,30,6m,0.953,49.7,52.16,1.18,1.803
0,10,40,50,6m,0.953,39.87,41.81,1.027,1.444
25,5,10,60,12m-1m,0.952,34.15,35.88,0.963,1.284
5,35,10,50,12m,0.951,42.4,44.57,1.104,1.621
5,0,35,60,6m,0.951,42.78,44.99,1.107,1.575
20,0,45,35,6m-1m,0.95,41.76,43.97,1.084,1.496
10,35,20,35,6m,0.95,44.55,46.88,1.121,1.619
0,35,30,35,6m-1m,0.949,42.58,44.87,1.066,1.597
0,10,55,35,6m,0.948,45.85,48.35,1.128,1.716
15,5,50,30,6m,0.947,47.06,49.7,1.157,1.731
5,35,15,45,6m,0.947,42.53,44.93,1.105,1.547
10,35,20,35,12m-1m,0.947,39.87,42.1,1.047,1.561
5,20,15,60,6m-1m,0.947,41.14,43.47,1.086,1.527
5,25,45,25,12m,0.947,42.79,45.18,1.073,1.62
25,5,25,45,12m,0.946,35.48,37.51,0.963,1.337
10,25,35,30,12m-1m,0.945,44.47,47.07,1.113,1.68
10,20,15,55,6m,0.944,43.53,46.13,1.121,1.579
5,15,45,35,12m,0.944,46.59,49.34,1.128,1.696
25,15,15,45,12m,0.944,37.25,39.46,1.004,1.294
25,15,25,35,6m,0.944,40.09,42.48,1.048,1.545
5,25,35,35,12m-1m,0.943,42.77,45.33,1.074,1.638
0,40,25,35,12m-1m,0.942,40.6,43.1,1.047,1.598
10,35,25,30,6m-1m,0.942,39.51,41.94,1.038,1.536
20,10,50,20,6m,0.942,45.5,48.31,1.142,1.679
5,25,10,60,12m-1m,0.941,36.23,38.5,0.996,1.43
20,20,40,20,12m,0.941,37.28,39.62,1.006,1.482
0,25,50,25,6m-1m,0.941,41.91,44.53,1.04,1.549
30,15,10,45,12m-1m,0.941,32.79,34.84,0.967,1.295
25,10,10,55,6m,0.94,35.07,37.32,0.966,1.362
0,0,45,55,6m,0.938,44.16,47.11,1.113,1.634
0,30,10,60,6m-1m,0.937,37.54,40.05,1.024,1.459
15,25,15,45,6m,0.937,43.15,46.04,1.121,1.573
25,5,15,55,12m-1m,0.937,36.34,38.77,0.994,1.278
15,5,25,55,6m,0.937,42.35,45.18,1.07,1.479
25,30,20,25,12m,0.937,38.18,40.74,1.027,1.464
5,40,20,35,6m-1m,0.936,44.91,47.99,1.136,1.666
20,20,35,25,12m-1m,0.935,37.41,39.99,1.008,1.466
0,0,55,45,6m-1m,0.934,44.34,47.48,1.105,1.592
15,10,40,35,6m,0.934,43.45,46.52,1.091,1.567
15,15,10,60,12m-1m,0.933,34.91,37.41,0.982,1.399
0,25,45,30,12m-1m,0.933,42.05,45.06,1.064,1.629
15,5,45,35,6m-1m,0.933,43.91,47.07,1.117,1.664
0,0,65,35,6m,0.933,51.25,54.94,1.197,1.831
0,20,45,35,12m-1m,0.933,41.94,44.94,1.061,1.642
0,20,55,25,12m,0.933,45.41,48.68,1.106,1.671
5,25,50,20,12m-1m,0.932,41.39,44.4,1.037,1.565
10,20,10,60,12m,0.932,37.43,40.18,1.016,1.459
15,5,45,35,6m,0.932,49.23,52.82,1.195,1.736
30,15,10,45,6m-1m,0.932,31.74,34.06,0.933,1.327
30,10,30,30,12m,0.931,36.48,39.21,1.002,1.479
5,30,10,55,12m-1m,0.93,36.16,38.87,0.993,1.435
10,35,15,40,6m,0.93,42.51,45.69,1.095,1.545
20,5,40,35,6m-1m,0.929,41.31,44.47,1.07,1.496
25,20,25,30,12m,0.929,36.96,39.8,0.993,1.368
0,40,20,40,6m-1m,0.929,43.33,46.63,1.097,1.592
15,20,10,55,12m,0.927,37.67,40.64,1.033,1.456
20,15,40,25,12m,0.926,41.0,44.28,1.066,1.545
10,30,35,25,6m-1m,0.926,37.23,40.2,0.988,1.471
35,0,10,55,12m-1m,0.926,36.01,38.88,1.042,1.37
5,40,15,40,12m-1m,0.926,41.36,44.66,1.083,1.65
0,35,10,55,6m,0.926,42.09,45.46,1.096,1.536
0,30,10,60,6m,0.925,39.45,42.63,1.051,1.508
25,0,25,50,12m-1m,0.924,42.01,45.46,1.107,1.507
15,15,45,25,6m,0.924,41.19,44.57,1.06,1.593
0,35,30,35,12m,0.924,45.93,49.71,1.121,1.727
0,25,50,25,12m,0.924,41.01,44.39,1.036,1.576
5,25,15,55,6m,0.923,42.38,45.92,1.101,1.543
30,10,15,45,12m-1m,0.922,31.47,34.11,0.909,1.16
20,15,30,35,6m,0.922,41.87,45.41,1.08,1.596
10,15,15,60,6m-1m,0.922,43.38,47.05,1.124,1.579
0,5,55,40,6m-1m,0.921,44.79,48.62,1.105,1.668
5,5,30,60,6m,0.92,38.66,42.02,1.021,1.43
25,10,45,20,12m-1m,0.92,40.14,43.64,1.049,1.506
0,10,35,55,6m-1m,0.92,38.03,41.34,1.018,1.499
25,20,30,25,6m-1m,0.919,33.19,36.11,0.942,1.357
10,25,10,55,12m-1m,0.917,33.46,36.49,0.952,1.356
5,40,10,45,12m,0.916,36.83,40.23,1.002,1.498
5,5,65,25,12m,0.916,44.3,48.37,1.066,1.655
0,25,60,15,12m,0.916,40.48,44.17,1.019,1.52
10,25,35,30,6m,0.915,41.52,45.4,1.055,1.571
25,20,35,20,12m,0.913,33.0,36.14,0.927,1.352
10,40,10,40,12m,0.913,35.07,38.39,0.98,1.457
5,0,60,35,6m-1m,0.913,46.37,50.81,1.12,1.71
10,20,40,30,12m,0.913,42.43,46.46,1.068,1.608
20,25,30,25,12m-1m,0.912,34.97,38.36,0.961,1.391
20,20,25,35,6m,0.912,41.79,45.81,1.083,1.563
15,5,20,60,6m,0.911,40.0,43.89,1.036,1.452
0,35,10,55,12m,0.909,37.97,41.76,1.026,1.478
5,20,50,25,12m-1m,0.908,45.77,50.42,1.107,1.658
5,15,60,20,12m-1m,0.907,44.57,49.16,1.086,1.635
15,25,20,40,6m-1m,0.906,42.52,46.92,1.115,1.55
0,30,35,35,12m-1m,0.906,37.41,41.27,0.984,1.505
0,35,20,45,6m,0.906,46.91,51.77,1.163,1.606
15,20,40,25,12m-1m,0.906,41.59,45.92,1.063,1.531
0,30,35,35,6m-1m,0.905,41.9,46.29,1.051,1.558
20,20,30,30,12m-1m,0.904,38.96,43.11,1.033,1.506
0,25,35,40,6m-1m,0.904,40.63,44.95,1.04,1.54
25,5,15,55,6m,0.904,39.84,44.09,1.044,1.518
30,5,25,40,6m,0.904,36.46,40.35,0.977,1.467
0,25,15,60,12m,0.903,36.3,40.19,0.989,1.417
35,5,20,40,6m-1m,0.903,34.34,38.04,0.976,1.425
35,5,15,45,6m-1m,0.903,32.04,35.49,0.941,1.389
0,5,70,25,12m-1m,0.902,41.97,46.55,1.033,1.576
10,5,60,25,12m,0.901,45.3,50.26,1.1,1.661
15,20,20,45,6m,0.901,40.1,44.48,1.059,1.486
20,5,50,25,6m,0.901,46.92,52.1,1.158,1.687
25,0,25,50,12m,0.9,35.81,39.77,0.963,1.327
5,15,50,30,6m,0.9,40.2,44.66,1.034,1.59
20,15,50,15,12m,0.9,36.8,40.87,0.986,1.473
35,10,30,25,6m,0.899,35.78,39.79,0.979,1.408
25,10,50,15,12m-1m,0.898,40.19,44.75,1.051,1.53
5,5,50,40,6m,0.898,48.51,54.0,1.19,1.754
20,20,15,45,6m,0.898,39.43,43.9,1.052,1.499
15,25,35,25,12m-1m,0.896,36.18,40.4,0.98,1.447
0,10,65,25,6m,0.896,38.99,43.52,0.98,1.485
0,25,55,20,12m,0.896,42.32,47.25,1.049,1.566
30,0,35,35,12m-1m,0.895,37.09,41.45,1.026,1.485
20,25,15,40,6m-1m,0.895,38.95,43.54,1.062,1.483
0,0,45,55,6m-1m,0.895,37.42,41.79,1.004,1.46
0,30,45,25,12m,0.895,40.33,45.06,1.032,1.606
10,30,10,50,6m-1m,0.895,42.34,47.31,1.129,1.632
25,15,40,20,12m-1m,0.894,31.46,35.2,0.9,1.301
0,0,40,60,6m-1m,0.894,38.39,42.95,1.022,1.469
20,5,35,40,6m-1m,0.894,38.58,43.18,1.02,1.369
15,25,10,50,6m,0.894,42.62,47.65,1.1,1.541
20,0,50,30,6m,0.893,44.16,49.47,1.111,1.605
20,0,55,25,6m,0.893,46.35,51.89,1.14,1.532
10,40,15,35,12m,0.892,38.62,43.28,1.024,1.553
15,35,20,30,12m,0.892,38.8,43.51,1.038,1.5
5,5,50,40,6m-1m,0.892,44.9,50.33,1.115,1.672
15,15,40,30,6m-1m,0.891,38.17,42.86,0.997,1.448
30,5,20,45,12m,0.891,34.23,38.43,0.95,1.278
5,40,20,35,12m-1m,0.891,41.07,46.07,1.067,1.628
25,0,35,40,6m,0.891,36.71,41.21,1.0,1.439
5,20,60,15,12m-1m,0.89,38.62,43.38,0.987,1.441
5,5,65,25,12m-1m,0.89,42.54,47.79,1.04,1.61
15,25,10,50,12m,0.89,34.07,38.26,0.971,1.342
15,25,40,20,6m-1m,0.89,33.87,38.06,0.927,1.386
25,30,15,30,12m-1m,0.889,29.75,33.47,0.88,1.231
0,5,45,50,6m,0.889,40.87,45.97,1.064,1.572
5,20,40,35,12m-1m,0.888,40.37,45.44,1.024,1.505
20,30,15,35,12m-1m,0.888,37.39,42.11,1.037,1.489
10,30,30,30,6m-1m,0.888,41.66,46.89,1.059,1.597
25,0,20,55,12m,0.888,36.4,40.97,0.978,1.329
0,0,50,50,6m,0.888,44.21,49.79,1.111,1.62
5,0,50,45,6m-1m,0.887,41.33,46.59,1.062,1.569
0,25,55,20,12m-1m,0.886,42.66,48.17,1.053,1.555
0,20,60,20,12m-1m,0.886,42.14,47.56,1.05,1.553
20,20,25,35,12m-1m,0.886,33.87,38.22,0.947,1.364
0,15,60,25,12m-1m,0.884,45.21,51.14,1.092,1.647
20,25,25,30,6m,0.884,32.37,36.6,0.918,1.291
10,25,15,50,6m,0.883,42.72,48.4,1.106,1.566
10,25,35,30,12m,0.882,37.22,42.19,0.988,1.496
15,30,20,35,6m,0.881,37.62,42.71,1.014,1.436
10,20,45,25,6m-1m,0.881,45.98,52.19,1.122,1.658
25,5,15,55,12m,0.881,36.91,41.91,1.002,1.306
30,10,20,40,12m,0.88,31.61,35.92,0.888,1.173
5,10,55,30,6m,0.88,46.77,53.13,1.145,1.722
25,0,30,45,6m,0.879,35.64,40.53,0.966,1.376
5,25,45,25,6m,0.879,40.02,45.53,1.027,1.538
20,5,45,30,6m,0.879,44.21,50.3,1.108,1.614
0,20,45,35,6m-1m,0.878,42.59,48.48,1.062,1.573
15,10,55,20,12m-1m,0.878,41.74,47.52,1.051,1.598
0,10,35,55,6m,0.878,39.19,44.66,1.025,1.477
0,5,55,40,6m,0.877,47.91,54.6,1.164,1.721
5,20,60,15,12m,0.877,39.53,45.06,0.998,1.453
20,10,45,25,6m,0.877,41.11,46.88,1.057,1.541
0,15,50,35,6m-1m,0.876,39.84,45.5,1.021,1.539
5,20,40,35,6m-1m,0.876,38.86,44.37,1.01,1.502
15,10,20,55,6m,0.875,42.66,48.76,1.081,1.536
0,15,65,20,12m,0.874,45.03,51.54,1.083,1.659
15,20,10,55,6m-1m,0.874,33.85,38.75,0.967,1.351
0,25,40,35,6m-1m,0.874,39.99,45.77,1.016,1.511
0,30,45,25,6m,0.873,39.39,45.12,1.002,1.519
0,25,35,40,12m-1m,0.873,38.03,43.55,0.989,1.513
5,0,40,55,12m-1m,0.872,37.59,43.11,1.003,1.452
5,0,40,55,6m-1m,0.871,37.16,42.66,0.992,1.417
10,5,60,25,12m-1m,0.87,44.35,51.01,1.09,1.656
15,10,15,60,6m,0.87,41.14,47.29,1.063,1.552
15,25,15,45,6m-1m,0.869,35.78,41.18,0.992,1.407
15,5,40,40,6m,0.869,41.12,47.33,1.053,1.492
20,5,50,25,6m-1m,0.868,42.28,48.71,1.088,1.616
25,15,50,10,6m-1m,0.867,33.55,38.71,0.91,1.326
5,5,45,45,6m-1m,0.867,39.7,45.79,1.039,1.549
5,15,20,60,12m,0.867,36.06,41.61,0.975,1.412
30,20,15,35,12m-1m,0.866,34.9,40.29,0.983,1.365
5,20,55,20,12m-1m,0.866,41.55,47.98,1.047,1.556
15,0,45,40,6m,0.866,46.02,53.11,1.142,1.677
5,30,30,35,12m-1m,0.865,38.12,44.1,1.0,1.524
30,0,45,25,12m-1m,0.864,37.31,43.17,1.02,1.504
25,15,45,15,12m,0.864,34.91,40.41,0.959,1.403
10,35,25,30,12m-1m,0.863,39.73,46.03,1.035,1.553
0,15,35,50,6m-1m,0.862,37.27,43.25,0.983,1.397
0,35,15,50,6m,0.862,43.72,50.7,1.113,1.536
5,40,10,45,6m-1m,0.861,39.68,46.06,1.055,1.499
30,10,10,50,12m,0.861,31.89,37.04,0.936,1.233
5,5,45,45,6m,0.861,40.04,46.52,1.044,1.525
5,10,45,40,6m-1m,0.86,40.78,47.43,1.048,1.571
5,25,40,30,6m-1m,0.859,39.22,45.63,1.018,1.543
0,20,40,40,12m-1m,0.859,36.44,42.45,0.968,1.473
15,5,60,20,12m,0.859,45.22,52.63,1.108,1.637
25,5,20,50,12m,0.858,35.0,40.81,0.949,1.336
15,0,60,25,12m-1m,0.857,44.28,51.67,1.093,1.651
5,40,15,40,6m,0.857,45.4,52.96,1.137,1.609
30,10,30,30,6m,0.856,34.24,40.02,0.961,1.404
35,15,30,20,12m,0.856,33.67,39.35,0.952,1.376
10,20,50,20,12m,0.855,39.04,45.68,1.01,1.474
10,30,25,35,6m,0.855,40.22,47.04,1.046,1.531
15,25,25,35,6m,0.854,39.37,46.09,1.043,1.501
0,20,20,60,6m,0.854,38.02,44.53,1.007,1.414
5,15,40,40,6m-1m,0.854,37.73,44.17,1.005,1.474
0,25,40,35,12m,0.853,37.78,44.27,0.982,1.497
30,0,15,55,12m,0.853,34.97,40.99,0.98,1.313
20,15,50,15,6m-1m,0.852,36.57,42.94,0.968,1.416
25,25,20,30,12m,0.852,32.99,38.71,0.922,1.274
0,10,50,40,6m-1m,0.852,42.04,49.34,1.059,1.595
10,35,15,40,6m-1m,0.851,38.77,45.55,1.041,1.463
5,10,40,45,6m-1m,0.85,40.19,47.31,1.045,1.528
5,40,10,45,12m-1m,0.848,34.79,41.01,0.976,1.456
25,5,55,15,12m-1m,0.848,36.14,42.63,0.965,1.371
30,0,10,60,6m-1m,0.848,34.35,40.49,0.984,1.435
10,35,10,45,12m-1m,0.848,30.64,36.14,0.898,1.314
20,10,55,15,6m-1m,0.847,36.3,42.83,0.95,1.411
10,20,35,35,12m,0.844,39.28,46.56,1.014,1.518
10,30,30,30,12m,0.844,36.44,43.16,0.971,1.45
5,5,60,30,12m-1m,0.842,40.64,48.29,1.024,1.548
30,10,25,35,12m,0.842,32.39,38.45,0.908,1.285
35,0,20,45,6m,0.841,32.34,38.46,0.928,1.373
25,0,35,40,6m-1m,0.841,37.33,44.38,1.011,1.495
5,40,15,40,6m-1m,0.84,37.71,44.9,1.008,1.437
20,20,35,25,6m-1m,0.839,35.41,42.21,0.977,1.416
15,5,55,25,12m-1m,0.839,44.36,52.88,1.1,1.649
15,20,40,25,6m,0.839,38.9,46.36,1.017,1.504
0,5,40,55,12m,0.839,41.36,49.28,1.072,1.59
5,30,45,20,12m-1m,0.838,36.4,43.44,0.964,1.442
5,20,40,35,12m,0.837,37.54,44.84,0.985,1.492
25,0,40,35,6m-1m,0.836,36.02,43.06,0.983,1.369
5,40,20,35,12m,0.836,39.65,47.44,1.035,1.563
10,10,50,30,6m,0.835,43.98,52.67,1.106,1.646
25,15,25,35,6m-1m,0.834,41.89,50.25,1.093,1.473
20,30,20,30,12m-1m,0.834,32.19,38.6,0.919,1.316
15,10,50,25,6m,0.834,39.54,47.42,1.029,1.521
5,40,25,30,6m-1m,0.833,34.57,41.52,0.948,1.417
0,5,35,60,6m-1m,0.833,39.7,47.67,1.045,1.5
0,5,40,55,6m,0.833,35.6,42.75,0.957,1.36
20,25,30,25,6m-1m,0.832,31.85,38.27,0.904,1.301
15,25,25,35,12m-1m,0.83,38.05,45.85,1.009,1.465
20,10,15,55,6m,0.83,35.34,42.58,0.963,1.373
30,0,45,25,12m,0.829,35.89,43.31,0.978,1.399
15,30,25,30,12m-1m,0.828,36.34,43.88,0.989,1.445
20,20,15,45,12m,0.828,36.87,44.52,1.0,1.34
20,0,20,60,6m,0.828,34.28,41.42,0.942,1.34
25,15,35,25,12m-1m,0.827,30.8,37.26,0.892,1.264
10,30,30,30,12m-1m,0.826,33.6,40.68,0.921,1.382
25,5,30,40,6m-1m,0.825,35.39,42.89,0.96,1.304
5,5,60,30,6m-1m,0.824,41.91,50.88,1.056,1.582
25,0,55,20,12m-1m,0.824,42.34,51.4,1.081,1.642
0,25,45,30,6m,0.824,40.72,49.41,1.038,1.541
15,0,60,25,6m-1m,0.824,43.7,53.06,1.077,1.499
5,0,70,25,12m-1m,0.822,41.77,50.81,1.032,1.604
30,5,10,55,12m,0.821,31.19,37.97,0.909,1.211
10,15,50,25,6m,0.821,37.72,45.97,0.997,1.47
10,35,25,30,12m,0.821,37.42,45.57,0.996,1.484
0,40,15,45,6m-1m,0.821,37.26,45.4,0.998,1.423
5,25,45,25,6m-1m,0.82,38.93,47.46,1.004,1.498
5,10,65,20,12m,0.82,38.73,47.21,0.986,1.513
15,10,40,35,6m-1m,0.819,40.88,49.94,1.059,1.535
10,35,30,25,6m-1m,0.819,33.73,41.16,0.929,1.367
15,25,40,20,12m-1m,0.819,32.69,39.91,0.901,1.344
35,15,25,25,6m,0.818,32.35,39.57,0.92,1.292
35,5,35,25,12m,0.818,35.1,42.93,0.973,1.409
5,30,10,55,6m,0.817,38.22,46.78,1.029,1.461
0,10,55,35,6m-1m,0.816,42.2,51.69,1.051,1.602
30,15,25,30,6m,0.816,40.7,49.86,1.068,1.517
35,0,25,40,12m-1m,0.815,33.6,41.21,0.958,1.292
25,25,25,25,12m,0.813,32.84,40.39,0.913,1.283
20,20,30,30,6m,0.813,37.98,46.73,1.014,1.471
25,20,10,45,6m-1m,0.813,31.97,39.31,0.946,1.285
0,20,40,40,12m,0.812,36.61,45.11,0.955,1.446
15,30,25,30,12m,0.811,34.69,42.76,0.953,1.399
10,10,50,30,6m-1m,0.811,39.27,48.41,1.027,1.525
0,15,60,25,6m,0.81,40.03,49.39,0.996,1.51
5,10,50,35,6m,0.81,38.44,47.49,1.012,1.516
20,25,35,20,12m-1m,0.809,29.76,36.8,0.86,1.265
5,0,65,30,6m-1m,0.809,42.04,51.93,1.052,1.6
25,10,50,15,12m,0.809,36.6,45.23,0.98,1.417
5,15,55,25,6m,0.808,35.9,44.42,0.944,1.426
20,20,35,25,12m,0.808,36.14,44.71,0.98,1.446
20,10,50,20,6m-1m,0.808,42.91,53.09,1.091,1.603
15,30,30,25,12m-1m,0.808,32.65,40.38,0.914,1.333
5,30,35,30,6m-1m,0.805,37.39,46.46,0.98,1.458
0,35,30,35,6m,0.804,39.89,49.58,1.022,1.485
10,0,65,25,12m,0.804,43.39,53.97,1.072,1.623
0,0,65,35,6m-1m,0.803,43.96,54.74,1.077,1.657
10,25,45,20,12m-1m,0.802,35.84,44.69,0.952,1.408
30,10,25,35,6m,0.802,31.66,39.47,0.898,1.305
0,35,35,30,12m,0.801,40.53,50.58,1.022,1.552
5,25,40,30,12m-1m,0.8,38.94,48.65,1.012,1.513
0,20,60,20,6m,0.8,40.18,50.24,1.005,1.561
30,20,20,30,12m-1m,0.799,34.96,43.75,0.969,1.379
25,5,55,15,12m,0.799,38.09,47.66,0.981,1.359
35,0,35,30,6m,0.799,33.05,41.35,0.945,1.416
30,5,30,35,6m-1m,0.797,34.04,42.71,0.959,1.43
20,35,10,35,12m,0.796,32.31,40.58,0.931,1.344
5,30,40,25,12m-1m,0.796,33.78,42.42,0.917,1.389
10,15,60,15,12m,0.795,37.54,47.24,0.968,1.407
15,10,15,60,12m,0.793,35.77,45.11,0.969,1.317
25,5,10,60,6m,0.792,31.22,39.42,0.89,1.284
35,0,45,20,12m,0.792,34.98,44.2,0.973,1.426
30,0,25,45,12m,0.791,32.94,41.66,0.924,1.275
0,5,40,55,6m-1m,0.791,34.23,43.28,0.941,1.348
0,35,35,30,6m-1m,0.791,38.99,49.29,1.011,1.511
5,35,30,30,12m,0.79,39.16,49.59,1.012,1.541
10,0,65,25,6m,0.79,42.61,53.95,1.036,1.462
30,10,35,25,12m,0.79,32.14,40.68,0.921,1.323
20,5,55,20,6m-1m,0.788,39.26,49.85,1.01,1.478
25,0,15,60,6m,0.787,30.94,39.32,0.889,1.256
35,20,25,20,12m,0.787,30.28,38.49,0.898,1.312
25,0,50,25,6m-1m,0.787,39.16,49.77,1.048,1.543
25,10,25,40,6m-1m,0.787,40.19,51.06,1.046,1.4
20,10,15,55,12m,0.787,28.81,36.6,0.834,1.094
0,20,25,55,6m-1m,0.786,31.82,40.51,0.897,1.245
10,15,15,60,12m,0.786,32.16,40.91,0.892,1.162
0,15,45,40,12m,0.786,37.14,47.23,0.973,1.453
10,25,50,15,12m-1m,0.786,34.74,44.19,0.932,1.343
20,20,10,50,6m,0.786,33.75,42.91,0.944,1.339
25,5,45,25,6m,0.786,41.92,53.31,1.087,1.552
25,25,20,30,12m-1m,0.784,36.55,46.59,0.999,1.438
15,25,30,30,12m,0.783,37.55,47.95,0.995,1.467
15,25,30,30,12m-1m,0.783,32.5,41.53,0.911,1.329
20,15,45,20,6m-1m,0.783,35.66,45.55,0.96,1.389
10,25,45,20,6m-1m,0.783,36.22,46.26,0.964,1.431
5,10,50,35,6m-1m,0.783,40.36,51.51,1.039,1.545
20,30,25,25,12m-1m,0.781,32.59,41.71,0.921,1.333
15,15,55,15,12m-1m,0.781,34.45,44.11,0.923,1.333
5,30,35,30,12m,0.778,34.08,43.79,0.917,1.392
20,15,45,20,6m,0.778,34.8,44.7,0.95,1.415
10,35,10,45,6m-1m,0.777,35.17,45.28,0.974,1.344
25,30,15,30,12m,0.776,28.74,37.04,0.847,1.192
0,40,30,30,6m-1m,0.776,39.72,51.2,1.022,1.517
5,30,50,15,12m,0.775,35.66,46.03,0.945,1.393
