v,q,g,m,mom,calmar,cagr,mdd,sharpe,sortino
5,15,30,50,6m-1m,1.486,48.18,32.41,1.193,1.75
0,20,30,50,12m,1.485,56.92,38.32,1.317,2.025
20,0,25,55,6m-1m,1.477,57.52,38.95,1.346,1.946
15,20,25,40,6m-1m,1.476,49.0,33.2,1.225,1.734
10,20,25,45,6m,1.476,53.27,36.08,1.278,1.863
25,0,45,30,12m,1.476,62.15,42.12,1.423,2.091
10,0,50,40,12m,1.473,65.96,44.78,1.464,2.215
0,20,20,60,12m-1m,1.472,45.22,30.72,1.141,1.671
0,15,60,25,12m,1.471,65.2,44.33,1.382,2.157
0,35,15,50,12m,1.466,53.96,36.8,1.313,1.975
10,30,15,45,6m,1.464,50.67,34.61,1.253,1.797
5,20,25,50,6m,1.463,51.92,35.49,1.246,1.827
25,0,15,60,6m-1m,1.463,49.15,33.6,1.223,1.81
25,15,30,30,12m-1m,1.461,50.02,34.24,1.252,1.809
10,25,15,50,12m,1.459,56.39,38.65,1.353,1.928
20,5,20,55,12m-1m,1.458,55.58,38.13,1.342,1.853
10,20,35,35,6m,1.456,54.87,37.68,1.275,1.928
15,20,20,45,12m-1m,1.456,52.33,35.93,1.3,1.861
5,25,20,50,12m,1.454,55.27,38.03,1.312,1.945
10,10,35,45,12m,1.453,59.63,41.05,1.346,2.011
10,0,50,40,12m-1m,1.453,64.27,44.24,1.443,2.195
25,10,30,35,12m,1.449,50.48,34.85,1.235,1.835
30,10,20,40,6m-1m,1.449,45.26,31.23,1.155,1.658
5,35,15,45,12m,1.449,55.03,37.99,1.32,1.982
10,15,30,45,12m,1.448,64.42,44.49,1.415,2.131
20,20,25,35,6m-1m,1.447,51.9,35.88,1.277,1.802
25,5,30,40,12m,1.444,52.6,36.43,1.272,1.858
5,25,25,45,6m,1.443,50.79,35.2,1.229,1.801
15,15,20,50,12m-1m,1.443,49.0,33.96,1.235,1.72
15,25,20,40,12m,1.442,53.21,36.9,1.289,1.833
15,25,25,35,6m-1m,1.442,54.2,37.58,1.304,1.847
0,35,15,50,12m-1m,1.441,49.95,34.66,1.24,1.887
10,5,35,50,12m,1.44,54.81,38.06,1.302,1.963
5,15,35,45,12m-1m,1.435,60.46,42.14,1.366,2.049
5,20,20,55,6m-1m,1.434,46.77,32.61,1.176,1.65
5,15,30,50,12m,1.432,59.31,41.42,1.363,2.046
5,25,25,45,12m-1m,1.432,56.15,39.22,1.312,1.979
5,20,30,45,12m,1.43,55.06,38.52,1.265,1.895
0,25,30,45,6m,1.429,54.28,37.98,1.277,1.9
5,25,30,40,6m,1.426,53.7,37.65,1.262,1.878
25,0,35,40,12m,1.425,51.71,36.29,1.267,1.87
5,5,35,55,6m,1.423,53.01,37.24,1.263,1.821
20,15,30,35,12m,1.421,54.32,38.24,1.279,1.885
15,25,15,45,12m,1.419,51.1,36.0,1.26,1.776
5,20,15,60,12m-1m,1.418,47.73,33.65,1.198,1.753
5,20,20,55,12m-1m,1.417,44.3,31.26,1.133,1.628
15,10,40,35,12m,1.416,61.93,43.72,1.388,2.054
0,25,40,35,6m,1.416,55.16,38.96,1.279,1.893
10,15,25,50,6m,1.414,55.14,39.0,1.3,1.91
15,0,35,50,12m,1.414,56.1,39.66,1.316,1.871
10,15,20,55,6m-1m,1.414,55.55,39.28,1.338,1.897
20,10,40,30,12m-1m,1.413,58.62,41.49,1.371,2.075
5,0,50,45,12m,1.411,59.83,42.4,1.361,2.007
5,20,20,55,6m,1.411,55.0,38.97,1.303,1.885
5,10,35,50,6m,1.41,54.0,38.3,1.272,1.841
5,30,20,45,12m-1m,1.409,55.43,39.34,1.317,1.964
25,20,10,45,12m-1m,1.404,41.29,29.4,1.135,1.603
15,20,15,50,12m,1.404,49.1,34.97,1.23,1.724
10,15,30,45,6m-1m,1.404,49.59,35.32,1.211,1.736
10,5,25,60,12m-1m,1.403,54.09,38.56,1.288,1.837
0,10,65,25,12m,1.401,65.62,46.84,1.381,2.149
20,15,25,40,6m,1.401,48.43,34.57,1.198,1.747
5,15,40,40,6m,1.4,54.07,38.61,1.263,1.882
0,15,35,50,6m,1.4,55.72,39.8,1.283,1.882
20,10,20,50,12m-1m,1.4,48.98,34.99,1.24,1.752
0,10,50,40,6m,1.399,55.89,39.94,1.293,1.981
20,5,45,30,12m-1m,1.398,60.89,43.55,1.411,2.098
20,0,40,40,6m,1.395,49.68,35.6,1.218,1.735
5,0,55,40,12m-1m,1.394,62.66,44.96,1.394,2.149
15,10,30,45,6m-1m,1.394,55.21,39.62,1.309,1.802
10,0,35,55,12m,1.393,53.41,38.33,1.278,1.838
5,25,30,40,12m,1.39,54.21,39.0,1.255,1.911
10,25,20,45,6m,1.39,54.23,39.02,1.306,1.869
15,5,40,40,12m-1m,1.39,55.34,39.82,1.301,1.837
25,0,25,50,6m-1m,1.39,53.06,38.18,1.295,1.867
10,30,20,40,6m,1.389,51.69,37.22,1.253,1.837
10,10,30,50,6m,1.389,54.61,39.31,1.287,1.903
5,0,55,40,12m,1.388,64.2,46.26,1.417,2.17
0,20,30,50,12m-1m,1.388,52.18,37.6,1.258,1.928
0,25,35,40,6m,1.387,55.31,39.86,1.281,1.847
20,15,30,35,12m-1m,1.386,53.12,38.31,1.292,1.93
5,25,15,55,12m,1.386,53.86,38.86,1.317,1.884
5,10,40,45,12m-1m,1.385,61.09,44.12,1.373,2.065
0,30,25,45,6m,1.385,55.99,40.42,1.31,1.931
15,0,55,30,12m,1.382,63.35,45.84,1.412,2.113
10,5,30,55,12m-1m,1.382,50.91,36.82,1.239,1.816
25,10,20,45,12m-1m,1.381,46.5,33.67,1.212,1.681
25,5,15,55,6m-1m,1.38,44.68,32.38,1.156,1.649
15,20,20,45,12m,1.379,50.68,36.75,1.24,1.781
25,10,30,35,12m-1m,1.379,48.05,34.84,1.202,1.629
15,0,50,35,12m-1m,1.378,59.1,42.9,1.36,2.043
20,5,40,35,12m-1m,1.377,51.31,37.25,1.231,1.705
10,0,55,35,6m,1.375,68.66,49.92,1.5,2.269
15,5,35,45,12m-1m,1.374,56.05,40.8,1.315,1.911
10,20,25,45,6m-1m,1.37,44.97,32.83,1.151,1.634
20,10,40,30,12m,1.369,56.56,41.31,1.32,1.931
0,5,55,40,12m-1m,1.369,64.76,47.29,1.404,2.22
25,10,10,55,6m-1m,1.369,40.11,29.3,1.094,1.509
5,10,30,55,12m-1m,1.369,53.33,38.95,1.273,1.87
15,0,25,60,6m-1m,1.368,46.35,33.89,1.168,1.653
15,0,45,40,12m-1m,1.368,58.03,42.41,1.363,2.1
10,5,25,60,12m,1.367,46.63,34.11,1.161,1.603
20,25,20,35,12m-1m,1.366,45.37,33.2,1.165,1.676
0,35,20,45,12m-1m,1.364,50.76,37.22,1.229,1.872
10,20,45,25,12m-1m,1.363,55.07,40.4,1.284,1.96
5,10,30,55,12m,1.363,56.24,41.25,1.332,1.964
20,0,35,45,6m-1m,1.362,52.06,38.22,1.27,1.839
25,0,35,40,12m-1m,1.361,51.6,37.9,1.273,1.886
30,5,35,30,12m-1m,1.361,46.65,34.27,1.2,1.794
10,20,20,50,12m,1.358,47.64,35.07,1.192,1.731
20,25,10,45,12m,1.357,42.5,31.31,1.137,1.616
5,25,25,45,6m-1m,1.356,45.15,33.3,1.146,1.617
25,10,15,50,6m-1m,1.355,45.95,33.9,1.193,1.635
5,15,25,55,6m-1m,1.353,46.63,34.47,1.18,1.7
15,5,50,30,12m,1.349,61.93,45.89,1.383,2.063
15,10,45,30,12m,1.345,62.91,46.79,1.404,2.076
0,20,25,55,12m,1.345,48.36,35.95,1.193,1.761
5,5,45,45,12m,1.344,59.31,44.14,1.341,2.005
30,5,30,35,12m,1.343,46.34,34.5,1.177,1.794
10,30,25,35,12m-1m,1.343,50.74,37.77,1.229,1.865
25,5,20,50,6m-1m,1.34,49.73,37.1,1.234,1.735
5,30,25,40,6m-1m,1.338,51.32,38.37,1.233,1.807
0,15,40,45,6m,1.337,54.58,40.83,1.271,1.871
0,35,25,40,12m,1.336,53.02,39.69,1.243,1.904
0,15,55,30,12m,1.335,61.45,46.02,1.356,2.067
20,10,25,45,12m,1.334,47.04,35.27,1.161,1.566
10,0,45,45,12m-1m,1.333,56.08,42.08,1.323,1.979
0,25,20,55,12m-1m,1.333,46.77,35.08,1.174,1.724
5,10,35,50,12m-1m,1.333,56.77,42.6,1.317,1.968
5,15,50,30,12m-1m,1.333,57.77,43.35,1.309,1.977
10,5,50,35,12m,1.332,60.12,45.14,1.35,2.038
5,25,30,40,6m-1m,1.332,54.28,40.77,1.275,1.859
10,10,45,35,12m,1.331,64.0,48.09,1.405,2.122
10,5,30,55,6m,1.328,49.91,37.57,1.216,1.782
30,5,20,45,6m-1m,1.328,48.32,36.39,1.217,1.76
0,0,50,50,12m-1m,1.327,57.69,43.46,1.328,1.99
5,20,25,50,6m-1m,1.327,43.92,33.08,1.12,1.603
0,30,15,55,12m-1m,1.326,46.93,35.39,1.184,1.733
20,10,15,55,6m-1m,1.326,46.5,35.06,1.197,1.647
25,5,40,30,12m-1m,1.326,51.69,39.0,1.289,1.885
25,5,25,45,6m-1m,1.326,47.08,35.51,1.187,1.714
10,20,30,40,12m,1.325,53.31,40.24,1.233,1.845
20,20,15,45,12m-1m,1.325,43.0,32.46,1.159,1.61
25,0,15,60,12m-1m,1.324,41.89,31.64,1.107,1.493
25,10,20,45,6m,1.323,41.75,31.56,1.074,1.513
0,35,30,35,12m-1m,1.323,52.43,39.63,1.229,1.885
15,5,35,45,6m-1m,1.322,53.13,40.2,1.268,1.723
10,20,30,40,6m,1.322,47.64,36.03,1.167,1.731
10,30,20,40,12m-1m,1.321,51.29,38.83,1.251,1.867
0,10,60,30,12m,1.32,61.29,46.45,1.341,2.036
0,30,20,50,6m,1.32,51.67,39.14,1.251,1.819
0,10,50,40,12m,1.32,63.44,48.08,1.374,2.083
10,15,25,50,6m-1m,1.32,45.71,34.64,1.142,1.642
10,5,35,50,12m-1m,1.319,55.53,42.11,1.312,1.958
10,30,20,40,12m,1.318,54.5,41.36,1.291,1.91
10,0,55,35,12m,1.318,61.64,46.78,1.378,2.096
20,25,10,45,12m-1m,1.318,39.3,29.81,1.097,1.585
20,0,25,55,12m-1m,1.318,50.37,38.21,1.255,1.784
10,10,35,45,6m-1m,1.317,52.93,40.19,1.27,1.823
20,0,20,60,6m-1m,1.317,45.82,34.78,1.149,1.629
10,5,55,30,12m,1.316,59.3,45.06,1.333,2.04
15,0,55,30,12m-1m,1.315,61.26,46.59,1.368,2.095
30,0,25,45,12m-1m,1.315,43.26,32.9,1.155,1.64
15,5,30,50,12m,1.315,49.0,37.28,1.194,1.677
10,5,35,50,6m-1m,1.314,52.21,39.73,1.26,1.799
0,25,15,60,12m-1m,1.314,42.29,32.2,1.091,1.578
15,20,25,40,12m-1m,1.313,49.04,37.36,1.221,1.774
15,10,50,25,12m-1m,1.311,61.26,46.74,1.383,2.078
20,0,30,50,6m,1.311,51.93,39.62,1.246,1.725
5,5,55,35,12m,1.309,60.51,46.23,1.344,2.077
10,25,15,50,6m-1m,1.309,46.25,35.35,1.183,1.651
5,15,35,45,6m,1.309,54.25,41.46,1.274,1.897
10,20,40,30,6m,1.308,51.56,39.43,1.218,1.831
5,20,30,45,12m-1m,1.308,47.51,36.32,1.159,1.715
10,5,45,40,12m-1m,1.307,59.09,45.21,1.356,2.076
5,20,50,25,12m,1.306,52.27,40.03,1.22,1.834
15,10,45,30,12m-1m,1.304,57.52,44.13,1.335,1.977
25,25,25,25,12m-1m,1.303,45.92,35.25,1.167,1.679
30,10,15,45,6m-1m,1.303,43.57,33.43,1.132,1.607
10,20,15,55,12m,1.303,49.79,38.22,1.238,1.776
5,35,25,35,12m-1m,1.303,48.99,37.6,1.185,1.806
0,35,25,40,6m,1.299,50.58,38.93,1.213,1.809
0,20,25,55,12m-1m,1.299,44.42,34.2,1.129,1.638
0,25,20,55,12m,1.299,50.01,38.49,1.232,1.817
15,5,45,35,12m-1m,1.298,57.07,43.98,1.314,2.024
25,0,40,35,12m-1m,1.298,55.74,42.93,1.35,1.999
25,25,15,35,12m,1.297,42.65,32.88,1.117,1.579
20,5,25,50,12m,1.295,44.15,34.1,1.117,1.611
15,30,10,45,12m,1.293,47.51,36.74,1.221,1.738
10,20,45,25,12m,1.292,54.46,42.16,1.266,1.886
15,10,25,50,6m,1.291,53.99,41.82,1.267,1.8
0,15,35,50,12m,1.289,54.13,41.99,1.264,1.927
25,5,30,40,6m,1.289,43.73,33.92,1.122,1.629
0,30,15,55,12m,1.289,49.67,38.54,1.231,1.796
0,20,35,45,12m-1m,1.288,51.36,39.88,1.226,1.875
15,5,40,40,6m-1m,1.288,54.64,42.42,1.291,1.917
