v,q,g,m,gr,mom,e,x,s,cagr,mdd,cal,sh
15,10,25,50,0.5,6m-1m,4,9,5,74.67,34.23,2.181,1.568
15,10,25,50,0.5,6m-1m,4,8,6,71.35,32.79,2.176,1.522
20,15,25,40,0.4,6m,6,8,7,60.4,27.77,2.175,1.429
20,15,25,40,0.4,6m,6,7,6,63.64,29.29,2.173,1.452
15,5,25,55,0.7,6m-1m,4,8,6,76.24,35.31,2.159,1.589
20,5,25,50,0.5,6m-1m,4,9,7,78.33,36.32,2.156,1.619
15,10,25,50,0.7,6m-1m,5,7,6,71.72,33.3,2.154,1.558
15,10,25,50,0.7,6m-1m,5,9,6,68.37,31.78,2.151,1.525
25,10,25,40,0.4,6m,6,9,7,58.03,26.99,2.15,1.414
15,10,25,50,0.5,6m-1m,4,7,5,78.53,36.61,2.145,1.602
15,10,25,50,0.7,6m-1m,5,9,5,73.53,34.33,2.142,1.577
20,5,25,50,0.5,6m-1m,4,9,6,78.03,36.52,2.137,1.613
15,5,30,50,0.6,6m-1m,4,7,5,74.04,34.66,2.136,1.525
20,10,20,50,0.6,6m-1m,4,8,4,71.94,33.68,2.136,1.512
15,5,25,55,0.7,6m-1m,5,9,6,67.58,31.64,2.136,1.524
15,10,25,50,0.5,6m-1m,5,8,5,77.44,36.25,2.136,1.638
15,10,25,50,0.7,6m-1m,4,9,6,66.91,31.42,2.13,1.483
20,5,25,50,0.5,6m-1m,5,9,6,68.0,32.0,2.125,1.533
15,10,25,50,0.6,6m-1m,4,8,5,74.0,34.91,2.12,1.554
15,5,25,55,0.7,6m-1m,4,7,5,78.26,36.94,2.119,1.592
15,10,25,50,0.7,6m-1m,5,7,4,74.82,35.41,2.113,1.547
25,10,20,45,0.4,6m-1m,4,8,7,65.9,31.24,2.109,1.471
10,15,25,50,0.3,6m-1m,4,8,5,68.22,32.37,2.108,1.477
20,5,25,50,0.6,6m-1m,4,9,7,75.95,36.05,2.107,1.606
20,5,25,50,0.6,6m-1m,5,9,6,66.42,31.56,2.104,1.507
15,5,25,55,0.7,6m-1m,5,9,7,69.42,33.07,2.099,1.557
25,10,20,45,0.4,6m-1m,4,7,4,70.23,33.54,2.094,1.48
