sub1,sub2,ratio,config,calmar,cagr,mdd,sharpe,sortino
gp_growth_z,op_margin_z,0.25,공격_G40_12m,0.802,31.31,39.03,0.885,1.229
gp_growth_z,op_margin_z,0.25,방어_M50_6m1m,1.387,49.13,35.41,1.256,1.808
gp_growth_z,op_margin_z,0.25,방어_M50_6m,1.246,47.68,38.27,1.194,1.764
gp_growth_z,op_margin_z,0.25,밸런스_G30_6m,0.868,44.79,51.62,1.116,1.62
gp_growth_z,op_margin_z,0.3,공격_G50_12m1m,0.608,31.8,52.31,0.893,1.228
gp_growth_z,op_margin_z,0.3,공격_G40_12m,0.847,31.45,37.13,0.886,1.237
gp_growth_z,op_margin_z,0.3,방어_M50_6m1m,1.586,51.49,32.46,1.3,1.882
gp_growth_z,op_margin_z,0.3,방어_M50_6m,1.132,45.04,39.77,1.148,1.692
gp_growth_z,op_margin_z,0.3,밸런스_G30_6m,0.807,44.19,54.75,1.107,1.612
gp_growth_z,op_margin_z,0.35,공격_G50_12m1m,0.545,30.18,55.37,0.864,1.215
gp_growth_z,op_margin_z,0.35,공격_G40_12m,0.729,28.3,38.83,0.828,1.157
gp_growth_z,op_margin_z,0.35,방어_M50_6m1m,1.645,52.56,31.94,1.314,1.904
gp_growth_z,op_margin_z,0.35,방어_M50_6m,1.357,50.3,37.07,1.235,1.797
gp_growth_z,op_margin_z,0.35,밸런스_G30_6m,0.95,48.11,50.66,1.17,1.743
gp_growth_z,op_margin_z,0.4,공격_G50_12m1m,0.587,32.85,55.96,0.913,1.29
gp_growth_z,op_margin_z,0.4,공격_G40_12m,0.684,25.95,37.92,0.782,1.085
gp_growth_z,op_margin_z,0.4,방어_M50_6m1m,1.758,56.15,31.93,1.37,2.003
gp_growth_z,op_margin_z,0.4,방어_M50_6m,1.444,51.49,35.66,1.253,1.829
gp_growth_z,op_margin_z,0.4,밸런스_G30_6m,1.054,51.13,48.5,1.221,1.821
gp_growth_z,op_margin_z,0.45,공격_G50_12m1m,0.462,28.34,61.31,0.827,1.176
gp_growth_z,op_margin_z,0.45,공격_G40_12m,0.572,22.57,39.5,0.712,0.99
gp_growth_z,op_margin_z,0.45,방어_M50_6m1m,1.543,51.1,33.11,1.282,1.865
gp_growth_z,op_margin_z,0.45,방어_M50_6m,1.417,50.21,35.43,1.233,1.78
gp_growth_z,op_margin_z,0.45,밸런스_G30_6m,1.204,53.58,44.49,1.267,1.868
gp_growth_z,op_margin_z,0.5,공격_G50_12m1m,0.465,28.77,61.87,0.839,1.198
gp_growth_z,op_margin_z,0.5,공격_G40_12m,0.502,23.16,46.1,0.724,1.017
gp_growth_z,op_margin_z,0.5,방어_M50_6m1m,1.571,50.92,32.41,1.282,1.87
gp_growth_z,op_margin_z,0.5,방어_M50_6m,1.26,46.47,36.89,1.171,1.68
gp_growth_z,op_margin_z,0.5,밸런스_G30_6m,0.978,45.03,46.05,1.127,1.658
gp_growth_z,op_margin_z,0.55,공격_G50_12m1m,0.419,26.16,62.42,0.788,1.144
gp_growth_z,op_margin_z,0.55,공격_G40_12m,0.487,23.3,47.89,0.728,1.025
gp_growth_z,op_margin_z,0.55,방어_M50_6m1m,1.463,48.21,32.96,1.232,1.795
gp_growth_z,op_margin_z,0.55,방어_M50_6m,0.934,38.6,41.32,1.032,1.472
gp_growth_z,op_margin_z,0.55,밸런스_G30_6m,0.976,41.08,42.11,1.06,1.522
gp_growth_z,op_margin_z,0.6,공격_G50_12m1m,0.475,28.49,60.01,0.841,1.286
gp_growth_z,op_margin_z,0.6,공격_G40_12m,0.415,20.02,48.22,0.66,0.929
gp_growth_z,op_margin_z,0.6,방어_M50_6m1m,1.372,45.23,32.97,1.178,1.72
gp_growth_z,op_margin_z,0.6,방어_M50_6m,0.947,37.19,39.28,1.007,1.426
gp_growth_z,op_margin_z,0.6,밸런스_G30_6m,0.978,39.87,40.77,1.037,1.493
gp_growth_z,op_margin_z,0.65,공격_G50_12m1m,0.377,23.74,62.9,0.746,1.16
gp_growth_z,op_margin_z,0.65,공격_G40_12m,0.38,16.4,43.13,0.583,0.813
gp_growth_z,op_margin_z,0.65,방어_M50_6m1m,1.793,52.39,29.21,1.301,1.881
