v,q,g,m,g_rev,mom,entry,exit,slots,sl,trail,corr_th,calmar,cagr,mdd,sharpe,sortino,avg_holdings,wf_avg_calmar,WF1_calmar,WF2_calmar,WF3_calmar
25,10,30,35,0.3,12m,5,8,7,-0.1,,,2.231,68.08,30.51,1.474,2.209,5.2,7.2443333333333335,2.285,10.932,8.516
25,10,30,35,0.3,12m,5,8,7,-0.08,-0.2,,2.16,66.83,30.94,1.453,2.165,5.1,7.244,2.152,10.923,8.657
25,10,30,35,0.3,12m,5,8,7,-0.08,,,2.158,66.77,30.94,1.457,2.173,5.2,7.240333333333333,2.166,10.952,8.603
25,10,30,35,0.3,12m,5,8,7,-0.12,-0.15,,2.321,70.71,30.46,1.51,2.264,5.1,7.233333333333333,2.528,10.633,8.539
5,15,40,40,0.4,6m,7,12,5,-0.12,-0.15,,2.262,73.45,32.47,1.539,2.385,5.0,7.232333333333334,2.073,9.808,9.816
25,10,30,35,0.3,12m,5,8,7,,,,2.25,68.66,30.51,1.487,2.231,5.2,7.2250000000000005,2.291,10.839,8.545
25,5,45,25,0.3,12m,5,12,5,-0.12,,0.6,2.107,67.35,31.96,1.478,2.237,4.8,7.209333333333333,2.634,7.387,11.607
25,10,30,35,0.3,12m,5,8,7,-0.1,-0.15,,2.303,70.15,30.46,1.498,2.247,5.1,7.196666666666666,2.503,10.633,8.454
25,10,30,35,0.3,12m,5,8,7,-0.08,-0.15,,2.221,68.74,30.94,1.48,2.209,5.1,7.186666666666667,2.366,10.653,8.541
25,5,45,25,0.3,12m,5,12,5,,,0.6,2.132,67.06,31.45,1.484,2.253,4.8,7.153000000000001,3.203,7.03,11.226
5,15,40,40,0.4,6m,7,12,5,-0.1,-0.15,,2.207,76.18,34.52,1.572,2.44,5.0,7.1209999999999996,2.172,9.444,9.747
25,5,45,25,0.4,12m,5,12,5,-0.12,,0.6,2.057,67.2,32.67,1.482,2.272,4.8,7.117999999999999,2.262,7.556,11.536
15,15,30,40,0.4,6m-1m,5,8,7,-0.08,,,2.065,65.37,31.66,1.463,2.21,5.2,7.117333333333334,0.501,10.224,10.627
15,15,30,40,0.4,6m-1m,5,8,7,,-0.15,,2.103,67.68,32.19,1.497,2.264,5.2,7.1063333333333345,1.1,9.707,10.512
5,15,40,40,0.4,6m,7,12,5,,-0.15,,2.195,73.76,33.6,1.537,2.392,5.0,7.103999999999999,1.776,9.757,9.779
15,0,40,45,0.6,12m,5,15,5,,,0.6,2.114,81.04,38.33,1.621,2.455,4.9,7.1000000000000005,1.799,8.265,11.236
5,15,30,50,0.3,6m-1m,7,12,5,-0.12,-0.15,,2.097,74.65,35.6,1.595,2.389,5.0,7.088666666666666,0.747,8.583,11.936
25,10,30,35,0.3,12m,5,8,5,-0.12,-0.2,,2.142,70.45,32.89,1.498,2.259,4.8,7.080000000000001,1.841,10.582,8.817
25,10,30,35,0.3,12m,5,8,5,-0.08,-0.2,,2.202,70.25,31.91,1.498,2.254,4.8,7.064,2.022,10.441,8.729
25,10,30,35,0.3,12m,5,8,5,,-0.2,,2.122,69.79,32.89,1.489,2.246,4.8,7.059333333333334,1.779,10.582,8.817
25,0,50,25,0.3,12m-1m,5,15,5,-0.1,,,2.074,69.39,33.46,1.503,2.296,4.9,7.024,1.619,7.622,11.831
5,15,40,40,0.4,6m,7,12,5,,-0.15,0.65,2.336,74.64,31.95,1.569,2.428,5.0,7.014333333333333,1.997,7.541,11.505
25,5,45,25,0.3,12m,5,12,5,,,0.65,2.121,66.12,31.18,1.474,2.231,4.8,6.959666666666667,2.623,7.03,11.226
5,10,45,40,0.3,6m,7,12,5,-0.08,-0.15,,2.21,81.89,37.06,1.641,2.541,5.0,6.945,2.351,8.173,10.311
15,15,30,40,0.4,6m-1m,5,8,7,-0.08,-0.15,0.65,2.124,66.03,31.09,1.462,2.224,5.0,6.935666666666666,0.856,9.068,10.883
25,0,55,20,0.3,12m,5,8,5,-0.12,-0.15,0.6,2.166,68.04,31.42,1.464,2.24,4.6,6.927,2.586,7.159,11.036
5,15,40,40,0.4,6m,7,12,5,,,0.65,2.107,69.94,33.19,1.505,2.329,5.0,6.912333333333334,1.59,7.648,11.499
5,10,45,40,0.3,6m,7,15,5,-0.08,-0.15,0.65,2.11,78.55,37.23,1.623,2.542,5.0,6.912333333333334,1.774,7.166,11.797
15,15,30,40,0.4,6m-1m,5,8,7,-0.1,-0.2,,2.062,66.11,32.07,1.473,2.216,5.2,6.88,0.508,9.646,10.486
25,10,30,35,0.3,12m,5,12,7,-0.12,-0.2,,2.08,64.42,30.98,1.459,2.156,5.8,6.765000000000001,1.54,10.315,8.44
25,0,55,20,0.3,12m,5,8,5,,-0.15,0.6,2.162,67.49,31.21,1.456,2.232,4.6,6.760333333333333,2.575,6.917,10.789
25,10,30,35,0.3,12m,5,12,7,-0.1,-0.2,,2.092,63.82,30.51,1.446,2.136,5.7,6.759666666666667,1.609,10.315,8.355
25,10,30,35,0.3,12m,5,12,7,-0.1,,,2.062,62.91,30.51,1.439,2.12,5.8,6.751666666666668,1.477,10.335,8.443
25,5,45,25,0.3,12m,5,12,5,-0.08,,0.6,2.093,65.85,31.45,1.454,2.193,4.8,6.7443333333333335,2.839,6.615,10.779
25,0,40,35,0.3,12m,5,15,5,,-0.15,,2.166,71.6,33.06,1.539,2.286,4.8,6.733333333333334,2.984,9.073,8.143
5,15,30,50,0.3,6m-1m,7,12,5,-0.1,-0.15,,2.063,73.45,35.6,1.579,2.365,5.0,6.691333333333333,0.747,7.98,11.347
25,10,30,35,0.3,12m,5,12,7,,-0.15,,2.186,66.67,30.51,1.495,2.212,5.7,6.69,1.921,10.179,7.97
25,10,30,35,0.3,12m,5,8,5,-0.1,,0.6,2.062,70.02,33.95,1.495,2.262,4.6,6.687333333333334,2.111,9.497,8.454
25,10,30,35,0.3,12m,5,8,5,-0.12,,0.6,2.192,70.58,32.19,1.506,2.281,4.6,6.6819999999999995,2.027,9.497,8.522
25,0,55,20,0.3,12m,5,8,5,-0.1,-0.15,0.6,2.168,67.45,31.11,1.456,2.231,4.6,6.671666666666667,2.652,6.747,10.616
