regime,atk,def,cal,cagr,mdd,sharpe,sortino,switches
BS126_60pct_3d,V20Q0G45M35,V30Q15G25M30,1.84,83.44,45.35,0.648,3.869,28
DUAL_KP200+BU126_40_OR_5d,V20Q0G45M35,V20Q0G35M45,1.837,81.68,44.46,1.349,2.564,19
BS126_60pct_10d,V20Q0G45M35,V30Q15G25M30,1.834,83.17,45.35,0.648,3.871,10
BS126_60pct_10d,V20Q0G45M35,V30Q15G25M30,1.834,83.17,45.35,0.648,3.871,10
BL126_60pct_10d,V20Q0G45M35,V20Q0G35M45,1.834,80.53,43.9,0.761,3.298,11
BS126_60pct_10d,V20Q0G45M35,V30Q15G25M30,1.83,82.99,45.35,0.648,3.869,10
BS126_60pct_10d,V20Q0G45M35,V30Q15G25M30,1.83,82.99,45.35,0.648,3.869,10
BU126_60pct_3d,V20Q0G45M35,V30Q15G25M30,1.827,82.84,45.35,0.646,3.809,26
BU126_60pct_3d,V20Q0G45M35,V30Q15G25M30,1.827,82.84,45.35,0.646,3.809,26
BU126_60pct_3d,V20Q0G45M35,V30Q15G25M30,1.824,82.75,45.35,0.646,3.815,26
BU126_60pct_3d,V20Q0G45M35,V30Q15G25M30,1.824,82.75,45.35,0.646,3.815,26
BS126_60pct_10d,V20Q0G45M35,V30Q15G25M30,1.819,83.91,46.12,0.649,3.899,10
BS126_60pct_10d,V20Q0G45M35,V30Q15G25M30,1.819,83.91,46.12,0.649,3.899,10
BU126_30pct_5d,V20Q0G45M35,V20Q0G35M45,1.815,79.19,43.63,0.949,2.885,24
DUAL_KP200+BU126_40_AND_5d,V25Q0G40M35,V30Q15G25M30,1.81,82.09,45.35,0.644,3.711,19
DUAL_KP200+BU126_40_AND_5d,V25Q0G40M35,V30Q15G25M30,1.81,82.09,45.35,0.644,3.711,19
DUAL_KP200+BS126_40_OR_5d,V20Q0G45M35,V20Q0G35M45,1.809,79.78,44.1,1.332,2.537,19
BL126_60pct_10d,V20Q0G45M35,V20Q0G35M45,1.809,79.4,43.9,0.756,3.286,11
BS126_60pct_10d,V20Q0G45M35,V30Q15G25M30,1.808,83.38,46.12,0.648,3.884,10
BS126_60pct_10d,V20Q0G45M35,V30Q15G25M30,1.808,83.38,46.12,0.648,3.884,10
DUAL_KP200+BU126_50_AND_5d,V25Q0G40M35,V30Q15G25M30,1.806,81.91,45.35,0.645,3.767,23
DUAL_KP200+BU126_50_AND_5d,V25Q0G40M35,V30Q15G25M30,1.806,81.91,45.35,0.645,3.767,23
BS126_60pct_10d,V20Q0G45M35,V30Q15G25M30,1.804,83.2,46.12,0.647,3.882,10
BS126_60pct_10d,V20Q0G45M35,V30Q15G25M30,1.804,83.2,46.12,0.647,3.882,10
BS126_60pct_3d,V20Q0G45M35,V30Q15G25M30,1.801,83.07,46.12,0.646,3.88,28
BS126_60pct_3d,V20Q0G45M35,V30Q15G25M30,1.801,83.07,46.12,0.646,3.88,28
BS126_60pct_3d,V20Q0G45M35,V30Q15G25M30,1.798,82.94,46.12,0.645,3.881,28
BS126_60pct_3d,V20Q0G45M35,V30Q15G25M30,1.798,82.94,46.12,0.645,3.881,28
BU126_60pct_3d,V20Q0G45M35,V30Q15G25M30,1.797,81.52,45.35,0.642,3.794,26
BU126_60pct_3d,V20Q0G45M35,V30Q15G25M30,1.797,81.52,45.35,0.642,3.794,26
DUAL_KP200+BU126_40_OR_5d,V20Q0G45M35,V20Q0G35M45,1.795,79.14,44.1,1.325,2.525,19
BL126_60pct_10d,V20Q0G45M35,V20Q0G35M45,1.794,78.74,43.9,0.753,3.269,11
BS126_30pct_3d,V25Q0G40M35,V30Q15G25M30,1.793,80.22,44.74,0.753,3.216,29
BS126_30pct_3d,V25Q0G40M35,V30Q15G25M30,1.793,80.22,44.74,0.753,3.216,29
DUAL_KP200+BL126_50_OR_5d,V25Q0G40M35,V20Q0G35M45,1.792,84.91,47.37,0.772,3.5,21
BU126_60pct_10d,V20Q0G45M35,V30Q15G25M30,1.789,81.13,45.35,0.641,3.82,10
BU126_60pct_10d,V20Q0G45M35,V30Q15G25M30,1.789,81.13,45.35,0.641,3.82,10
BS126_60pct_3d,V20Q0G45M35,V30Q15G25M30,1.789,82.52,46.12,0.644,3.875,28
BS126_60pct_3d,V20Q0G45M35,V30Q15G25M30,1.789,82.52,46.12,0.644,3.875,28
BL126_50pct_3d,V25Q0G40M35,V20Q0G35M45,1.785,74.76,41.9,0.729,3.218,45
BU126_60pct_3d,V20Q0G45M35,V30Q15G25M30,1.783,80.86,45.35,0.64,3.772,26
BU126_60pct_3d,V20Q0G45M35,V30Q15G25M30,1.783,80.86,45.35,0.64,3.772,26
BU126_60pct_3d,V20Q0G45M35,V30Q15G25M30,1.781,82.15,46.12,0.643,3.819,26
BU126_60pct_3d,V20Q0G45M35,V30Q15G25M30,1.781,82.15,46.12,0.643,3.819,26
BU126_60pct_10d,V20Q0G45M35,V30Q15G25M30,1.78,80.75,45.35,0.64,3.824,10
BU126_60pct_10d,V20Q0G45M35,V30Q15G25M30,1.78,80.75,45.35,0.64,3.824,10
BU126_60pct_3d,V20Q0G45M35,V30Q15G25M30,1.779,82.06,46.12,0.643,3.825,26
BU126_60pct_3d,V20Q0G45M35,V30Q15G25M30,1.779,82.06,46.12,0.643,3.825,26
BS126_60pct_3d,V25Q0G40M35,V20Q0G35M45,1.771,83.57,47.19,0.765,3.546,28
BU126_50pct_10d,V25Q0G40M35,V30Q15G25M30,1.767,81.49,46.12,0.641,3.741,17
BU126_50pct_10d,V25Q0G40M35,V30Q15G25M30,1.767,81.49,46.12,0.641,3.741,17
BL126_60pct_10d,V20Q0G45M35,V20Q0G35M45,1.759,77.24,43.9,0.746,3.23,11
BU126_60pct_10d,V20Q0G45M35,V30Q15G25M30,1.757,81.02,46.12,0.64,3.827,10
BU126_60pct_10d,V20Q0G45M35,V30Q15G25M30,1.757,81.02,46.12,0.64,3.827,10
BU126_40pct_10d,V25Q0G40M35,V30Q15G25M30,1.755,85.73,48.84,0.776,3.39,13
BU126_40pct_10d,V25Q0G40M35,V30Q15G25M30,1.755,85.73,48.84,0.776,3.39,13
DUAL_KP200+BU126_50_AND_5d,V20Q0G45M35,V20Q0G35M45,1.753,88.19,50.3,0.796,3.458,23
BU126_60pct_3d,V20Q0G45M35,V30Q15G25M30,1.753,80.84,46.12,0.639,3.803,26
BU126_60pct_3d,V20Q0G45M35,V30Q15G25M30,1.753,80.84,46.12,0.639,3.803,26
BU126_60pct_10d,V20Q0G45M35,V30Q15G25M30,1.751,79.41,45.35,0.636,3.797,10
BU126_60pct_10d,V20Q0G45M35,V30Q15G25M30,1.751,79.41,45.35,0.636,3.797,10
BU126_60pct_10d,V20Q0G45M35,V30Q15G25M30,1.748,80.64,46.12,0.638,3.83,10
BU126_60pct_10d,V20Q0G45M35,V30Q15G25M30,1.748,80.64,46.12,0.638,3.83,10
BS126_50pct_5d,V25Q0G40M35,V30Q15G25M30,1.746,80.51,46.12,0.639,3.788,22
BS126_50pct_5d,V25Q0G40M35,V30Q15G25M30,1.746,80.51,46.12,0.639,3.788,22
KD_MA200_10d,V25Q0G40M35,V20Q0G35M45,1.745,77.28,44.28,0.739,3.321,13
BS126_50pct_5d,V25Q0G40M35,V30Q15G25M30,1.744,79.11,45.35,0.635,3.745,22
BS126_50pct_5d,V25Q0G40M35,V30Q15G25M30,1.744,79.11,45.35,0.635,3.745,22
BU126_50pct_10d,V25Q0G40M35,V30Q15G25M30,1.739,78.87,45.35,0.634,3.678,17
