combo,ratio,v,q,g,m,cagr,mdd,calmar,sharpe,sortino
rev_z+oca_z+op_margin_z,0.5/0.2/0.3,10,5,65,20,91.64,45.74,2.004,1.44,1.709
rev_z+oca_z+op_margin_z,0.5/0.2/0.3,20,5,55,20,79.48,45.71,1.739,1.306,1.666
rev_z+oca_z+op_margin_z,0.5/0.2/0.3,15,0,60,25,106.43,41.62,2.557,1.525,1.917
rev_z+oca_z+op_margin_z,0.5/0.2/0.3,10,5,55,30,131.97,42.34,3.117,1.698,2.189
rev_z+oca_z+op_margin_z,0.5/0.2/0.3,15,10,50,25,109.44,49.42,2.215,1.534,1.92
rev_z+oca_z+op_margin_z,0.5/0.2/0.3,10,0,65,25,110.92,40.5,2.739,1.552,1.958
rev_z+oca_z+op_margin_z,0.5/0.2/0.3,20,0,50,30,91.73,45.12,2.033,1.375,1.787
rev_z+oca_z+op_margin_z,0.5/0.2/0.3,5,5,70,20,70.08,55.47,1.263,1.23,1.474
rev_z+oca_z+op_margin_z,0.5/0.2/0.3,15,5,50,30,148.24,44.08,3.363,1.781,2.325
rev_z+oca_z+op_margin_z,0.5/0.2/0.3,10,10,50,30,99.06,51.61,1.919,1.436,1.752
rev_z+oca_z+op_margin_z,0.5/0.2/0.3,25,5,45,25,65.25,55.4,1.178,1.155,1.372
rev_z+oca_z+op_margin_z,0.5/0.2/0.3,20,10,40,30,77.6,53.44,1.452,1.262,1.513
rev_z+oca_z+op_margin_z,0.5/0.2/0.3,15,5,55,25,116.07,42.48,2.732,1.6,2.032
rev_z+oca_z+op_margin_z,0.4/0.3/0.3,15,5,60,20,81.51,46.9,1.738,1.349,1.571
rev_z+oca_z+op_margin_z,0.4/0.3/0.3,10,0,70,20,108.88,53.25,2.045,1.538,1.948
rev_z+oca_z+op_margin_z,0.4/0.3/0.3,10,5,65,20,102.72,53.13,1.933,1.505,1.827
rev_z+oca_z+op_margin_z,0.4/0.3/0.3,20,5,55,20,121.69,44.89,2.711,1.644,2.017
rev_z+oca_z+op_margin_z,0.4/0.3/0.3,15,0,60,25,113.1,47.72,2.37,1.575,1.997
rev_z+oca_z+op_margin_z,0.4/0.3/0.3,10,5,55,30,130.03,53.5,2.43,1.656,2.017
rev_z+oca_z+op_margin_z,0.4/0.3/0.3,15,10,50,25,104.87,44.95,2.333,1.509,1.915
rev_z+oca_z+op_margin_z,0.4/0.3/0.3,10,0,65,25,158.68,40.75,3.894,1.865,2.385
rev_z+oca_z+op_margin_z,0.4/0.3/0.3,20,0,50,30,93.16,48.12,1.936,1.398,1.795
rev_z+oca_z+op_margin_z,0.4/0.3/0.3,5,5,70,20,67.43,64.12,1.052,1.205,1.435
rev_z+oca_z+op_margin_z,0.4/0.3/0.3,15,5,50,30,120.23,48.72,2.468,1.597,1.979
rev_z+oca_z+op_margin_z,0.4/0.3/0.3,10,10,50,30,86.15,59.12,1.457,1.328,1.611
rev_z+oca_z+op_margin_z,0.4/0.3/0.3,25,5,45,25,90.84,53.31,1.704,1.407,1.762
rev_z+oca_z+op_margin_z,0.4/0.3/0.3,20,10,40,30,52.1,58.37,0.892,1.007,1.232
rev_z+oca_z+op_margin_z,0.4/0.3/0.3,15,5,55,25,131.2,46.26,2.836,1.693,2.175
rev_z+oca_z+op_margin_z,0.7/0.2/0.1,15,5,60,20,103.51,41.98,2.466,1.552,1.84
rev_z+oca_z+op_margin_z,0.7/0.2/0.1,10,0,70,20,138.64,41.98,3.303,1.761,2.204
rev_z+oca_z+op_margin_z,0.7/0.2/0.1,10,5,65,20,86.98,41.98,2.072,1.383,1.666
rev_z+oca_z+op_margin_z,0.7/0.2/0.1,20,5,55,20,76.28,42.23,1.806,1.311,1.584
rev_z+oca_z+op_margin_z,0.7/0.2/0.1,15,0,60,25,130.4,41.98,3.106,1.693,2.135
rev_z+oca_z+op_margin_z,0.7/0.2/0.1,10,5,55,30,121.02,45.9,2.636,1.631,2.01
rev_z+oca_z+op_margin_z,0.7/0.2/0.1,15,10,50,25,119.86,52.4,2.287,1.608,2.058
rev_z+oca_z+op_margin_z,0.7/0.2/0.1,10,0,65,25,129.79,41.98,3.092,1.678,2.137
rev_z+oca_z+op_margin_z,0.7/0.2/0.1,20,0,50,30,111.58,47.58,2.345,1.543,1.967
rev_z+oca_z+op_margin_z,0.7/0.2/0.1,5,5,70,20,98.3,41.98,2.342,1.481,1.793
rev_z+oca_z+op_margin_z,0.7/0.2/0.1,15,5,50,30,132.05,46.48,2.841,1.67,2.135
rev_z+oca_z+op_margin_z,0.7/0.2/0.1,10,10,50,30,112.06,50.14,2.235,1.525,1.938
rev_z+oca_z+op_margin_z,0.7/0.2/0.1,25,5,45,25,72.06,53.33,1.351,1.238,1.495
rev_z+oca_z+op_margin_z,0.7/0.2/0.1,20,10,40,30,86.15,53.65,1.606,1.351,1.686
rev_z+oca_z+op_margin_z,0.7/0.2/0.1,15,5,55,25,125.55,52.61,2.386,1.626,1.939
rev_z+oca_z+op_margin_z,0.3/0.4/0.3,15,5,60,20,103.38,49.01,2.109,1.503,1.838
rev_z+oca_z+op_margin_z,0.3/0.4/0.3,10,0,70,20,104.45,61.11,1.709,1.513,1.952
rev_z+oca_z+op_margin_z,0.3/0.4/0.3,10,5,65,20,82.33,60.66,1.357,1.333,1.644
rev_z+oca_z+op_margin_z,0.3/0.4/0.3,20,5,55,20,136.22,44.89,3.034,1.741,2.129
rev_z+oca_z+op_margin_z,0.3/0.4/0.3,15,0,60,25,136.25,44.06,3.092,1.718,2.22
rev_z+oca_z+op_margin_z,0.3/0.4/0.3,10,5,55,30,133.35,53.16,2.508,1.683,2.051
rev_z+oca_z+op_margin_z,0.3/0.4/0.3,15,10,50,25,80.61,54.31,1.484,1.293,1.583
rev_z+oca_z+op_margin_z,0.3/0.4/0.3,10,0,65,25,130.57,49.46,2.64,1.703,2.2
rev_z+oca_z+op_margin_z,0.3/0.4/0.3,20,0,50,30,124.15,46.88,2.648,1.637,2.096
rev_z+oca_z+op_margin_z,0.3/0.4/0.3,5,5,70,20,88.47,54.49,1.624,1.383,1.738
rev_z+oca_z+op_margin_z,0.3/0.4/0.3,15,5,50,30,105.82,48.65,2.175,1.486,1.86
rev_z+oca_z+op_margin_z,0.3/0.4/0.3,10,10,50,30,87.43,59.1,1.479,1.335,1.637
rev_z+oca_z+op_margin_z,0.3/0.4/0.3,25,5,45,25,86.56,49.18,1.76,1.359,1.733
rev_z+oca_z+op_margin_z,0.3/0.4/0.3,20,10,40,30,69.34,51.8,1.338,1.171,1.468
rev_z+oca_z+op_margin_z,0.3/0.4/0.3,15,5,55,25,113.92,50.85,2.24,1.552,1.912
rev_z+oca_z+op_margin_z,0.6/0.3/0.1,15,5,60,20,121.23,42.23,2.871,1.641,2.04
rev_z+oca_z+op_margin_z,0.6/0.3/0.1,10,0,70,20,114.53,41.98,2.728,1.572,1.99
rev_z+oca_z+op_margin_z,0.6/0.3/0.1,10,5,65,20,110.54,45.9,2.408,1.572,1.899
rev_z+oca_z+op_margin_z,0.6/0.3/0.1,20,5,55,20,102.2,42.23,2.42,1.535,1.885
rev_z+oca_z+op_margin_z,0.6/0.3/0.1,15,0,60,25,121.28,41.98,2.889,1.617,2.019
rev_z+oca_z+op_margin_z,0.6/0.3/0.1,10,5,55,30,129.07,45.9,2.812,1.692,2.117
rev_z+oca_z+op_margin_z,0.6/0.3/0.1,15,10,50,25,157.01,48.58,3.232,1.853,2.39
rev_z+oca_z+op_margin_z,0.6/0.3/0.1,10,0,65,25,142.49,41.98,3.394,1.759,2.206
rev_z+oca_z+op_margin_z,0.6/0.3/0.1,20,0,50,30,93.02,47.36,1.964,1.384,1.775
rev_z+oca_z+op_margin_z,0.6/0.3/0.1,5,5,70,20,148.39,45.9,3.233,1.82,2.255
rev_z+oca_z+op_margin_z,0.6/0.3/0.1,15,5,50,30,149.14,46.13,3.233,1.783,2.325
rev_z+oca_z+op_margin_z,0.6/0.3/0.1,10,10,50,30,136.62,51.45,2.656,1.709,2.034
