atk,def,rule,as,ds,cagr,mdd,cal,sh,sort,alpha,sw
V10Q0G65M25g0.712m-1m,V25Q10G20M45g0.46m-1m,KP200_4d,3,7,172.09,28.48,6.042,2.435,3.699,159.43,15
V10Q0G65M25g0.712m-1m,V15Q5G30M50g0.66m-1m,B35_5d,3,5,181.85,30.13,6.035,2.449,3.869,169.19,15
V10Q0G60M30g0.712m-1m,V15Q10G25M50g0.76m-1m,KP200_4d,3,7,171.8,28.48,6.032,2.434,3.796,159.14,15
V10Q0G65M25g0.712m-1m,V15Q10G25M50g0.66m-1m,KP200_4d,3,7,171.76,28.48,6.03,2.439,3.792,159.11,15
V10Q0G65M25g0.712m-1m,V15Q5G30M50g0.66m-1m,KP200_4d,3,7,171.72,28.48,6.029,2.422,3.804,159.06,15
V10Q0G60M30g0.712m-1m,V25Q10G20M45g0.46m-1m,KP150_5d,3,5,171.73,28.48,6.029,2.427,3.737,159.07,15
V15Q5G60M20g0.612m-1m,V15Q10G25M50g0.66m-1m,KP150_5d,3,7,162.95,27.07,6.019,2.365,3.682,150.3,15
V10Q0G65M25g0.712m-1m,V15Q10G25M50g0.66m-1m,B35_5d,3,5,171.16,28.48,6.009,2.384,3.735,158.51,15
V10Q0G60M30g0.712m-1m,V25Q10G20M45g0.46m-1m,KP200_4d,3,7,170.63,28.48,5.991,2.435,3.711,157.97,15
V15Q0G65M20g0.712m-1m,V15Q10G25M50g0.76m-1m,KP200_4d,3,7,162.17,27.07,5.99,2.363,3.686,149.51,15
V15Q5G60M20g0.612m-1m,V15Q10G25M50g0.66m-1m,KP150_4d,3,5,162.09,27.07,5.987,2.349,3.685,149.43,21
V10Q0G65M25g0.712m-1m,V15Q10G25M50g0.76m-1m,B35_5d,3,5,174.89,29.22,5.986,2.412,3.797,162.24,15
V10Q0G60M30g0.712m-1m,V15Q10G25M50g0.66m-1m,B35_3d,3,5,170.38,28.48,5.982,2.378,3.783,157.72,19
V10Q0G60M30g0.712m-1m,V15Q10G25M50g0.66m-1m,KP200_4d,3,7,170.31,28.48,5.979,2.439,3.805,157.65,15
V10Q0G60M30g0.712m-1m,V15Q5G30M50g0.66m-1m,KP200_4d,3,7,170.26,28.48,5.978,2.421,3.817,157.61,15
V15Q5G60M20g0.612m-1m,V15Q10G25M50g0.76m-1m,KP150_5d,3,7,161.78,27.07,5.976,2.34,3.642,149.13,15
V15Q0G65M20g0.712m-1m,V15Q10G25M50g0.66m-1m,B35_4d,3,5,162.06,27.13,5.974,2.337,3.676,149.4,15
V10Q0G60M30g0.712m-1m,V15Q10G25M50g0.66m-1m,KP200_3d,3,5,170.0,28.48,5.968,2.439,3.797,157.34,19
V10Q0G65M25g0.712m-1m,V15Q10G25M50g0.76m-1m,B35_5d,3,7,170.23,28.56,5.961,2.378,3.736,157.57,15
