종목코드,기준일,당기순이익,세전계속사업이익,법인세비용,자산,총부채,유동부채,유동자산,비유동자산,현금,감가상각비,자본,매출액,매출총이익,영업현금흐름,영업이익,시가총액,종목명,forward_per,PER_live,PBR_live,DIV_live,PER,PBR,PCR,PSR,ROE,GPA,CFO,EPS개선도,모멘텀,섹터,PER_z,PBR_z,PCR_z,PSR_z,ROE_z,GPA_z,CFO_z,EPS개선도_z,모멘텀_z,밸류_raw,퀄리티_raw,모멘텀_raw,밸류_점수,퀄리티_점수,모멘텀_점수,멀티팩터_점수,멀티팩터_순위,가중순위_점수,통합순위,통합순위_점수
009150,2025-12-31,7999.600000000002,9749.200000000003,1736.4000000000005,145959.0,47986.0,38195.0,70976.0,74983.0,27012.0,8957.600000000002,97973.0,114332.80000000002,23406.000000000007,15103.200000000004,9462.000000000002,335001.22656,삼성전기,28.1,49.9,3.86,0.4,49.9,3.86,22.180811123470516,2.9300535503372602,8.165106713074012,16.03601011242884,10.347563356833087,43.68737474949899,3.5866027585079405,전기전자,0.34814070524934704,0.3033807991383316,0.40878832303679913,0.3664379224834356,0.4065943254405166,0.27607282085532314,0.7766343271405011,0.47999704119492165,1.7877616055482153,0.3566869374769783,0.4848246286578156,1.7877616055482153,0.4874821668534892,0.6226548233904101,1.8413565457540146,1.0086486292565953,13.0,11.3,11,11.3
042700,2025-09-30,2490.8000000000006,3278.4000000000005,786.0000000000002,7841.0,1274.0,1222.0,4879.0,2962.0,1982.0,111.20000000000003,6566.0,6596.800000000001,3752.000000000001,2495.200000000001,2964.800000000001,308334.967,한미반도체,,203.59,56.77,0.22,203.59,56.77,123.5712435876883,46.74008109992723,37.934815717331716,47.851039408238755,31.822471623517423,,3.3225781200459226,기계,0.04181424805581901,-2.983003384018369,-0.7817672227466981,-1.1012379747599654,1.7534275002354656,2.067755356029446,2.4455399013811205,,1.7528862722099683,-1.2060485833673034,2.0889075858820108,1.7528862722099683,-1.3622696375978698,2.630868527087555,1.8057973869579373,1.1441521786365612,10.0,12.6,12,12.6
476060,2025-09-30,185.60000000000008,176.80000000000007,-9.200000000000003,739.0,50.0,50.0,654.0,85.0,467.0,0.7999999999999998,689.0,528.8000000000002,528.8000000000002,131.60000000000005,164.40000000000003,10548.6424,온코닉테라퓨틱스,,0.0,18.13,0.0,56.83535775862067,18.13,80.15685714285712,19.948264750378208,26.93759071117563,71.55615696887688,17.80784844384304,,2.570546778023279,서비스,0.08605484639282332,0.12784550464877897,-0.6879237794272057,0.5592827721541035,0.941388684927374,2.890726642645988,1.3628909517811125,,0.7511423265599495,0.02131483594212502,1.731668759784825,0.7511423265599495,0.09051470709959118,2.183627377351444,0.7844115355053524,1.065968031629756,12.0,12.7,13,12.7
064850,2025-09-30,96.00000000000003,106.00000000000003,10.800000000000002,854.0,190.0,187.0,452.0,402.0,74.0,8.000000000000002,664.0,336.4000000000001,336.4000000000001,101.60000000000002,94.80000000000003,2327.707728,에프앤가이드,,56.98,3.78,1.08,56.98,3.78,22.910509133858262,6.919464114149819,14.45783132530121,39.39110070257612,11.896955503512883,,2.439069333982409,IT서비스,0.3687666018614568,0.4101375790142069,0.14249590469367035,0.3123297939252728,0.544209680748366,0.9623913383664269,0.7654883984934076,,1.1513275780906536,0.3084324698736517,0.7573631392027335,1.1513275780906536,0.4303651516378434,0.9638563611267262,1.1924435038026269,0.8838144982166265,16.0,14.5,14,14.5
161390,2025-09-30,11124.400000000003,15623.600000000006,4499.200000000001,267055.0,134960.0,76612.0,118593.0,148461.0,27777.0,1986.4000000000008,132095.0,200875.20000000004,45419.60000000001,15512.000000000004,18349.200000000004,90304.925301,한국타이어앤테크놀로지,5.0,7.98,0.8,2.74,7.98,0.8,5.821617154525527,0.4495573634824009,8.421514818880354,17.00758270768194,5.808541311714817,37.34335839598998,2.1416674701853813,화학,0.5437712043831202,0.466672647885433,0.5556499067744409,0.530416102383698,0.35123570958052713,-0.031017964146748542,-0.21178013134732318,-0.11325862838795071,2.018311421420455,0.524127465356673,-0.0012052535753738318,2.018311421420455,0.6856752804370484,0.01417515249108139,2.076426915791644,0.9374133080300684,14.0,14.600000000000001,15,14.600000000000001
043260,2025-09-30,34.00000000000001,51.2,17.200000000000006,4306.0,2681.0,2150.0,1872.0,2434.0,271.0,76.00000000000003,1626.0,2140.8000000000006,318.0000000000001,354.4000000000001,-23.600000000000012,18333.5497455,성호전자,,175.85,11.08,0.0,175.85,11.08,51.73123517353272,8.563877870655828,2.0910209102091026,7.385044124477476,8.230376219228985,,19.660488254637905,전기전자,-0.7676130613742883,-1.15251861270421,0.15629905414442494,-0.5328558390536404,0.1260898135378002,-0.6179479232433748,0.5439131981354365,,2.957338932731322,-0.5741721147469285,0.0173516961432873,2.957338932731322,-0.614341007045319,0.03740731798227401,3.033866607184336,0.8906435716947178,15.0,16.5,16,16.5
004310,2025-11-30,34.0,30.400000000000002,-3.600000000000003,1632.0,811.0,714.0,808.0,824.0,25.0,35.60000000000001,821.0,1958.0000000000005,805.6000000000003,-0.7999999999999972,49.20000000000001,3814.4,현대약품,,0.0,3.94,0.25,112.18823529411765,3.94,,1.948110316649642,4.141291108404385,49.36274509803923,-0.04901960784313708,,2.0116538002081805,바이오/제약,0.2205834770120952,0.34289134978538466,,0.6296117707163369,-0.37329432146569946,1.514109136124632,-1.0148150127150224,,1.8907029764772065,0.3976955325046056,0.04199993398130338,1.8907029764772065,0.5360225127012542,0.06826540345432865,1.9463163613362073,0.8659103714870638,20.0,18.1,17,18.1
033100,2025-09-30,660.8000000000002,848.0000000000002,187.20000000000005,2634.0,329.0,313.0,2358.0,276.0,268.0,18.800000000000004,2305.0,2446.4000000000005,1293.6000000000004,735.6000000000003,784.4000000000002,8962.824222,제룡전기,,11.21,4.56,1.79,11.21,4.56,12.184372243066878,3.663678965827337,28.66811279826465,49.11161731207291,27.927107061503424,,1.0067037414638862,전기전자,0.6908839623407996,0.1622271165497196,0.4942014304820409,0.24933367465023976,1.2629326434471986,2.4696507603667546,2.1301795290654275,,-0.41835854475749096,0.3991615460057,1.9542543109597936,-0.41835854475749096,0.5377577782550405,2.462290866731114,-0.40802057093478244,0.8803219370052282,17.0,18.4,18,18.4
319400,2025-09-30,202.00000000000006,242.80000000000007,40.80000000000001,2555.0,962.0,780.0,1687.0,868.0,186.0,42.40000000000001,1593.0,3960.400000000001,682.0000000000002,-299.60000000000014,236.00000000000006,38536.109494,현대무벡스,,150.43,22.97,0.14,150.43,22.97,,9.73035791687708,12.680477087256753,26.69275929549903,-11.726027397260278,,5.70089745039659,기계,0.11692474872263892,-0.8109192404745845,,0.19556158344088348,0.5814171978077669,1.1057751233572015,-1.6182161772060955,,2.5073970014568294,-0.16614430277035405,0.02299204798629099,2.5073970014568294,-0.13137369018145958,0.04446869333931568,2.5751023445455306,0.8774377562052582,18.0,18.5,19,18.5
088130,2025-09-30,600.8000000000001,635.6000000000001,33.2,4953.0,2884.0,2638.0,3645.0,1308.0,1323.0,59.600000000000016,2069.0,4651.200000000001,1205.6000000000004,302.0,813.2000000000003,1759.0225884,동아엘텍,,0.0,1.43,1.49,2.927800579893475,1.43,5.8245781072847675,0.3781868310113518,29.038182696955054,24.340803553401987,6.0973147587320815,,2.359676970521941,기계,0.31941093318393016,0.5733024297009516,0.585402179095425,0.5212495568929538,1.3405501048091357,0.8669676527299928,0.2637581348082743,,0.8010528047850729,0.49984127471831513,0.8237586307824677,0.8010528047850729,0.6569286215447736,1.0469794536411334,0.8353006439643953,0.8558766206253671,21.0,18.5,20,18.5
